political_party_key	faction_key
#faction_political_parties_junctions_tables;0;db/faction_political_parties_junctions_tables/gaogan	
3k_main_political_party_gao_gan_190	3k_main_faction_gao_gan
3k_main_political_party_song_jian_190	3k_dlc04_faction_liang_rebels
3k_main_political_party_han_sui_190	3k_main_faction_han_sui
3k_main_political_party_xiongnu_190	ironic_faction_xiongnu_tribes
3k_main_political_party_wuhuan_190	ironic_faction_wuhuan_tribes
3k_dlc05_political_party_sun_ce_ruler	3k_dlc05_faction_sun_ce
3k_main_political_party_liu_yu_190	3k_main_faction_liu_yu
3k_main_political_party_wang_kuang_190	3k_main_faction_wang_kuang
3k_main_political_party_zhang_yang_190	3k_main_faction_zhang_yang
3k_main_political_party_yang_feng_190	3k_dlc05_faction_yang_feng
3k_main_political_party_gongsun_du_190	3k_main_faction_gongsun_du
3k_main_political_party_liu_dai_190	3k_main_faction_liu_dai
3k_main_political_party_ying_shao_190	3k_dlc04_faction_ying_shao
3k_main_political_party_chen_gui_190	3k_dlc04_faction_chen_gui
3k_main_political_party_ze_rong_190	3k_main_faction_zhai_rong
3k_main_political_party_zhang_chao_190	3k_main_faction_zhang_chao
3k_main_political_party_chen_wen_190	ironic_faction_chen_wen
3k_main_political_party_bian_rang_190	ironic_faction_bian_rang
3k_main_political_party_lu_kang_190	3k_dlc04_faction_lu_kang
3k_main_political_party_zhang_lu_190	3k_main_faction_zhang_lu
3k_main_political_party_jia_long_190	3k_main_faction_jia_long
3k_main_political_party_liu_yao_190	3k_main_faction_liu_yao
3k_main_political_party_sheng_xian_190	3k_dlc05_faction_sheng_xian
3k_main_political_party_wang_lang_190	3k_main_faction_wang_lang
3k_main_political_party_zhu_hao_190	ironic_faction_zhu_hao
3k_main_political_party_hua_xin_190	3k_dlc05_faction_hua_xin
3k_main_political_party_zhuge_xuan_190	ironic_faction_zhuge_xuan
3k_main_political_party_liu_pan_190	ironic_faction_liu_pan
3k_main_political_party_zhang_xian_190	ironic_faction_zhang_xian
3k_main_political_party_zhang_jin_190	ironic_faction_zhang_jin
3k_main_political_party_shi_huang_190	3k_dlc05_faction_shi_huang
3k_main_political_party_han_empire_190	3k_main_faction_han_empire
3k_main_political_party_huang_zu_190	3k_main_faction_huang_zu
3k_main_political_party_cai_mao_190	3k_main_faction_cai_mao
3k_main_political_party_kong_zhou_190	3k_main_faction_kong_zhou
3k_main_political_party_yt_generic_190	3k_main_faction_yellow_turban_generic
3k_main_political_party_zhu_fu_190	3k_dlc05_faction_zhu_fu
3k_main_political_party_wu_ju_190	3k_main_faction_yulin
3k_main_political_party_lai_gong_190	3k_main_faction_gaoliang
3k_main_political_party_gan_ning_190	ironic_faction_gan_ning
3k_main_political_party_han_fu_190	3k_main_faction_han_fu
3k_main_political_party_goguryeo_190	ironic_faction_goguryeo
3k_main_political_party_bakaja_190	ironic_faction_bakaja
3k_main_political_party_shitla_190	ironic_faction_shitla
3k_main_political_party_lu_bu_190	3k_main_faction_lu_bu
3k_main_political_party_xianbei_kuitou_190	ironic_faction_xianbei_kuitou
3k_main_political_party_xianbei_tuoba_190	ironic_faction_xianbei_tuoba
3k_main_political_party_di_tribes_190	ironic_faction_di_tribes
3k_main_political_party_ma_ai_190	ironic_faction_ma_ai
3k_main_political_party_huang_clan_190	ironic_faction_huang_clan
3k_main_political_party_handan_shang_190	ironic_faction_zhang_jin_border
3k_main_political_party_faction_jiuzhen_190	3k_dlc06_faction_jiuzhen
3k_main_political_party_faction_nanman_jiangyang_190	3k_dlc06_faction_nanman_jiangyang
3k_main_political_party_faction_nanman_jianning_190	3k_dlc06_faction_nanman_jianning
3k_main_political_party_faction_nanman_yunnan_190	3k_dlc06_faction_nanman_yunnan
3k_main_political_party_faction_nanman_ahuinan_190	3k_dlc06_faction_nanman_ahuinan
3k_main_political_party_faction_nanman_mangyachang_190	3k_dlc06_faction_nanman_mangyachang
3k_main_political_party_faction_nanman_zangke_190	3k_dlc06_faction_nanman_zangke
3k_main_political_party_faction_nanman_jinhuansanjie_190	3k_dlc06_faction_nanman_jinhuansanjie
3k_main_political_party_faction_nanman_dongtuna_190	3k_dlc06_faction_nanman_dongtuna
3k_main_political_party_faction_nanman_tu_an_190	3k_dlc06_faction_nanman_tu_an
3k_main_political_party_faction_nanman_xi_ni_190	3k_dlc06_faction_nanman_xi_ni
3k_main_political_party_faction_nanman_king_wutugu_190	3k_dlc06_faction_nanman_king_wutugu
3k_main_political_party_faction_nanman_jiaozhi_190	3k_dlc06_faction_nanman_jiaozhi
3k_main_political_party_faction_nanman_yang_feng_190	3k_dlc06_faction_nanman_yang_feng
3k_main_political_party_faction_nanman_king_duosi_190	3k_dlc06_faction_nanman_king_duosi
3k_main_political_party_faction_nanman_yongchang_190	3k_dlc06_faction_nanman_yongchang
ironic_faction_cao_ren_gathering	ironic_faction_cao_ren
ironic_faction_ma_chao_gathering	ironic_faction_ma_chao
ironic_faction_sun_quan_gathering	ironic_faction_sun_quan
ironic_faction_xiahou_yuan_gathering	ironic_faction_xiahou_yuan
ironic_faction_zhang_liao_gathering	ironic_faction_zhang_liao
ironic_faction_chen_lan_gathering	ironic_faction_chen_lan
ironic_faction_yellow_turban_xu_he_gathering	ironic_faction_yellow_turban_xu_he
ironic_faction_zhou_yu_gathering	ironic_faction_zhou_yu
ironic_faction_zhong_yao_gathering	ironic_faction_zhong_yao
ironic_faction_du_ji_gathering	ironic_faction_du_ji
ironic_faction_zhuge_liang_gathering	ironic_faction_zhuge_liang
ironic_faction_han_xuan_gathering	ironic_faction_han_xuan
ironic_faction_liu_du_gathering	ironic_faction_liu_du
ironic_faction_zhao_fan_gathering	ironic_faction_zhao_fan
ironic_faction_sun_ben_gathering	ironic_faction_sun_ben
ironic_faction_lei_xu_gathering	ironic_faction_lei_xu
ironic_faction_liu_shan_gathering	ironic_faction_liu_shan
ironic_faction_guan_yu_gathering	ironic_faction_guan_yu
ironic_faction_zu_lang_gathering	ironic_faction_zu_lang
ironic_faction_zhu_jun_gathering	ironic_faction_zhu_jun
3k_main_political_party_wu_jing_190	3k_dlc05_faction_wu_jing
3k_main_political_party_wang_sheng_190	ironic_faction_wang_sheng
3k_main_political_party_tong_zhi_190	ironic_faction_tong_zhi
3k_main_political_party_liu_xun_190	3k_dlc04_faction_liu_xun
ironic_faction_yellow_turban_wu_huan_190	ironic_faction_yellow_turban_wu_huan
3k_main_political_party_fei_zhan_190	ironic_faction_fei_zhan
3k_main_political_party_su_dai_190	ironic_faction_su_dai
3k_main_political_party_you_tu_190	ironic_faction_you_tu
3k_main_political_party_pan_lin_190	3k_dlc07_faction_shanyue_rebels
3k_main_political_party_zu_lang_190	ironic_faction_zu_lang
3k_main_political_party_zhao_wei_190	ironic_faction_zhao_wei
3k_main_political_party_ni_xiaode_190	3k_main_faction_nanhai
3k_main_political_party_buyeo_190	ironic_faction_buyeo
3k_main_political_party_gaya_190	ironic_faction_gaya
3k_main_political_party_korea_ye_190	ironic_faction_korea_ye
3k_main_political_party_tamno_190	ironic_faction_tamno
3k_main_political_party_hu_mao_190	ironic_faction_hu_mao
