key	sort_order	frontend_faction_leader	frontend_character
#frontend_faction_leader_unique_characters_tables;3;db/frontend_faction_leader_unique_characters_tables/data__			
3k_cp01_template_historical_huang_gai_hero_fire	9	3k_main_political_party_sun_jian_ruler	3k_cp01_template_historical_huang_gai_hero_fire
3k_dlc04_template_historical_cheng_pu_hero_metal	1	3k_dlc04_political_party_sun_jian_ruler	3k_main_template_historical_cheng_pu_hero_metal
3k_dlc04_template_historical_he_jin_metal	0	3k_dlc04_political_party_empress_he_ruler	3k_dlc04_template_historical_he_jin_metal
3k_dlc04_template_historical_huang_gai_hero_wood	0	3k_dlc04_political_party_sun_jian_ruler	3k_cp01_template_historical_huang_gai_hero_fire
3k_dlc04_template_historical_huangfu_song_metal	1	3k_dlc04_political_party_lu_zhi_ruler	3k_main_template_historical_huangfu_song_hero_metal
3k_dlc04_template_historical_kong_rong_water	3	3k_dlc04_political_party_empress_he_ruler	3k_main_template_historical_kong_rong_hero_water
3k_dlc04_template_historical_yuan_shao_earth	1	3k_dlc04_political_party_empress_he_ruler	3k_main_template_historical_yuan_shao_hero_earth
3k_dlc05_template_historical_chen_gong_hero_water	18	3k_dlc05_political_party_lu_bu_ruler	3k_main_template_historical_chen_gong_hero_water
3k_dlc05_template_historical_cheng_pu_hero_metal	8	3k_dlc05_political_party_sun_ce_ruler	3k_main_template_historical_cheng_pu_hero_metal
3k_dlc05_template_historical_dian_wei_hero_wood	3	3k_dlc05_political_party_cao_cao_ruler	3k_main_template_historical_dian_wei_hero_wood
3k_dlc05_template_historical_fa_zheng_hero_water	4	3k_dlc05_political_party_liu_yan_ruler	3k_dlc05_template_historical_fa_zheng_hero_water
3k_dlc05_template_historical_gan_ning_hero_fire	14	3k_dlc05_political_party_liu_biao_ruler	3k_main_template_historical_gan_ning_hero_fire
3k_dlc05_template_historical_gao_shun_hero_fire	19	3k_dlc05_political_party_lu_bu_ruler	3k_main_template_historical_gao_shun_hero_fire
3k_dlc05_template_historical_guan_yu_hero_wood	4	3k_dlc05_political_party_liu_bei_ruler	3k_main_template_historical_guan_yu_hero_wood
3k_dlc05_template_historical_huang_gai_hero_fire	7	3k_dlc05_political_party_sun_ce_ruler	3k_cp01_template_historical_huang_gai_hero_fire
3k_dlc05_template_historical_huang_zhong_hero_metal	13	3k_dlc05_political_party_liu_biao_ruler	3k_main_template_historical_huang_zhong_hero_metal
3k_dlc05_template_historical_lady_diao_chan_hero_water	20	3k_dlc05_political_party_lu_bu_ruler	3k_dlc05_template_historical_lady_diao_chan_hero_water
3k_dlc05_template_historical_liu_zhang_hero_earth_faction_heir	5	3k_dlc05_political_party_liu_yan_ruler	3k_dlc05_template_historical_liu_zhang_hero_earth_faction_heir
