auto_id	initial_data_stage	category	slot_index	equipped_ceo	target
#ceo_initial_data_equipments_tables;0;ceo_db/ceo_initial_data_equipments_tables/accessory					
1009277687	3k_main_ceo_initial_data_character_historical_gujin_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_weapon_tribal_recurve_bow_exceptional	character_equipment
1026089853	3k_main_ceo_initial_data_character_historical_cao_cao_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_accessory_blade_of_seven_gems	character_equipment
1026369017	3k_main_ceo_initial_data_character_historical_gurudun_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_weapon_tribal_recurve_bow_exceptional	character_equipment
1027130656	3k_main_ceo_initial_data_character_historical_liu_bao_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_weapon_tribal_recurve_bow_exceptional	character_equipment
1045036788	3k_main_ceo_initial_data_character_historical_wangdong_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_weapon_tribal_recurve_bow_exceptional	character_equipment
1067052078	3k_main_ceo_initial_data_character_historical_su_fei_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_weapon_composite_bow_refined	character_equipment
1123973856	3k_main_ceo_initial_data_character_historical_qu_pan_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_ironic_ancillary_accessory_commander_lu	character_equipment
1134463033	3k_main_ceo_initial_data_character_historical_wuyan_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_weapon_tribal_recurve_bow_exceptional	character_equipment
1151912796	3k_main_ceo_initial_data_character_historical_zhang_hu_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_weapon_composite_bow_common	character_equipment
1156058202	3k_main_ceo_initial_data_character_historical_Suli_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_weapon_tribal_recurve_bow_exceptional	character_equipment
1166017883	3k_main_ceo_initial_data_character_historical_qiulijiu_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_weapon_tribal_recurve_bow_exceptional	character_equipment
1175003750	3k_main_ceo_initial_data_character_historical_Kebineng_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_weapon_tribal_recurve_bow_exceptional	character_equipment
118095869	3k_mtu_ceo_initial_data_character_historical_lady_cai_yan_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_mtu_ancillary_accessory_poem_of_sorrow_and_anger	character_equipment
1185818559	3k_main_ceo_initial_data_character_historical_zuo_ci_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_ironic_ancillary_accessory_daoist_manual	character_equipment
1366571207	3k_main_ceo_initial_data_character_historical_supuyan_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_weapon_tribal_recurve_bow_exceptional	character_equipment
1371690470	3k_main_ceo_initial_data_character_historical_tufa_pigu_ancillaries	3k_main_ceo_category_ancillary_accessory	0	3k_main_ancillary_weapon_tribal_recurve_bow_exceptional	character_equipment
