member	max_range	min_range	context
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/guv_yellow_turban_190_resource			
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_he_yi	10	0	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_gong_du	10	0	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_huang_shao	10	0	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_he_yi	30	11	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_gong_du	30	11	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_huang_shao	30	11	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_he_yi	50	31	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_gong_du	50	31	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_huang_shao	50	31	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_he_yi	70	51	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_gong_du	70	51	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_huang_shao	70	51	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_he_yi	100	71	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_gong_du	100	71	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_huang_shao	100	71	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_generic	10	0	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_generic	30	11	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_generic	50	31	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_generic	70	51	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_generic	100	71	value
