member	max_range	min_range	context
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/zhangchaoresource			
ironic_zhang_chao_Calligraphy_level_0	10	0	value
ironic_zhang_chao_Calligraphy_level_1	32	11	value
ironic_zhang_chao_Calligraphy_level_2	55	33	value
ironic_zhang_chao_Calligraphy_level_3	91	65	value
ironic_zhang_chao_Calligraphy_level_4	100	92	value
3k_main_campaign_group_loyalty_effect_zhang_chao_unity_1	25	0	value
3k_main_campaign_group_loyalty_effect_zhang_chao_unity_2	50	26	value
3k_main_campaign_group_loyalty_effect_zhang_chao_unity_3	75	51	value
3k_main_campaign_group_loyalty_effect_zhang_chao_unity_4	100	76	value
