member	max_range	min_range	context
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/kuitouancestralresource			
ironic_kuitou_ancestral_legacy_level_0	79	0	value
ironic_kuitou_ancestral_legacy_level_1	100	80	value
3k_main_campaign_group_political_action_kuitou_banish_1	3	1	target_level
3k_main_campaign_group_political_action_kuitou_banish_2	6	4	target_level
3k_main_campaign_group_political_action_kuitou_banish_3	9	7	target_level
3k_main_campaign_group_political_action_kuitou_banish_4	10	10	target_level
3k_main_campaign_group_political_action_kuitou_banish_heir_1	3	1	target_level
3k_main_campaign_group_political_action_kuitou_banish_heir_2	6	4	target_level
3k_main_campaign_group_political_action_kuitou_banish_heir_3	9	7	target_level
3k_main_campaign_group_political_action_kuitou_banish_heir_4	10	10	target_level
3k_main_campaign_group_political_action_kuitou_banish_minister_1	3	1	target_level
3k_main_campaign_group_political_action_kuitou_banish_minister_2	6	4	target_level
3k_main_campaign_group_political_action_kuitou_banish_minister_3	9	7	target_level
3k_main_campaign_group_political_action_kuitou_banish_minister_4	10	10	target_level
