member	max_range	min_range	context
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/doumaoresource			
ironic_dou_mao_trailblazing_level_0	12	0	value
ironic_dou_mao_trailblazing_level_1	35	13	value
ironic_dou_mao_trailblazing_level_2	64	36	value
ironic_dou_mao_trailblazing_level_3	84	65	value
ironic_dou_mao_trailblazing_level_4	100	85	value
3k_main_campaign_group_population_di_tribes_city_high	3000	2501	value
3k_main_campaign_group_population_di_tribes_city_low	2000	1751	value
3k_main_campaign_group_population_di_tribes_city_medium	2500	2001	value
3k_main_campaign_group_population_di_tribes_city_super_high	4000	3501	value
3k_main_campaign_group_population_di_tribes_city_very_high	3500	3001	value
3k_main_campaign_group_population_di_tribes_city_very_low	1750	1501	value
3k_main_campaign_group_population_di_tribes_metropolis_high	2147483647	5501	value
3k_main_campaign_group_population_di_tribes_metropolis_low	4500	4001	value
3k_main_campaign_group_population_di_tribes_metropolis_medium	5500	4501	value
3k_main_campaign_group_population_di_tribes_town_high	1000	801	value
3k_main_campaign_group_population_di_tribes_town_low	700	601	value
3k_main_campaign_group_population_di_tribes_town_medium	800	701	value
3k_main_campaign_group_population_di_tribes_town_super_high	1500	1251	value
3k_main_campaign_group_population_di_tribes_town_very_high	1250	1001	value
3k_main_campaign_group_population_di_tribes_town_very_low	600	501	value
3k_main_campaign_group_population_di_tribes_village_high	300	201	value
3k_main_campaign_group_population_di_tribes_village_low	100	51	value
3k_main_campaign_group_population_di_tribes_village_medium	200	101	value
3k_main_campaign_group_population_di_tribes_village_super_high	500	401	value
3k_main_campaign_group_population_di_tribes_village_very_high	400	301	value
3k_main_campaign_group_population_di_tribes_village_very_low	50	0	value
