member	max_range	min_range	context
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/ironic_sun_ce_fix			
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_easy	10	0	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_hard	10	0	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_legndary	10	0	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_normal	10	0	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_very_hard	10	0	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_easy	10	0	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_hard	10	0	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_legndary	10	0	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_normal	10	0	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_very_hard	10	0	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_easy	20	11	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_hard	20	11	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_legndary	20	11	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_normal	20	11	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_very_hard	20	11	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_easy	20	11	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_hard	20	11	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_legndary	20	11	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_normal	20	11	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_very_hard	20	11	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_easy	30	21	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_hard	30	21	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_legndary	30	21	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_normal	30	21	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_very_hard	30	21	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_easy	30	21	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_hard	30	21	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_legndary	30	21	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_normal	30	21	value
