member	max_range	min_range	context
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/data__			
3k_dlc04_campaign_group_member_political_action_banish_1_empress_he	3	1	target_level
3k_dlc04_campaign_group_member_political_action_banish_2_empress_he	6	4	target_level
3k_dlc04_campaign_group_member_political_action_banish_3_empress_he	9	7	target_level
3k_dlc04_campaign_group_member_political_action_banish_4_empress_he	10	10	target_level
3k_dlc04_campaign_group_member_pooled_resource_bureaucracy_power_level_0	14	0	value
3k_dlc04_campaign_group_member_pooled_resource_bureaucracy_power_level_1	29	15	value
3k_dlc04_campaign_group_member_pooled_resource_bureaucracy_power_level_2	44	30	value
3k_dlc04_campaign_group_member_pooled_resource_bureaucracy_power_level_3	59	45	value
3k_dlc04_campaign_group_member_pooled_resource_bureaucracy_power_level_4	74	60	value
3k_dlc04_campaign_group_member_pooled_resource_bureaucracy_power_level_5	90	75	value
3k_dlc04_campaign_group_member_pooled_resource_displaced_population_level_0	0	0	value
3k_dlc04_campaign_group_member_pooled_resource_displaced_population_level_1	10	1	value
3k_dlc04_campaign_group_member_pooled_resource_displaced_population_level_2	30	11	value
3k_dlc04_campaign_group_member_pooled_resource_displaced_population_level_3	70	31	value
3k_dlc04_campaign_group_member_pooled_resource_displaced_population_level_4	90	71	value
3k_dlc04_campaign_group_member_pooled_resource_displaced_population_level_5	100	91	value
3k_dlc04_campaign_group_member_pooled_resource_domain_level_1	9999	1	value
3k_dlc04_campaign_group_member_pooled_resource_domain_level_2	0	0	value
3k_dlc04_campaign_group_member_pooled_resource_domain_level_3	-1	-1	value
3k_dlc04_campaign_group_member_pooled_resource_domain_level_4	-2	-2	value
3k_dlc04_campaign_group_member_pooled_resource_domain_level_5	-3	-3	value
3k_dlc04_campaign_group_member_pooled_resource_domain_level_6	-4	-9999	value
3k_dlc04_campaign_group_member_pooled_resource_dynasty_power_level_0	9	0	value
3k_dlc04_campaign_group_member_pooled_resource_dynasty_power_level_1	19	10	value
3k_dlc04_campaign_group_member_pooled_resource_dynasty_power_level_2	29	20	value
3k_dlc04_campaign_group_member_pooled_resource_dynasty_power_level_3	39	30	value
3k_dlc04_campaign_group_member_pooled_resource_dynasty_power_level_4	49	40	value
