member	max_range	min_range	context
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/rebellionresource			
ironic_chen_lan_rebellion_level_0	5	0	value
ironic_chen_lan_rebellion_level_1	15	6	value
ironic_chen_lan_rebellion_level_2	28	16	value
ironic_chen_lan_rebellion_level_3	39	29	value
ironic_chen_lan_rebellion_level_4	60	40	value
ironic_chen_lan_rebellion_level_5	71	61	value
ironic_chen_lan_rebellion_level_6	84	72	value
ironic_chen_lan_rebellion_level_7	94	85	value
ironic_chen_lan_rebellion_level_8	100	95	value
