member	max_range	min_range	context
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/ironic_added_factions_independence_bug			
3k_dlc05_campaign_group_member_governor_independence_trigger_xiongnu	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_xiongnu_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_wuhuan	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_wuhuan_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhuge_xuan	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhuge_xuan_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhang_jin	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhang_jin_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhang_xian	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhang_xian_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_liu_pan	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_liu_pan_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhu_hao	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhu_hao_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_bian_rang	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_bian_rang_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_chen_wen	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_chen_wen_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_gan_ning	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_gan_ning_separatists	9999	25	value
3k_main_campaign_group_governor_independence_trigger_default_liang_rebels	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_xianbei_kuitou	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_xianbei_kuitou_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_xianbei_tuoba	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_xianbei_tuoba_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_di_tribes	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_di_tribes_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhang_jin_border	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhang_jin_border_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_ma_ai	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_ma_ai_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_huang_clan	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_huang_clan_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_wang_sheng	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_wang_sheng_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_tong_zhi	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_tong_zhi_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_hu_mao	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_hu_mao_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_cao_ren	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_cao_ren_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_ma_chao	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_ma_chao_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_sun_quan	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_sun_quan_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_xiahou_yuan	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_xiahou_yuan_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhang_liao	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhang_liao_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_chen_lan	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_chen_lan_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhou_yu	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhou_yu_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhong_yao	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhong_yao_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_du_ji	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_du_ji_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhuge_liang	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhuge_liang_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_han_xuan	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_han_xuan_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_liu_du	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_liu_du_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhao_fan	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhao_fan_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_sun_ben	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_sun_ben_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_lei_xu	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_lei_xu_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_liu_shan	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_liu_shan_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_guan_yu	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_guan_yu_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zu_lang	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zu_lang_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhu_jun	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhu_jun_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_you_tu	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_you_tu_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_fei_zhan	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_fei_zhan_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhao_wei	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_zhao_wei_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_su_dai	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_su_dai_separatists	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_shanyue	9999	25	value
ironic_campaign_group_member_governor_independence_trigger_shanyue_separatists	9999	25	value
