key	building1	building2	religion	resource1	resource2	skill1	skill2	tech1	tech2	must_be_world_leader	minimum_character_rank	agent_subtype	ceo
#campaign_unit_requirements_tables;5;db/campaign_unit_requirements_tables/provincial_side_buildings													
yong_wood_downtrodden_refugees_standard	ironic_province_yong_standard									false	1		
yong_wood_downtrodden_refugees_xiongnu	ironic_province_yong_xiongnu									false	1		
yong_wood_downtrodden_refugees_xiliang	ironic_province_yong_xiliang									false	1		
yong_wood_downtrodden_refugees_qiang	ironic_province_yong_qiang									false	1		
yan_wood_yellow_turban_remnants_standard	ironic_province_yan_standard									false	1		
yi_water_yizhou_stalkers_standard	ironic_province_yi_standard									false	1		
yi_water_yizhou_stalkers_di	ironic_province_yi_di									false	1		
yi_water_yizhou_stalkers_nanman	ironic_province_yi_nanman									false	1		
yi_metal_forest_fighters_standard	ironic_province_yi_standard									false	1		
yi_metal_forest_fighters_di	ironic_province_yi_di									false	1		
yi_metal_forest_fighters_nanman	ironic_province_yi_nanman									false	1		
yu_metal_yuzhou_assault_infantry_standard	ironic_province_yu_standard									false	3		
yang_metal_yangtze_patrollers_standard	ironic_province_yang_standard									false	3		
yang_metal_yangtze_patrollers_yue	ironic_province_yang_yue									false	3		
jiao_wood_headcrushers_standard	ironic_province_jiao_standard									false	3		
jiao_wood_headcrushers_vietnam	ironic_province_jiao_vietnam									false	3		
qing_water_thunderous_repeaters_standard	ironic_province_qing_standard									false	3		
xu_water_coastal_homeguard_standard	ironic_province_xu_standard									false	3		
liang_wood_xiliang_spearmen_standard	ironic_province_liang_standard									false	3		
liang_wood_xiliang_spearmen_xiliang	ironic_province_liang_xiliang									false	3		
liang_wood_xiliang_spearmen_qiang	ironic_province_liang_qiang									false	3		
ji_wood_cavalrybane_infantry_standard	ironic_province_ji_standard									false	3		
liang_metal_xiliang_macemen_standard	ironic_province_liang_standard									false	3		
liang_metal_xiliang_macemen_xiliang	ironic_province_liang_xiliang									false	3		
liang_metal_xiliang_macemen_qiang	ironic_province_liang_qiang									false	3		
sili_wood_dynasty_warriors_standard	ironic_province_sili_standard									false	3		
sili_wood_dynasty_warriors_chu	ironic_province_sili_chu									false	3		
jiao_metal_blades_of_the_south_standard	ironic_province_jiao_standard									false	3		
jiao_metal_blades_of_the_south_vietnam	ironic_province_jiao_vietnam									false	3		
bing_water_auxilia_xianbei_skirmishers_standard	ironic_province_bing_standard									false	3		
bing_water_auxilia_xianbei_skirmishers_xiongnu	ironic_province_bing_xiongnu									false	3		
bing_water_auxilia_xianbei_skirmishers_xiliang	ironic_province_bing_xiliang									false	3		
yan_water_river_guards_standard	ironic_province_yan_standard									false	6		
xu_wood_valiant_vigilantes_standard	ironic_province_xu_standard									false	6		
jing_metal_sword_saints_standard	ironic_province_jing_standard									false	6		
jing_metal_sword_saints_chu	ironic_province_jing_chu									false	6		
ji_metal_jizhou_elite_swordguards_standard	ironic_province_ji_standard									false	6		
yang_wood_yang_guardians_standard	ironic_province_yang_standard									false	6		
yang_wood_yang_guardians_yue	ironic_province_yang_yue									false	6		
