key	building1	building2	religion	resource1	resource2	skill1	skill2	tech1	tech2	must_be_world_leader	minimum_character_rank	agent_subtype	ceo
#campaign_unit_requirements_tables;5;db/campaign_unit_requirements_tables/TribeUnits													
Ironic_unit_requirement_unit_fire_wuhuan_dragons										false	6	3k_general_fire	
Ironic_unit_requirement_unit_metal_wuhuan_infantry										false	5	3k_general_metal	
Ironic_unit_requirement_unit_earth_wuhuan_cavalry										false	3	3k_general_earth	
Ironic_unit_requirement_unit_water_wuhuan_archers										false	3	3k_general_water	
Ironic_unit_requirement_unit_water_xiongnu_ranger										false	3	3k_general_water	
Ironic_unit_requirement_unit_fire_xiongnu_cataphracts										false	5	3k_general_fire	
Ironic_unit_requirement_unit_fire_xiongnu_cavalry										false	3	3k_general_fire	
Ironic_unit_requirement_unit_earth_xiongnu_noble_cavalry										false	3	3k_general_earth	
Ironic_unit_requirement_unit_metal_xianbei_headhunter										false	6		
Ironic_unit_requirement_unit_earth_xianbei_swordguard										false	3	3k_general_earth	
Ironic_unit_requirement_unit_water_xianbei_horse_archers										false	0	3k_general_water	
Ironic_unit_requirement_unit_fire_xianbei_riders										false	0	3k_general_fire	
ironic_unit_requirement_earth_bandit_network_dai								3k_dlc05_tech_bandit_network_you_daijun		false	3	3k_general_earth	
ironic_unit_requirement_metal_bandit_network_outer								3k_dlc05_tech_bandit_network_you_outer_north		false	5	3k_general_metal	
ironic_unit_requirement_fire_bandit_network_liaodong								3k_dlc05_tech_bandit_network_you_outer_east		false	5	3k_general_fire	
ironic_unit_requirement_metal_bandit_network_yu								3k_dlc05_tech_bandit_network_you_yu		false	5	3k_general_metal	
ironic_unit_requirement_earth_bandit_network_youbeiping								3k_dlc05_tech_bandit_network_you_youbeiping		false	3	3k_general_earth	
ironic_unit_requirement_water_bandit_network_youbeiping								3k_dlc05_tech_bandit_network_you_youbeiping		false	3	3k_general_water	
ironic_unit_requirement_water_bandit_network_outer_shuofang								3k_dlc05_tech_bandit_network_bing_outer_north		false	3	3k_general_water	
ironic_unit_requirement_earth_bandit_network_shuofang								3k_dlc05_tech_bandit_network_bing_shoufang		false	3	3k_general_earth	
