permission	requirement	unit	is_restriction
#campaign_unit_permission_requirements_tables;0;db/campaign_unit_permission_requirements_tables/guv_yellow_turban_190_resource			
3k_ytr_unit_metal_yellow_technologies	3k_ytr_unit_requirement_yellow_turbans_faction_unique_fervent_defenders_huang_shao	3k_dlc04_unit_wood_fervent_defenders	false
3k_ytr_unit_metal_yellow_technologies	3k_ytr_unit_requirement_yellow_turbans_faction_unique_huanglao_s_paragons_huang_shao	3k_dlc04_unit_metal_huanglao_s_paragons	false
3k_ytr_unit_metal_yellow_technologies	3k_ytr_unit_requirement_yellow_turbans_faction_unique_jaizi_raiders_huang_shao	3k_dlc04_unit_earth_jaizi_raiders	false
3k_ytr_unit_metal_yellow_technologies	3k_ytr_unit_requirement_yellow_turbans_faction_unique_lands_chosen_huang_shao	3k_dlc04_unit_water_the_lands_chosen	false
3k_ytr_unit_metal_yellow_technologies	3k_ytr_unit_requirement_yellow_turbans_faction_unique_righteous_vanguards_huang_shao	3k_dlc04_unit_fire_righteous_vanguards	false
3k_ytr_unit_metal_yellow_technologies	3k_ytr_unit_requirement_yellow_turbans_faction_unique_stalwart_shields_huang_shao	3k_dlc04_unit_wood_stalwart_shields	false
3k_ytr_unit_permission_yellow_turbans_archery_masters	3k_ytr_unit_requirement_yellow_turbans_faction_unique_archery_masters_huang_shao	3k_ytr_unit_water_archery_masters	false
3k_ytr_unit_permission_yellow_turbans_archery_masters	3k_ytr_unit_requirement_yellow_turbans_faction_unique_archery_masters_alternate_huang_shao	3k_ytr_unit_water_archery_masters	false
3k_ytr_unit_permission_yellow_turbans_arm_of_the_supreme_peace	3k_ytr_unit_requirement_yellow_turbans_faction_unique_arm_of_the_supreme_peace_huang_shao	3k_ytr_unit_metal_arm_of_the_supreme_peace	false
3k_ytr_unit_permission_yellow_turbans_arm_of_the_supreme_peace	3k_ytr_unit_requirement_yellow_turbans_faction_unique_arm_of_the_supreme_peace_alternative_huang_shao	3k_ytr_unit_metal_arm_of_the_supreme_peace	false
3k_ytr_unit_permission_yellow_turbans_bringers_of_righteousness	3k_ytr_unit_requirement_yellow_turbans_faction_unique_bringers_of_righteousness_huang_shao	3k_ytr_unit_wood_bringers_of_righteousness	false
3k_ytr_unit_permission_yellow_turbans_chanters	3k_ytr_unit_requirement_yellow_turbans_chanters_huang_shao	3k_ytr_unit_metal_chanters	false
3k_ytr_unit_permission_yellow_turbans_chanters	3k_ytr_unit_requirement_yellow_turbans_chanters_alternate_huang_shao	3k_ytr_unit_metal_chanters	false
3k_ytr_unit_permission_yellow_turbans_guardians_of_the_land	3k_ytr_unit_requirement_yellow_turbans_faction_unique_guardians_of_the_land_huang_shao	3k_ytr_unit_wood_guardians_of_the_land	false
3k_ytr_unit_permission_yellow_turbans_guardians_of_the_land	3k_ytr_unit_requirement_yellow_turbans_faction_unique_guardians_of_the_land_alternate_huang_shao	3k_ytr_unit_wood_guardians_of_the_land	false
3k_ytr_unit_permission_yellow_turbans_horseback_huntsmen	3k_ytr_unit_requirement_yellow_turbans_horseback_huntsmen_huang_shao	3k_ytr_unit_water_horseback_huntsmen	false
3k_ytr_unit_permission_yellow_turbans_horseback_huntsmen	3k_ytr_unit_requirement_yellow_turbans_horseback_huntsmen_alternate_huang_shao	3k_ytr_unit_water_horseback_huntsmen	false
3k_ytr_unit_permission_yellow_turbans_militia_of_virtue	3k_ytr_unit_requirement_yellow_turbans_militia_of_virtue_huang_shao	3k_ytr_unit_wood_militia_of_virtue	false
3k_ytr_unit_permission_yellow_turbans_militia_of_virtue	3k_ytr_unit_requirement_yellow_turbans_militia_of_virtue_alternate_huang_shao	3k_ytr_unit_wood_militia_of_virtue	false
3k_ytr_unit_permission_yellow_turbans_reclaimers	3k_ytr_unit_requirement_yellow_turbans_reclaimers_huang_shao	3k_ytr_unit_wood_reclaimers	false
3k_ytr_unit_permission_yellow_turbans_reclaimers	3k_ytr_unit_requirement_yellow_turbans_reclaimers_alternate_huang_shao	3k_ytr_unit_wood_reclaimers	false
3k_ytr_unit_permission_yellow_turbans_scholar_warriors	3k_ytr_unit_requirement_yellow_turbans_faction_unique_scholar_warriors_huang_shao	3k_ytr_unit_metal_scholar_warriors	false
3k_ytr_unit_permission_yellow_turbans_scholar_warriors	3k_ytr_unit_requirement_yellow_turbans_faction_unique_scholar_warriors_alternate_huang_shao	3k_ytr_unit_metal_scholar_warriors	false
3k_ytr_unit_permission_yellow_turbans_trebuchets	3k_ytr_unit_requirement_yellow_turbans_trebuchet_huang_shao	3k_dlc04_unit_water_multiple_bolt_crossbow	false
3k_ytr_unit_permission_yellow_turbans_trebuchets	3k_ytr_unit_requirement_yellow_turbans_trebuchet_huang_shao	3k_main_unit_water_trebuchet	false
3k_ytr_unit_permission_yellow_turbans_trebuchets	3k_ytr_unit_requirement_yellow_turbans_trebuchet_alternate_huang_shao	3k_dlc04_unit_water_multiple_bolt_crossbow	false
3k_ytr_unit_permission_yellow_turbans_trebuchets	3k_ytr_unit_requirement_yellow_turbans_trebuchet_alternate_huang_shao	3k_main_unit_water_trebuchet	false
3k_ytr_unit_permission_yellow_turbans_venerable_wu	3k_ytr_unit_requirement_yellow_turbans_faction_unique_venerable_wu_huang_shao	3k_ytr_unit_metal_venerable_wu	false
3k_ytr_unit_permission_yellow_turbans_venerable_wu	3k_ytr_unit_requirement_yellow_turbans_faction_unique_venerable_wu_alternate_huang_shao	3k_ytr_unit_metal_venerable_wu	false
3k_ytr_unit_permission_yellow_turbans_virtuous_noblemen	3k_ytr_unit_requirement_yellow_turbans_faction_unique_virtuous_noblemen_huang_shao	3k_ytr_unit_earth_virtuous_noblemen	false
3k_ytr_unit_permission_yellow_turbans_virtuous_noblemen	3k_ytr_unit_requirement_yellow_turbans_faction_unique_virtuous_noblemen_alternate_huang_shao	3k_ytr_unit_earth_virtuous_noblemen	false
3k_ytr_unit_permission_yellow_turbans_watchmen_of_the_peace	3k_ytr_unit_requirement_yellow_turbans_faction_unique_watchmen_of_the_peace_huang_shao	3k_ytr_unit_water_watchmen_of_the_peace	false
3k_ytr_unit_permission_yellow_turbans_watchmen_of_the_peace	3k_ytr_unit_requirement_yellow_turbans_faction_unique_watchmen_of_the_peace_alternate_huang_shao	3k_ytr_unit_water_watchmen_of_the_peace	false
3k_ytr_unit_permission_yellow_turbans_white_wave_horsemen	3k_ytr_unit_requirement_yellow_turbans_white_wave_horsemen_huang_shao	3k_ytr_unit_earth_white_wave_horsemen	false
3k_ytr_unit_permission_yellow_turbans_white_wave_horsemen	3k_ytr_unit_requirement_yellow_turbans_white_wave_horsemen_alternative_huang_shao	3k_ytr_unit_earth_white_wave_horsemen	false
3k_ytr_unit_permission_yellow_turbans_white_wave_veterans	3k_ytr_unit_requirement_yellow_turbans_white_wave_veterans_huang_shao	3k_ytr_unit_metal_white_wave_veterans	false
3k_ytr_unit_permission_yellow_turbans_white_wave_veterans	3k_ytr_unit_requirement_yellow_turbans_white_wave_veterans_alternative_huang_shao	3k_ytr_unit_earth_white_wave_horsemen	false
3k_ytr_unit_permission_yellow_turbans_youxia	3k_ytr_unit_requirement_yellow_turbans_faction_unique_youxia_huang_shao	3k_ytr_unit_metal_youxia	false
