permission	requirement	unit	is_restriction
#campaign_unit_permission_requirements_tables;0;db/campaign_unit_permission_requirements_tables/@@path_to_unity			
3k_main_unit_permission_faction_liu_bei	ironic_ptu_unitreq_gongsun_zan_s2_3k_main_unit_water_white_horse_raiders	3k_main_unit_water_white_horse_raiders	false
3k_main_unit_permission_faction_liu_bei	ironic_ptu_unitreq_gongsun_zan_s5_3k_dlc04_unit_fire_destroyer_of_traitors	3k_dlc04_unit_fire_destroyer_of_traitors	false
3k_main_unit_permission_faction_liu_bei	ironic_ptu_unitreq_kong_rong_s4_rew_iro_regional_qing_earth_bookish_cavaliers	rew_iro_regional_qing_earth_bookish_cavaliers	false
3k_main_unit_permission_faction_liu_bei	ironic_ptu_unitreq_tao_qian_s1_3k_dlc04_unit_water_territorial_archer	3k_dlc04_unit_water_territorial_archer	false
3k_main_unit_permission_faction_liu_bei	ironic_ptu_unitreq_tao_qian_s1_3k_dlc04_unit_wood_territorial_spearmen	3k_dlc04_unit_wood_territorial_spearmen	false
3k_main_unit_permission_faction_liu_bei	ironic_ptu_unitreq_tao_qian_s3_ep_unit_metal_xu_raiders	ep_unit_metal_xu_raiders	false
3k_main_unit_permission_faction_liu_bei	ironic_ptu_unitreq_liu_biao_s5_3k_main_unit_wood_imperial_defenders	3k_main_unit_wood_imperial_defenders	false
3k_main_unit_permission_faction_liu_bei	ironic_ptu_unitreq_ma_teng_s2_3k_main_unit_fire_qiang_marauders	3k_main_unit_fire_qiang_marauders	false
3k_main_unit_permission_faction_liu_bei	ironic_ptu_unitreq_ma_teng_s5_3k_main_unit_water_qiang_hunters	3k_main_unit_water_qiang_hunters	false
3k_main_unit_permission_faction_liu_bei	ironic_ptu_unitreq_sun_s3_3k_dlc05_unit_earth_handmaid_guard	3k_dlc05_unit_earth_handmaid_guard	false
