permission	requirement	unit	is_restriction
#campaign_unit_permission_requirements_tables;0;db/campaign_unit_permission_requirements_tables/korea_provincial_side_buildings			
3k_main_unit_permission_generals	ironic_province_korea_standard_yemaek_valley_warriors	3k_mod_unit_metal_yemaek_valley_warriors	false
3k_main_unit_permission_generals	ironic_province_korea_standard_yemaek_scouts	3k_mod_unit_waterl_yemaek_scouts	false
3k_main_unit_permission_generals	ironic_province_korea_xianbei_yemaek_valley_warriors	3k_mod_unit_metal_yemaek_valley_warriors	false
3k_main_unit_permission_generals	ironic_province_korea_xianbei_yemaek_scouts	3k_mod_unit_waterl_yemaek_scouts	false
3k_main_unit_permission_generals	ironic_province_korea_xianbei_xianbei_swordguard	3k_mod_unit_earth_xianbei_swordguard	false
3k_main_unit_permission_generals	ironic_province_korea_xianbei_xianbei_headhunters	3k_mod_unit_metal_xianbei_headhunters	false
3k_main_unit_permission_generals	ironic_province_korea_xianbei_xianbei_horse_archers	ep_unit_water_xianbei_horse_archers	false
3k_main_unit_permission_generals	ironic_province_korea_xianbei_xianbei_riders	ep_unit_fire_xianbei_riders	false
3k_main_unit_permission_generals	ironic_province_korea_han_yemaek_valley_warriors	3k_mod_unit_metal_yemaek_valley_warriors	false
3k_main_unit_permission_generals	ironic_province_korea_han_yemaek_scouts	3k_mod_unit_waterl_yemaek_scouts	false
3k_main_unit_permission_generals	ironic_province_korea_han_lelang_guards	3k_mod_unit_wood_lelang_guards	false
3k_main_unit_permission_generals	ironic_province_korea_han_daifang_defenders	3k_mod_unit_metal_daifang_defenders	false
3k_main_unit_permission_generals	ironic_province_southern_korea_standard_samhan_raiders	3k_mod_unit_wood_samhan_raiders	false
3k_main_unit_permission_generals	ironic_province_southern_korea_standard_samhan_assault_infantry	3k_mod_unit_metal_samhan_assault_infantry	false
3k_main_unit_permission_generals	ironic_province_southern_korea_northern_korea_samhan_raiders	3k_mod_unit_wood_samhan_raiders	false
3k_main_unit_permission_generals	ironic_province_southern_korea_northern_korea_samhan_assault_infantry	3k_mod_unit_metal_samhan_assault_infantry	false
3k_main_unit_permission_generals	ironic_province_southern_korea_northern_korea_yemaek_valley_warriors	3k_mod_unit_metal_yemaek_valley_warriors	false
3k_main_unit_permission_generals	ironic_province_southern_korea_northern_korea_yemaek_scouts	3k_mod_unit_waterl_yemaek_scouts	false
