permission	requirement	unit	is_restriction
#campaign_unit_permission_requirements_tables;0;db/campaign_unit_permission_requirements_tables/!!ironiczhangbasic			
ironic_zhang_lu_permission_unit	ironic_militia_ji_wood_requirement	ironic_militia_ji_wood	false
ironic_zhang_lu_permission_unit	ironic_militia_mounted_sabre_earth_requirement	ironic_militia_mounted_sabre_earth	false
ironic_zhang_lu_permission_unit	ironic_militia_spearmen_wood_requirement	ironic_militia_spearmen_wood	false
ironic_zhang_lu_permission_unit	ironic_farmland_band_metal_requirement	ironic_farmland_band_metal	false
ironic_zhang_lu_permission_unit	ironic_tianshi_horse_archers_water_requirement	ironic_tianshi_horse_archers_water	false
ironic_zhang_lu_permission_unit	ironic_farmland_protectors_wood_requirement	ironic_farmland_protectors_wood	false
ironic_zhang_lu_permission_unit	ironic_farmland_hunters_water_requirement	ironic_farmland_hunters_water	false
ironic_zhang_lu_permission_unit	ironic_farmland_warriors_metal_requirement	ironic_farmland_warriors_metal	false
ironic_zhang_lu_permission_unit	ironic_wudou_ji_infantry_wood_requirement	ironic_wudou_ji_infantry_wood	false
ironic_zhang_lu_permission_unit	ironic_wudou_spear_guards_wood_requirement	ironic_wudou_spear_guards_wood	false
ironic_zhang_lu_permission_unit	ironic_wudou_sabre_infantry_metal_requirement	ironic_wudou_sabre_infantry_metal	false
ironic_zhang_lu_permission_unit	ironic_tianshi_ji_infantry_wood_requirement	ironic_tianshi_ji_infantry_wood	false
ironic_zhang_lu_permission_unit	ironic_di_marauders_earth_requirement	ironic_di_marauders_earth	false
ironic_zhang_lu_permission_unit	ironic_wudou_sabre_cavalry_earth_requirement	ironic_wudou_sabre_cavalry_earth	false
ironic_zhang_lu_permission_unit	ironic_wudou_vanguards_fire_requirement	ironic_wudou_vanguards_fire	false
ironic_zhang_lu_permission_unit	ironic_tianshi_swordguards_metal_requirement	ironic_tianshi_swordguards_metal	false
ironic_zhang_lu_permission_unit	ironic_militia_sabres_metal_requirement	ironic_militia_sabres_metal	false
ironic_zhang_lu_permission_unit	ironic_tao_penitents_wood_requirement	ironic_tao_penitents_wood	false
ironic_zhang_lu_permission_unit	ironic_tianshi_reclaimers_wood_requirement	ironic_tianshi_reclaimers_wood	false
ironic_zhang_lu_permission_unit	ironic_militia_mounted_lancer_fire_requirement	ironic_militia_mounted_lancer_fire	false
ironic_zhang_lu_permission_unit	ironic_tianshi_melee_cavalry_earth_requirement	ironic_tianshi_melee_cavalry_earth	false
ironic_zhang_lu_permission_unit	ironic_wudou_horse_archers_water_requirement	ironic_wudou_horse_archers_water	false
ironic_zhang_lu_permission_unit	ironic_zhenren_defenders_wood_requirement	ironic_zhenren_defenders_wood	false
ironic_zhang_lu_permission_unit	ironic_militia_archers_water_requirement	ironic_militia_archers_water	false
ironic_zhang_lu_permission_unit	ironic_wudou_archers_water_requirement	ironic_wudou_archers_water	false
ironic_zhang_lu_permission_unit	ironic_tianshi_archers_water_requirement	ironic_tianshi_archers_water	false
ironic_zhang_lu_permission_unit	ironic_di_horse_archers_water_requirement	ironic_di_horse_archers_water	false
ironic_zhang_lu_permission_unit	ironic_di_raiders_fire_requirement	ironic_di_raiders_fire	false
ironic_zhang_lu_permission_unit	ironic_di_cataphracts_fire_requirement	ironic_di_cataphracts_fire	false
ironic_zhang_lu_permission_unit	ironic_tianshi_vanguards_fire_requirement	ironic_tianshi_vanguards_fire	false
ironic_zhang_lu_permission_unit	ironic_trebuchet_water_requirement	ironic_trebuchet_water	false
ironic_zhang_lu_permission_unit	ironic_trebuchet_water_requirement	ironic_multiple_bolt_crossbow_water	false
ironic_zhang_lu_permission_unit	ironic_wudou_ji_infantry_wood_requirement_all	ironic_wudou_ji_infantry_wood	false
ironic_zhang_lu_permission_unit	ironic_wudou_spear_guards_wood_requirement_all	ironic_wudou_spear_guards_wood	false
ironic_zhang_lu_permission_unit	ironic_wudou_sabre_infantry_metal_requirement_all	ironic_wudou_sabre_infantry_metal	false
ironic_zhang_lu_permission_unit	ironic_wudou_sabre_cavalry_earth_requirement_all	ironic_wudou_sabre_cavalry_earth	false
ironic_zhang_lu_permission_unit	ironic_wudou_vanguards_fire_requirement_all	ironic_wudou_vanguards_fire	false
ironic_zhang_lu_permission_unit	ironic_wudou_horse_archers_water_requirement_all	ironic_wudou_horse_archers_water	false
ironic_zhang_lu_permission_unit	ironic_wudou_archers_water_requirement_all	ironic_wudou_archers_water	false
