member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/barbarianpeaceresource	
ironic_xiongnu_rage_level_0	ironic_barbarian_rage
ironic_xiongnu_rage_level_1	ironic_barbarian_rage
ironic_xiongnu_rage_level_2	ironic_barbarian_rage
ironic_xiongnu_rage_level_3	ironic_barbarian_rage
ironic_xiongnu_rage_level_4	ironic_barbarian_rage
ironic_xiongnu_rage_level_5	ironic_barbarian_rage
ironic_xiongnu_rage_level_6	ironic_barbarian_rage
ironic_wuhuan_rage_level_0	ironic_barbarian_rage
ironic_wuhuan_rage_level_1	ironic_barbarian_rage
ironic_wuhuan_rage_level_2	ironic_barbarian_rage
ironic_wuhuan_rage_level_3	ironic_barbarian_rage
ironic_wuhuan_rage_level_4	ironic_barbarian_rage
ironic_wuhuan_rage_level_5	ironic_barbarian_rage
ironic_wuhuan_rage_level_6	ironic_barbarian_rage
ironic_di_rage_level_0	ironic_barbarian_rage
ironic_di_rage_level_1	ironic_barbarian_rage
ironic_di_rage_level_2	ironic_barbarian_rage
ironic_di_rage_level_3	ironic_barbarian_rage
ironic_di_rage_level_4	ironic_barbarian_rage
ironic_di_rage_level_5	ironic_barbarian_rage
ironic_di_rage_level_6	ironic_barbarian_rage
ironic_xianbei_kuitou_rage_level_0	ironic_barbarian_rage
ironic_xianbei_kuitou_rage_level_1	ironic_barbarian_rage
ironic_xianbei_kuitou_rage_level_2	ironic_barbarian_rage
ironic_xianbei_kuitou_rage_level_3	ironic_barbarian_rage
ironic_xianbei_kuitou_rage_level_4	ironic_barbarian_rage
ironic_xianbei_kuitou_rage_level_5	ironic_barbarian_rage
ironic_xianbei_kuitou_rage_level_6	ironic_barbarian_rage
ironic_xianbei_tuoba_rage_level_0	ironic_barbarian_rage
ironic_xianbei_tuoba_rage_level_1	ironic_barbarian_rage
ironic_xianbei_tuoba_rage_level_2	ironic_barbarian_rage
ironic_xianbei_tuoba_rage_level_3	ironic_barbarian_rage
ironic_xianbei_tuoba_rage_level_4	ironic_barbarian_rage
ironic_xianbei_tuoba_rage_level_5	ironic_barbarian_rage
ironic_xianbei_tuoba_rage_level_6	ironic_barbarian_rage
