member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/doumaoresource	
ironic_dou_mao_trailblazing_level_0	ironic_trailblazing
ironic_dou_mao_trailblazing_level_1	ironic_trailblazing
ironic_dou_mao_trailblazing_level_2	ironic_trailblazing
ironic_dou_mao_trailblazing_level_3	ironic_trailblazing
ironic_dou_mao_trailblazing_level_4	ironic_trailblazing
3k_main_campaign_group_population_di_tribes_city_high	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_city_low	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_city_medium	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_city_super_high	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_city_very_high	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_city_very_low	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_metropolis_high	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_metropolis_low	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_metropolis_medium	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_town_high	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_town_low	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_town_medium	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_town_super_high	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_town_very_high	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_town_very_low	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_village_high	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_village_low	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_village_medium	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_village_super_high	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_village_very_high	3k_main_pooled_resource_population
3k_main_campaign_group_population_di_tribes_village_very_low	3k_main_pooled_resource_population
