member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/rebellionresource	
ironic_chen_lan_rebellion_level_0	ironic_bandit_rebellion
ironic_chen_lan_rebellion_level_1	ironic_bandit_rebellion
ironic_chen_lan_rebellion_level_2	ironic_bandit_rebellion
ironic_chen_lan_rebellion_level_3	ironic_bandit_rebellion
ironic_chen_lan_rebellion_level_4	ironic_bandit_rebellion
ironic_chen_lan_rebellion_level_5	ironic_bandit_rebellion
ironic_chen_lan_rebellion_level_6	ironic_bandit_rebellion
ironic_chen_lan_rebellion_level_7	ironic_bandit_rebellion
ironic_chen_lan_rebellion_level_8	ironic_bandit_rebellion
