member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/zhuge_xuanresource	
ironic_zhuge_xuan_sleeping_dragon_level_0	ironic_sleeping_dragon
ironic_zhuge_xuan_sleeping_dragon_level_1	ironic_sleeping_dragon
ironic_zhuge_xuan_sleeping_dragon_level_2	ironic_sleeping_dragon
ironic_zhuge_xuan_sleeping_dragon_level_3	ironic_sleeping_dragon
ironic_zhuge_xuan_sleeping_dragon_level_4	ironic_sleeping_dragon
ironic_zhuge_xuan_sleeping_dragon_level_5	ironic_sleeping_dragon
ironic_zhuge_xuan_sleeping_dragon_level_6	ironic_sleeping_dragon
ironic_zhuge_xuan_sleeping_dragon_level_7	ironic_sleeping_dragon
ironic_zhuge_xuan_sleeping_dragon_level_8	ironic_sleeping_dragon
