member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/ironic_sun_ce_fix	
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_hard	3k_dlc05_pooled_resource_reckless_luck
