member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/ironic_liu_pan_raider	
ironic_liu_pan_ferocity_level_0	ironic_liu_pan_ferocity
ironic_liu_pan_ferocity_level_1	ironic_liu_pan_ferocity
ironic_liu_pan_ferocity_level_2	ironic_liu_pan_ferocity
ironic_liu_pan_ferocity_level_3	ironic_liu_pan_ferocity
ironic_liu_pan_ferocity_level_4	ironic_liu_pan_ferocity
ironic_liu_pan_ferocity_level_5	ironic_liu_pan_ferocity
ironic_liu_pan_uncle_favour_level_0	ironic_liu_pan_uncle_favour
ironic_liu_pan_uncle_favour_level_1	ironic_liu_pan_uncle_favour
ironic_liu_pan_uncle_favour_level_2	ironic_liu_pan_uncle_favour
ironic_liu_pan_uncle_favour_level_3	ironic_liu_pan_uncle_favour
ironic_liu_pan_uncle_favour_level_4	ironic_liu_pan_uncle_favour
