member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/guv_yellow_turban_190_resource	
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_he_yi	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_gong_du	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_huang_shao	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_he_yi	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_gong_du	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_huang_shao	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_he_yi	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_gong_du	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_huang_shao	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_he_yi	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_gong_du	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_huang_shao	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_he_yi	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_gong_du	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_huang_shao	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_generic	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_generic	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_generic	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_generic	3k_embers_pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_generic	3k_embers_pooled_resource
