id	set_id	culture	faction	sub_culture	campaign
#building_chain_availabilities_tables;1;db/building_chain_availabilities_tables/data__					
1000007422	3k_main_default		3k_main_faction_youzhou		
1015185796	3k_main_default		3k_main_faction_bohai		
1038873229	3k_main_default		3k_dlc05_faction_sheng_xian_separatists		
1058498193	3k_main_default		3k_main_faction_chengdu		
1065858993	3k_main_default		3k_main_faction_zangke_separatists		
1071721932	3k_main_default		3k_main_faction_ye		
107820345	3k_main_default		3k_main_faction_taishan		
1080627801	3k_main_default		3k_main_faction_yingchuan		
1083701729	3k_main_default		3k_main_faction_poyang		
1091658955	3k_main_default		3k_dlc07_faction_zhang_lu		
1096836573	3k_main_default		3k_main_faction_taiyuan		
1098026180	3k_main_default		3k_dlc04_faction_chen_gui_separatists		
113269107	3k_main_default		3k_main_faction_chengdu_separatists		
1133406665	3k_main_default		3k_main_faction_zhai_rong		
113436106	3k_main_default		3k_main_faction_jiaozhi_separatists		
1139508557	3k_main_default		3k_dlc05_faction_hua_xin		
1144754423	3k_main_default		3k_main_faction_zhai_rong_separatists		
1150733301	3k_main_default		3k_dlc04_faction_empress_he		
1174208354	3k_main_default		3k_dlc07_faction_zhang_lu_separatists		
1188647655	3k_main_default		3k_main_faction_hepu_separatists		
1188759133	3k_main_default		3k_dlc05_faction_xu_zhao_separatists		
1189298406	3k_ytr_he_yi		3k_dlc04_faction_zhang_liang		
1195858379	3k_main_buddhist_default		3k_main_faction_zhang_separatists		
1199651326	3k_main_default		3k_main_faction_huang_zu_separatists		
1207988720	3k_main_default		3k_main_faction_zhang_chao		
1219001307	3k_main_han_chinese_shared			3k_main_chinese	
1223693678	3k_main_default		3k_main_faction_wang_lang		
1228208228	3k_main_default		3k_dlc04_faction_liang_rebels_separatists		
1230812359	3k_main_default		3k_main_faction_yingchuan_separatists		
1231267498	3k_main_default		3k_dlc04_faction_liu_hong		
1235346897	3k_main_default		3k_main_faction_henei		
1243323428	3k_main_default		3k_main_faction_lu_bu		
12436993	3k_main_default		3k_dlc07_faction_shi_hui		
124466234	3k_main_default		3k_dlc07_faction_li_shu_separatists		
1255638375	3k_main_default		3k_main_faction_nanhai_separatists		
1257067336	3k_main_default		3k_dlc06_faction_yunnan_separatists		
126457191	3k_main_default		3k_main_faction_bohai_separatists		
1265493968	3k_main_default		3k_main_faction_jiangyang		
1283073154	3k_main_default		3k_main_faction_liu_yan		
1284293672	3k_main_default		3k_main_faction_hanzhong_separatists		
