art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
#campaign_character_art_sets_tables;6;db/campaign_character_art_sets_tables/data__								
3k_cp01_art_set_historical_guo_jia_general	general	3k_main_chinese			true	true		1.0000
3k_cp01_art_set_historical_huang_gai_general	general	3k_main_chinese			true	true		1.0000
3k_cp01_art_set_historical_jia_xu_general	general	3k_main_chinese			true	true		1.0000
3k_cp01_art_set_historical_pang_tong_general	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_generic_non_deployable_01	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_emperor_ling_earth	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_empress_he_fire	general	3k_main_chinese			true	false		1.0000
3k_dlc04_art_set_historical_eunuchs_bi_lan	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_eunuchs_duan_gui	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_eunuchs_gao_wang	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_eunuchs_guo_sheng	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_eunuchs_han_kui	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_eunuchs_li_song	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_eunuchs_song_dian	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_eunuchs_sun_zhang	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_eunuchs_xia_yun	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_eunuchs_zhang_gong	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_eunuchs_zhang_rang	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_eunuchs_zhao_zhong	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_he_jin_metal	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_huangfu_song_metal	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_liu_chong_earth	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_lu_zhi_water	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_xun_yu_water	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_zhang_bao_veteran	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_zhang_jue_healer	general	3k_main_chinese			true	true		1.0000
3k_dlc04_art_set_historical_zhang_liang_veteran	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_chen_gong_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_cheng_pu_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_da_qiao_general	general	3k_main_chinese			true	false		1.0000
3k_dlc05_art_set_historical_gao_shun_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_ji_ling_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_lady_bian_general	general	3k_main_chinese			true	false		1.0000
3k_dlc05_art_set_historical_lady_mi_general	general	3k_main_chinese			true	false		1.0000
3k_dlc05_art_set_historical_li_jue_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_liu_yao_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_wang_lang_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_wu_huan_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_xiao_qiao_general	general	3k_main_chinese			true	false		1.0000
3k_dlc05_art_set_historical_xu_shu_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_yan_baihu_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_yan_yu_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_zhang_hong_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_zhang_zhao_general	general	3k_main_chinese			true	true		1.0000
3k_dlc05_art_set_historical_zhou_tai_general	general	3k_main_chinese			true	true		1.0000
