art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
#campaign_character_art_sets_tables;6;db/campaign_character_art_sets_tables/nanman								
3k_dlc06_ancillary_armour_nanman_ahuinan_unique	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		true	true	3k_general_nanman	1.0000
3k_dlc06_ancillary_armour_nanman_dailaidongzhu_unique	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		true	true	3k_general_nanman	1.0000
3k_dlc06_ancillary_armour_nanman_dongtuna_unique	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		true	true	3k_general_nanman	1.0000
3k_dlc06_ancillary_armour_nanman_jinhuansanjie_unique	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		true	true	3k_general_nanman	1.0000
3k_dlc06_ancillary_armour_nanman_mangyachang_unique	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		true	true	3k_general_nanman	1.0000
3k_dlc06_ancillary_armour_nanman_meng_jie_unique	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		true	true	3k_general_nanman	1.0000
3k_dlc06_ancillary_armour_nanman_meng_you_unique	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		true	true	3k_general_nanman	1.0000
3k_dlc06_ancillary_armour_nanman_tu_an_unique	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		true	true	3k_general_nanman	1.0000
3k_dlc06_ancillary_armour_nanman_xi_ni_unique	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		true	true	3k_general_nanman	1.0000
3k_dlc06_ancillary_armour_nanman_yang_feng_unique	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		true	true	3k_general_nanman	1.0000
