art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
#campaign_character_art_sets_tables;6;db/campaign_character_art_sets_tables/ytr								
3k_ytr_art_set_generic_female_01_colonel	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_colonel	1.0000
3k_ytr_art_set_generic_female_01_healer	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_general_water	1.0000
3k_ytr_art_set_generic_female_01_scholar	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_general_metal	1.0000
3k_ytr_art_set_generic_female_02_colonel	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_colonel	1.0000
3k_ytr_art_set_generic_female_02_healer	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_general_water	1.0000
3k_ytr_art_set_generic_female_02_scholar	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_general_metal	1.0000
3k_ytr_art_set_generic_female_03_colonel	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_colonel	1.0000
3k_ytr_art_set_generic_female_03_healer	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_general_water	1.0000
3k_ytr_art_set_generic_female_03_scholar	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_general_metal	1.0000
3k_ytr_art_set_generic_female_04_colonel	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_colonel	1.0000
3k_ytr_art_set_generic_female_04_healer	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_general_water	1.0000
3k_ytr_art_set_generic_female_04_scholar	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_general_metal	1.0000
3k_ytr_art_set_generic_female_05_colonel	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_colonel	1.0000
3k_ytr_art_set_generic_female_05_healer	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_general_water	1.0000
3k_ytr_art_set_generic_female_05_scholar	general	3k_main_chinese	3k_main_subculture_yellow_turban		false	false	3k_general_metal	1.0000
