art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
#campaign_character_art_sets_tables;6;db/campaign_character_art_sets_tables/ironic_korea_art_add								
3k_mod_art_set_historical_an_ryu_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_go_uru_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_buyeo_goi_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_buyeo_jil_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_gil_seon_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_buyeo_saban_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_hae_mayeo_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_seok_cheomhae_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_seok_jobun_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_go_bakwigeo_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_go_seongbang_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_go_ik_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_jwa_garyeo_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_eo_biryu_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_myeongrim_eosu_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_go_yeonbul_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_hu_nyeo_general	general	3k_main_chinese	3k_ironic_korea		true	false		1.0000
3k_mod_art_set_historical_deuk_rae_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_seok_naeeum_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_seok_uro_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_seok_aihye_general	general	3k_main_chinese	3k_ironic_korea		true	false		1.0000
3k_mod_art_set_historical_kim_michu_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_kim_malgu_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_mul_gyeja_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_gu_suhye_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_chung_hweon_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_yeon_jin_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_heung_seon_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_seol_bu_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_seol_ji_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_guk_ryang_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_sul_myeong_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_hwon_gyeon_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_yun_jong_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_gang_hwon_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_jin_gwa_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_jin_chung_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_jin_mul_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_jin_ga_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_hoe_hoe_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_woo_du_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_go_su_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_yu_gi_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
3k_mod_art_set_historical_gon_no_general	general	3k_main_chinese	3k_ironic_korea		true	true		1.0000
