art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
#campaign_character_art_sets_tables;6;db/campaign_character_art_sets_tables/NMC								
3k_dlc06_art_set_generic_female_01_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_02_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_03_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_04_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_05_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_06_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_07_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_08_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_09_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_10_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_11_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_12_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_13_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_14_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_female_15_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	false	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_01_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_02_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_03_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_04_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_05_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_06_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_07_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_08_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_09_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_10_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_11_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_12_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_13_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_14_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_15_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_16_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_17_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_18_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_19_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_20_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_21_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_22_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_23_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_24_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_25_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_26_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
3k_dlc06_art_set_generic_male_27_general_nanman	general	3k_dlc06_barbarian	3k_dlc06_subculture_nanman		false	true	3k_general_nanman	1.0000
