id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/data__		
102652697	3k_ytr_district_artisan_yellow_turban_garden	3k_districts
1029892645	3k_resource_bandit_buildings	3k_resource_bandit
1053613347	3k_ytr_district_artisan_yellow_turban_caches	3k_districts
1056414783	3k_district_residential_granaries	3k_districts_black_mountain
1057296700	3k_district_government_tribute_hall	3k_districts_black_mountain
1101299550	3k_dlc06_district_market_inn	3k_districts
1140103785	3k_district_market_inn	3k_districts
11429	3k_test	3k_test
11438	3k_test_minor	3k_test_minor
1153856652	3k_dlc06_district_artisan_state_workshops	3k_districts
11577	3k_city	3k_city
11584	3k_defences	3k_defences
11589	3k_district_government_rural	3k_districts
11594	3k_district_artisan_labourers	3k_districts
11595	3k_district_market_land_city	3k_districts
11603	3k_district_military_conscription	3k_districts
11619	3k_district_residential_markets	3k_districts
11627	3k_district_government_rural	3k_districts_port
11630	3k_district_artisan_labourers	3k_districts_port
11635	3k_district_military_conscription	3k_districts_port
11639	3k_district_residential_markets	3k_districts_port
11652	3k_resource_wood_farms_grain	3k_resource_wood_farms_grain
11657	3k_resource_wood_fish	3k_resource_wood_fish
11667	3k_district_market_port_city	3k_districts_port
11689	3k_resource_wood_farms_rice	3k_resource_wood_farms_rice
11699	3k_resource_earth_temple	3k_resource_earth_temple
11715	3k_resource_fire_iron	3k_resource_fire_iron
11723	3k_resource_fire_northern_horses	3k_resource_fire_northern_horses
11729	3k_resource_metal_copper	3k_resource_metal_copper
11735	3k_resource_metal_jade	3k_resource_metal_jade
11739	3k_resource_metal_tools	3k_resource_metal_tools
11746	3k_resource_water_salt	3k_resource_water_salt
11753	3k_resource_water_silk	3k_resource_water_silk
11755	3k_resource_water_spice	3k_resource_water_spice
11760	3k_resource_water_trading_port	3k_resource_water_trading_port
11766	3k_resource_wood_livestock	3k_resource_wood_livestock
11772	3k_resource_wood_lumber_bamboo	3k_resource_wood_lumber_bamboo
11780	3k_resource_wood_lumber_pine	3k_resource_wood_lumber_pine
11785	3k_resource_wood_tea	3k_resource_wood_tea
1182388499	3k_ytr_district_artisan_yellow_turban_healing	3k_districts
1265344454	3k_district_government_temples	3k_districts_port
1273979349	3k_district_military_equipment	3k_districts_black_mountain
127804293	3k_minor_port	3k_minor_port
1293041582	3k_district_government_law	3k_districts
1346037312	3k_district_government_tribute_hall	3k_districts_port
1346494820	3k_dlc06_district_residential_granaries	3k_districts
1352757655	3k_district_artisan_state_workshops	3k_districts
1353823514	3k_district_residential_housing	3k_districts_black_mountain
1366628896	3k_district_government_law	3k_districts_port
136967861	3k_district_residential_housing	3k_districts_port
1391848683	3k_dlc06_district_government_law	3k_districts_port
143514105	3k_district_military_equipment	3k_districts
1435199846	3k_dlc06_district_military_conscription	3k_districts_port
1462235213	3k_district_residential_granaries	3k_districts
1467639732	3k_province_capital_port	3k_province_capital_port
1469315688	3k_district_residential_bandits	3k_districts
1478922396	3k_dlc06_district_residential_granaries	3k_districts_port
1501983644	3k_district_government_rural	3k_districts_black_mountain
15519331	3k_district_residential_granaries	3k_districts_port
1578134194	3k_dlc06_district_market_inn	3k_districts_port
1578714586	3k_district_government_tribute_hall	3k_districts
1595925907	3k_district_residential_markets	3k_districts_black_mountain
1601148924	3k_dlc06_district_government_temples	3k_districts_port
1604382853	3k_district_market_schools	3k_districts_port
1605842223	3k_district_market_schools	3k_districts
1691836764	3k_district_artisan_sun_jian_fealty	3k_districts_port
1726594788	3k_district_artisan_state_workshops	3k_districts_black_mountain
1764053134	3k_district_artisan_state_workshops	3k_districts_port
180736166	3k_dlc06_district_artisan_private_workshops	3k_districts
1880450917	3k_dlc06_district_government_law	3k_districts
1957781403	3k_district_government_law	3k_districts_black_mountain
2010641202	3k_district_artisan_private_workshops	3k_districts_black_mountain
2038476224	3k_dlc06_district_residential_markets	3k_districts
2069086940	3k_district_market_inn	3k_districts_port
2070479452	3k_dlc06_district_military_security	3k_districts
2091587481	3k_dlc06_district_military_conscription	3k_districts
2123831367	3k_district_residential_bandits	3k_districts_black_mountain
2129784646	3k_ytr_district_artisan_yellow_turban_caches	3k_districts_black_mountain
259319919	3k_district_artisan_sun_jian_fealty	3k_districts_black_mountain
304487221	3k_district_military_equipment	3k_districts_port
31331502	3k_district_market_land_city	3k_districts_black_mountain
