id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/ironic_nomad_buildings		
1990000001	ironic_nomad_camp	ironic_nomad_camp
1990000002	ironic_nomad_side	ironic_province_you_standard
1990000003	ironic_nomad_side	ironic_province_you_wuhuan
1990000004	ironic_nomad_side	ironic_province_you_xianbei
1990000005	ironic_nomad_side	ironic_province_bing_standard
1990000006	ironic_nomad_side	ironic_province_bing_xiongnu
1990000007	ironic_nomad_side	ironic_province_bing_xiliang
1990000008	ironic_nomad_side	ironic_province_liang_standard
1990000009	ironic_nomad_side	ironic_province_liang_xiliang
1990000010	ironic_nomad_side	ironic_province_liang_qiang
1990000011	ironic_nomad_side	ironic_province_qing_standard
1990000012	ironic_nomad_side	ironic_province_yan_standard
1990000013	ironic_nomad_side	ironic_province_xu_standard
1990000014	ironic_nomad_side	ironic_province_yu_standard
1990000015	ironic_nomad_side	ironic_province_yang_standard
1990000016	ironic_nomad_side	ironic_province_yang_yue
1990000017	ironic_nomad_side	ironic_province_jing_standard
1990000018	ironic_nomad_side	ironic_province_jing_chu
1990000019	ironic_nomad_side	ironic_province_yi_standard
1990000020	ironic_nomad_side	ironic_province_yi_di
1990000021	ironic_nomad_side	ironic_province_yi_nanman
1990000022	ironic_nomad_side	ironic_province_jiao_standard
1990000023	ironic_nomad_side	ironic_province_jiao_vietnam
1990000024	ironic_nomad_side	ironic_province_korea_standard
1990000025	ironic_nomad_side	ironic_province_korea_xianbei
1990000026	ironic_nomad_side	ironic_province_korea_han
1990000027	ironic_nomad_side	ironic_province_sili_standard
1990000028	ironic_nomad_side	ironic_province_sili_chu
1990000029	ironic_nomad_side	ironic_province_yong_standard
1990000030	ironic_nomad_side	ironic_province_yong_xiongnu
1990000031	ironic_nomad_side	ironic_province_yong_xiliang
1990000032	ironic_nomad_side	ironic_province_yong_qiang
1990000033	ironic_nomad_side	ironic_province_ji_standard
1990000034	ironic_nomad_side	ironic_province_southern_korea_standard
1990000035	ironic_nomad_side	ironic_province_southern_korea_northern_korea
1990000036	ironic_korea_side_buildings	ironic_province_you_standard
1990000037	ironic_korea_side_buildings	ironic_province_you_wuhuan
1990000038	ironic_korea_side_buildings	ironic_province_you_xianbei
1990000039	ironic_korea_side_buildings	ironic_province_bing_standard
1990000040	ironic_korea_side_buildings	ironic_province_bing_xiongnu
1990000041	ironic_korea_side_buildings	ironic_province_bing_xiliang
1990000042	ironic_korea_side_buildings	ironic_province_liang_standard
1990000043	ironic_korea_side_buildings	ironic_province_liang_xiliang
1990000044	ironic_korea_side_buildings	ironic_province_liang_qiang
1990000045	ironic_korea_side_buildings	ironic_province_qing_standard
1990000046	ironic_korea_side_buildings	ironic_province_yan_standard
1990000047	ironic_korea_side_buildings	ironic_province_xu_standard
1990000048	ironic_korea_side_buildings	ironic_province_yu_standard
1990000049	ironic_korea_side_buildings	ironic_province_yang_standard
1990000050	ironic_korea_side_buildings	ironic_province_yang_yue
1990000051	ironic_korea_side_buildings	ironic_province_jing_standard
1990000052	ironic_korea_side_buildings	ironic_province_jing_chu
1990000053	ironic_korea_side_buildings	ironic_province_yi_standard
1990000054	ironic_korea_side_buildings	ironic_province_yi_di
1990000055	ironic_korea_side_buildings	ironic_province_yi_nanman
1990000056	ironic_korea_side_buildings	ironic_province_jiao_standard
1990000057	ironic_korea_side_buildings	ironic_province_jiao_vietnam
1990000058	ironic_korea_side_buildings	ironic_province_korea_standard
1990000059	ironic_korea_side_buildings	ironic_province_korea_xianbei
1990000060	ironic_korea_side_buildings	ironic_province_korea_han
1990000061	ironic_korea_side_buildings	ironic_province_sili_standard
1990000062	ironic_korea_side_buildings	ironic_province_sili_chu
1990000063	ironic_korea_side_buildings	ironic_province_yong_standard
1990000064	ironic_korea_side_buildings	ironic_province_yong_xiongnu
1990000065	ironic_korea_side_buildings	ironic_province_yong_xiliang
1990000066	ironic_korea_side_buildings	ironic_province_yong_qiang
1990000067	ironic_korea_side_buildings	ironic_province_ji_standard
1990000068	ironic_korea_side_buildings	ironic_province_southern_korea_standard
1990000069	ironic_korea_side_buildings	ironic_province_southern_korea_northern_korea
