id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/tribalbuildings		
295852347	ironic_chu_building	ironic_chu_building
295852348	ironic_jing_building	ironic_jing_building
295852349	ironic_qi_building	ironic_qi_building
295852350	ironic_qiang_building	ironic_qiang_building
383826125	3k_resource_bandit_buildings	ironic_wuhuan_building
295852352	ironic_xianbei_building	ironic_xianbei_building
295852353	ironic_xiliang_building	ironic_xiliang_building
295852354	ironic_xiongnu_building	ironic_xiongnu_building
295852355	ironic_xu_building	ironic_xu_building
295852356	ironic_ye_building	ironic_ye_building
295852357	ironic_yue_building	ironic_yue_building
295852358	3k_resource_bandit_buildings	ironic_chu_building
295852359	3k_resource_bandit_buildings	ironic_jing_building
295852360	3k_resource_bandit_buildings	ironic_qi_building
295852361	3k_resource_bandit_buildings	ironic_qiang_building
1864883249	ironic_wuhuan_building	ironic_wuhuan_building
295852363	3k_resource_bandit_buildings	ironic_xianbei_building
295852364	3k_resource_bandit_buildings	ironic_xiliang_building
295852365	3k_resource_bandit_buildings	ironic_xiongnu_building
295852366	3k_resource_bandit_buildings	ironic_xu_building
295852367	3k_resource_bandit_buildings	ironic_ye_building
295852368	3k_resource_bandit_buildings	ironic_yue_building
295852369	ironic_side_buildings	ironic_ye_building
295852370	ironic_side_buildings	ironic_jing_building
295852371	ironic_side_buildings	ironic_xu_building
295852372	ironic_side_buildings	ironic_xiongnu_building
295852373	ironic_side_buildings	ironic_yue_building
295852374	ironic_side_buildings	ironic_xianbei_building
1876824615	ironic_side_buildings	ironic_wuhuan_building
295852376	ironic_side_buildings	ironic_chu_building
295852377	ironic_side_buildings	ironic_qiang_building
295852378	ironic_side_buildings	ironic_qi_building
52152315	ironic_side_buildings	ironic_xiliang_building
