id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/provincial_side_buildings		
304141213	ironic_province_you_standard	ironic_province_you_standard
304141214	ironic_province_you_wuhuan	ironic_province_you_wuhuan
304141215	ironic_province_you_xianbei	ironic_province_you_xianbei
304141216	ironic_province_bing_standard	ironic_province_bing_standard
304141217	ironic_province_bing_xiongnu	ironic_province_bing_xiongnu
304141218	ironic_province_bing_xiliang	ironic_province_bing_xiliang
304141219	ironic_province_liang_standard	ironic_province_liang_standard
304141220	ironic_province_liang_xiliang	ironic_province_liang_xiliang
304141221	ironic_province_liang_qiang	ironic_province_liang_qiang
304141222	ironic_province_qing_standard	ironic_province_qing_standard
304141223	ironic_province_yan_standard	ironic_province_yan_standard
304141224	ironic_province_xu_standard	ironic_province_xu_standard
304141225	ironic_province_yu_standard	ironic_province_yu_standard
304141226	ironic_province_yang_standard	ironic_province_yang_standard
304141227	ironic_province_yang_yue	ironic_province_yang_yue
304141228	ironic_province_jing_standard	ironic_province_jing_standard
304141229	ironic_province_jing_chu	ironic_province_jing_chu
304141230	ironic_province_yi_standard	ironic_province_yi_standard
304141231	ironic_province_yi_di	ironic_province_yi_di
304141232	ironic_province_yi_nanman	ironic_province_yi_nanman
304141233	ironic_province_jiao_standard	ironic_province_jiao_standard
304141234	ironic_province_jiao_vietnam	ironic_province_jiao_vietnam
304141235	ironic_province_korea_standard	ironic_province_korea_standard
304141236	ironic_province_korea_xianbei	ironic_province_korea_xianbei
304141237	ironic_province_korea_han	ironic_province_korea_han
304141238	ironic_province_sili_standard	ironic_province_sili_standard
304141239	ironic_province_sili_chu	ironic_province_sili_chu
304141240	ironic_province_yong_standard	ironic_province_yong_standard
304141241	ironic_province_yong_xiongnu	ironic_province_yong_xiongnu
304141242	ironic_province_yong_xiliang	ironic_province_yong_xiliang
304141243	ironic_province_yong_qiang	ironic_province_yong_qiang
304141244	ironic_province_ji_standard	ironic_province_ji_standard
304141245	3k_resource_bandit_buildings	ironic_province_yu_standard
304141246	3k_resource_bandit_buildings	ironic_province_you_xianbei
304141247	3k_resource_bandit_buildings	ironic_province_you_wuhuan
304141248	3k_resource_bandit_buildings	ironic_province_you_standard
304141249	3k_resource_bandit_buildings	ironic_province_yong_xiongnu
304141250	3k_resource_bandit_buildings	ironic_province_yong_xiliang
304141251	3k_resource_bandit_buildings	ironic_province_yong_standard
304141252	3k_resource_bandit_buildings	ironic_province_yong_qiang
304141253	3k_resource_bandit_buildings	ironic_province_yi_standard
304141254	3k_resource_bandit_buildings	ironic_province_yi_nanman
304141255	3k_resource_bandit_buildings	ironic_province_yi_di
304141256	3k_resource_bandit_buildings	ironic_province_yang_yue
304141257	3k_resource_bandit_buildings	ironic_province_yang_standard
304141258	3k_resource_bandit_buildings	ironic_province_yan_standard
304141259	3k_resource_bandit_buildings	ironic_province_xu_standard
304141260	3k_resource_bandit_buildings	ironic_province_sili_standard
304141261	3k_resource_bandit_buildings	ironic_province_sili_chu
304141262	3k_resource_bandit_buildings	ironic_province_qing_standard
304141263	3k_resource_bandit_buildings	ironic_province_liang_xiliang
304141264	3k_resource_bandit_buildings	ironic_province_liang_standard
304141265	3k_resource_bandit_buildings	ironic_province_liang_qiang
304141266	3k_resource_bandit_buildings	ironic_province_korea_xianbei
304141267	3k_resource_bandit_buildings	ironic_province_korea_standard
304141268	3k_resource_bandit_buildings	ironic_province_korea_han
304141269	3k_resource_bandit_buildings	ironic_province_jing_standard
304141270	3k_resource_bandit_buildings	ironic_province_jing_chu
304141271	3k_resource_bandit_buildings	ironic_province_jiao_vietnam
304141272	3k_resource_bandit_buildings	ironic_province_jiao_standard
304141273	3k_resource_bandit_buildings	ironic_province_ji_standard
304141274	3k_resource_bandit_buildings	ironic_province_bing_xiongnu
304141275	3k_resource_bandit_buildings	ironic_province_bing_xiliang
304141276	3k_resource_bandit_buildings	ironic_province_bing_standard
