key	image_path	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting
#character_skills_tables;4;db/character_skills_tables/!!ironic_korea_skilltree								
ironic_korea_skill_sanseong	3k_skill_stability_mutability	Every ridge above the valley carries its own wall, and the people go up to it with the herds. An army that takes the valley has taken nothing.	Mountain Fortress	0	false	false	false	0.0000
ironic_korea_skill_byeonhan_iron	3k_skill_scholarship_craft	The iron of the twelve states goes north to the commanderies, east to Ye and over the water to Wa, and is weighed out as money. What stays here is worn.	Byeonhan Iron	0	false	false	false	0.0000
ironic_korea_skill_yemaek_hunt	3k_skill_intuition_unpredictability	Men who follow sable and tiger through the eastern hills, and who make the sandalwood bow, do not lose their way nor miss their mark.	Yemaek Hunters	0	false	false	false	0.0000
ironic_korea_skill_lelang_tribute	3k_skill_wisdom_villainy	Gifts carried to the commandery at Lelang buy silk, seals of office, and the years we need to make ready.	Tribute to Lelang	0	false	false	false	0.0000
ironic_korea_skill_sodo_rite	3k_skill_nobility_humanity	The pole is raised with its bells and drums, and inside the sodo no man may be seized. The people keep faith with the cheon'gun, and so with you.	Sodo Sanctuary	0	false	false	false	0.0000
ironic_korea_skill_twelvefold_law	3k_skill_diligence_stealth	In Buyeo a thief repays twelve times what he took, and his household with him. Word of it travels further than any magistrate.	Twelvefold Law	0	false	false	false	0.0000
ironic_korea_skill_five_bu	3k_skill_trust_treachery	Gyeru, Sono, Jeolo, Sunno and Gwanno. The king rules with the five bu at his shoulder, and the levies come in on time.	Council of the Five Bu	0	false	false	false	0.0000
ironic_korea_skill_ability_jindaebeop	3k_main_skill_aspect_earth_authority	The grain he lent out in the famine year is standing in the line with him now, and it does not break.	Jindaebeop	0	false	false	false	0.0000
ironic_korea_skill_ability_from_the_furrow	3k_main_skill_aspect_metal_expertise	A minister who has broken ground with his own hands knows exactly how long men can be asked to stand.	Plucked from the Furrow	0	false	false	false	0.0000
ironic_korea_skill_ability_queens_night	3k_main_skill_aspect_water_cunning	She moved once, in the dark, before anyone knew there was a decision to be made. She picks her man and she does not raise her voice.	The Queen's Night	0	false	false	false	0.0000
ironic_korea_skill_ability_elder_brothers_claim	3k_main_skill_aspect_fire_instinct	The throne passed him by, so he went to Liaodong for thirty thousand men and came back to argue the point.	Claim of the Elder Brother	0	false	false	false	0.0000
ironic_korea_skill_ability_walls_of_hwando	3k_main_skill_aspect_wood_perseverance	He put his capital behind a mountain wall. Whatever comes up the slope arrives with nothing left in it.	The Walls of Hwando	0	false	false	false	0.0000
ironic_korea_skill_ability_long_feud	3k_main_skill_aspect_earth_authority	Forty years of raids across the Silla border. His men have stopped asking what the quarrel was about.	The Long Feud	0	false	false	false	0.0000
ironic_korea_skill_ability_crown_princes_command	3k_main_skill_aspect_wood_perseverance	He led his father's armies against the Malgal long before the crown came to him. The veterans know the voice.	The Crown Prince's Command	0	false	false	false	0.0000
ironic_korea_skill_ability_wind_and_cloud	3k_main_skill_aspect_water_cunning	He is said to read flood and drought a season out. A battlefield holds nothing like that much weather.	Reader of Wind and Cloud	0	false	false	false	0.0000
ironic_korea_skill_ability_relief_to_allies	3k_main_skill_aspect_earth_authority	When the call came from the south the column was on the road before the envoy had eaten.	Relief to Allies	0	false	false	false	0.0000
ironic_korea_skill_ability_iron_sea	3k_main_skill_aspect_metal_expertise	Every ingot that leaves the Nakdong passes a wharf he owns, and the best of it never leaves at all.	Lord of the Iron Sea	0	false	false	false	0.0000
ironic_korea_skill_ability_bride_from_the_sea	3k_main_skill_aspect_water_cunning	She came ashore with a stone pagoda in the hold. Men who fight under her expect to be on the winning side.	The Bride from the Sea	0	false	false	false	0.0000
ironic_korea_skill_ability_second_king	3k_main_skill_aspect_earth_authority	The first king came out of an egg. The second has to be a government, and the ranks can feel the difference.	The Second King	0	false	false	false	0.0000
ironic_korea_skill_ability_clear_the_fields	3k_main_skill_aspect_earth_authority	Burn the valley, drive in the herds and hold the ridge wall. Let them come to us, and let them find nothing on the way.	Clear the Fields	0	false	false	false	0.0000
ironic_korea_skill_ability_dongmaeng_oath	3k_main_skill_aspect_wood_perseverance	Sworn at the tenth-month rite before heaven and the ancestors of the five bu. Men who have sworn together do not give ground.	Dongmaeng Oath	0	false	false	false	0.0000
ironic_korea_skill_ability_buyeo_horse_lords	3k_main_skill_aspect_fire_instinct	The horse clans of the northern plain ride down whatever stands in front of them, and think about their own guard afterwards.	Buyeo Horse Lords	0	false	false	false	0.0000
ironic_korea_skill_ability_horses_of_the_maga	3k_main_skill_aspect_metal_expertise	The horse clan answers for the herds, as the ox, pig and dog clans answer for theirs. Buyeo horses are known as far as Luoyang.	Horses of the Maga	0	false	false	false	0.0000
ironic_korea_skill_ability_hwandudaedo_cut	3k_main_skill_aspect_metal_expertise	The ring-pommel sword is made to cut, not to parry. Shrug the plate off your shoulders and use it.	Hwandudaedo Cut	0	false	false	false	0.0000
ironic_korea_skill_ability_iron_cuirass	3k_main_skill_aspect_wood_perseverance	Byeonhan iron goes out to the commanderies, to Ye and to Wa as money. What stays at home is worn.	Iron Cuirass	0	false	false	false	0.0000
ironic_korea_skill_ability_maek_bow	3k_main_skill_aspect_water_cunning	The bow of the Maek is asked for by name in the Han markets. Every archer in the army draws it at once.	Maek Bow	0	false	false	false	0.0000
ironic_korea_skill_ability_dangung_reach	3k_main_skill_aspect_metal_expertise	The sandalwood bow of Ye, cut and cured in the eastern hills, outranges what the commanderies issue.	Dan'gung Reach	0	false	false	false	0.0000
ironic_korea_skill_ability_cheonguns_ground	3k_main_skill_aspect_wood_perseverance	The pole is raised with its bells and drums. Inside the sodo no man may be seized and no man takes a step back - nor a step forward.	Cheon'gun's Ground	0	false	false	false	0.0000
ironic_korea_skill_ability_bells_and_drums	3k_main_skill_aspect_earth_authority	Sowing in the fifth month, harvest in the tenth: dozens stamping in time, and the drums never out of earshot.	Bells and Drums	0	false	false	false	0.0000
