key	image_path	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting
#character_skills_tables;4;db/character_skills_tables/data__								
3k_dlc04_custom_battle_loadout_caltrops_smokescreen	mh_caltrops.png	Custom Battle skill for Caltrops and Smoke Screen	Caltrops and Smoke Screen	0	false	false	false	0.0000
3k_dlc04_skill_healer_tranquillity	3k_ytr_skill_healer_tranquillity	Peace is the natural state, all else is transitory.	Tranquillity	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_catch_the_blade	3k_main_skill_aspect_wood_perseverance	Direct damage attack with addition of self inflicted damage.	Sacrificial Strike	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_fire_fire_bomb	3k_main_skill_aspect_fire_instinct	Hurl a bundle of explosive fire bombs to knockdown the enemy.	Fire Bomb	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_lord_of_heaven	3k_ytr_skill_healer_compassion	If killed in battle increases morale of own units.	Lord of Heaven	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_lord_of_the_land	3k_ytr_skill_veteran_frugality	Melee splash attack with knock down effect.	Lord of the Land	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_lord_of_the_people	3k_ytr_skill_veteran_frugality	Upon being reduced to 20% HP provides a morale buff to own nearby units.	Lord of the People	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_metal	3k_ytr_skill_scholar_humility	These words will bring shame and humiliation.	Condemn	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_metal_alt_1	3k_ytr_skill_scholar_humility	A lifetime spent learning the ways of heaven will turn thoughts into belief.	Inner Fire	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_turning_the_tides	3k_main_skill_aspect_metal_expertise	Upon nearby enemy unit routing nearby own units recieve a morale buff.	Turning the Tide	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_water_foresight	3k_main_skill_aspect_water_cunning	Guo Jia can see all that was, and all that will be.	Foresight	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_water_from_the_ashes	3k_main_skill_aspect_water_cunning	Pang Tong sacrifices himself, to aid his fellow brothers.	From the Ashes	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_water_heavenly_grace	3k_main_skill_aspect_water_cunning	Using her graceful beauty, Diaochan stuns all those around her.	Heavenly Grace	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_water_hidden_strike	3k_main_skill_aspect_water_cunning	A hidden strike hits with more power than those that are seen.	Hidden Strike	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_way_of_great_peace	3k_ytr_skill_healer_compassion	Starts chanting, reduces morale of hostile units and increases morale of own units.	Way of Great Peace	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_way_of_war	3k_ytr_skill_veteran_frugality	Stacking defence buff and increase to armour-piercing damage.	Way of War	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_way_of_wind	3k_ytr_skill_veteran_frugality	Increases battle movement speed of allied units.	Way of the Thunder	0	false	false	false	0.0000
3k_dlc04_skill_special_ability_why_the_cold_feet	3k_main_skill_aspect_water_cunning	Ranged area target debuff reducing morale of hostile units.	Show of Force	0	false	false	false	0.0000
3k_dlc04_skill_unit_base_mod_imperial	PH	 	 	0	false	false	false	0.0000
3k_dlc05_skill_mastery_earth_1_humanity_mlvl_3	3k_skill_nobility_humanity	An innate sense of compassion and understanding for everyone defines their very essence.	Humanity	0	false	false	false	0.0000
3k_dlc05_skill_mastery_earth_3_obfuscation_mlvl_3	3k_skill_clarity_obfuscation	To say what one means is not always the most useful of approaches. To NOT say what one means, however...	Obfuscation	0	false	false	false	0.0000
3k_dlc05_skill_mastery_earth_4_mutability_mlvl_3	3k_skill_stability_mutability	Decisions and beliefs blow upon the breeze like leaves; nobody can say where these ones will land.	Mutability	0	false	false	false	0.0000
3k_dlc05_skill_mastery_earth_5_restlessness_mlvl_3	3k_skill_meditation_restlessness	They cannot sit idly by, or wait, or even contemplate – this one finds it far, far better to DO.	Restlessness	0	false	false	false	0.0000
3k_dlc05_skill_mastery_fire_4_rapacity_mlvl_3	3k_skill_passion_rapacity	Whatever they can reach for, grasp or seize, you can be assured they will not miss an opportunity.	Rapacity	0	false	false	false	0.0000
3k_dlc05_skill_mastery_fire_5_shamelessness_mlvl_3	3k_skill_dignity_shamelessness	If you think that a simple matter of embarassment will stop this one from doing something, you are mistaken.	Shamelessness	0	false	false	false	0.0000
3k_dlc05_skill_mastery_metal_2_unpredictability_mlvl_3	3k_skill_intuition_unpredictability	If you believe that you know what they will do, or when they will do it, then you are twice mistaken.	Unpredictability	0	false	false	false	0.0000
3k_dlc05_skill_mastery_metal_4_evasiveness_mlvl_3	3k_skill_understanding_evasiveness	To be like the wind – to be everywhere and nowhere – is the essence of swiftness and elusivity.	Evasiveness	0	false	false	false	0.0000
3k_dlc05_skill_mastery_metal_5_stealth_mlvl_3	3k_skill_diligence_stealth	If you spot them, then it is quite probably already too late. Far, far too late…	Stealth	0	false	false	false	0.0000
3k_dlc05_skill_mastery_water_strategist_3_ruthlessness_mlvl_3	3k_skill_composure_ruthlessness	They would sacrifice their own relatives if it served the greater good. In fact, perhaps they already have?	Ruthlessness	0	false	false	false	0.0000
3k_dlc05_skill_mastery_water_strategist_4_villainy_mlvl_3	3k_skill_wisdom_villainy	The most devious schemes, the most perfidious plots, the most underhanded motives.	Villainy	0	false	false	false	0.0000
3k_dlc05_skill_mastery_water_strategist_5_craft_mlvl_3	3k_skill_scholarship_craft	The most minute, accurate flick of the wrist; the sharpest eye – craftsmen ensure that no two works are ever the same.	Craft	0	false	false	false	0.0000
3k_dlc05_skill_mastery_wood_2_gluttony_mlvl_3	3k_skill_abundance_gluttony	It may not seem that way, but stuffing your face well past the point dictated by common sense, is something of an art.	Gluttony	0	false	false	false	0.0000
3k_dlc05_skill_mastery_wood_4_treachery_mlvl_3	3k_skill_trust_treachery	As one can learn the craftsman's art, or that of the assassin, so one can also learn betrayal, in all its myriad, shameful forms.	Treachery	0	false	false	false	0.0000
3k_dlc05_skill_special_ability_earth_into_the_breach	3k_main_skill_aspect_earth_authority	A charge, fuelled by stern hearts and even sterner blades, will rip enemy lines apart.	Into the Breach	0	false	false	false	0.0000
3k_dlc05_skill_special_ability_earth_qiao_sisters	3k_main_skill_aspect_earth_authority	The strength of the two sisters together in battle makes all alies better prepared for the fight.	Qiao Sisters	0	false	false	false	0.0000
3k_dlc05_skill_special_ability_fire_scattering_blows	3k_main_skill_aspect_earth_authority	The attacks fall with such consistency that they are as a rain of strikes falling upon the foe.	Scattering Blows	0	false	false	false	0.0000
3k_dlc05_skill_special_ability_fire_targeted_strike	3k_main_skill_aspect_fire_instinct	One shot, timed and aimed to perfection, is often more important than a thousand wasted volleys.	Targeted Strikes	0	false	false	false	0.0000
3k_dlc05_skill_special_ability_fire_undying_vow	3k_main_skill_aspect_fire_instinct	To the very bitter end and beyond, if possible, to the very last breath, they will be constant and unswerving.	Undying Vow	0	false	false	false	0.0000
3k_dlc05_skill_special_ability_metal_exemplar	3k_main_skill_aspect_metal_expertise	A shining, typical, and above all appropriate model of how one should be.	Exemplar	0	false	false	false	0.0000
3k_dlc05_skill_special_ability_metal_poison_volley	3k_main_skill_aspect_metal_expertise	The thing to fear is not the bolt itself, but the dark and toxic unguent coated across its ever-increasing tip.	Poison Volley	0	false	false	false	0.0000
3k_dlc05_skill_special_ability_metal_tactical_withdrawal	3k_main_skill_aspect_metal_expertise	There is a time, dishonourable though it may appear in the moment, when living to fight again another day is by far the most sensible option.	Tactical Withdrawal	0	false	false	false	0.0000
3k_dlc05_skill_special_ability_water_analyse_weakness	3k_main_skill_aspect_water_cunning	Only through sober and considered analysis can fragility be turned to unerring strength.	Analyse Weakness	0	false	false	false	0.0000
3k_dlc05_skill_special_ability_water_stalker	3k_main_skill_aspect_water_cunning	Stealth itself, and great patience, are essential skills if you wish to ensnare your target.	Stalker	0	false	false	false	0.0000
3k_dlc05_skill_special_ability_water_two_zhangs	3k_main_skill_aspect_water_cunning	It is an established fact to friends, but never to foes, that two Zhangs are better than one.	The Two Zhangs	0	false	false	false	0.0000
3k_dlc05_skill_special_ability_wood_mending	3k_main_skill_aspect_wood_perseverance	Oft-times, ephemeral things can fixed until they are as good as new; not so people, however.	Mending	0	false	false	false	0.0000
3k_dlc06_skill_nanman_authority	3k_dlc06_nanman_character_skills_attribute_background_earth	The responsibility that comes with authority should not be taken lightly.	Commander	0	false	false	false	0.0000
3k_dlc06_skill_nanman_cunning	3k_dlc06_nanman_character_skills_attribute_background_water	Be cunning and full of tricks and your people shall never be destroyed.	Strategist	0	false	false	false	0.0000
3k_dlc06_skill_nanman_expertise	3k_dlc06_nanman_character_skills_attribute_background_metal	Martial expertise from hard work. Practice. Preparation. Endless repetition.	Sentinel	0	false	false	false	0.0000
3k_dlc06_skill_nanman_instinct	3k_dlc06_nanman_character_skills_attribute_background_fire	Concentrate on the moment: fight, don't think. Use your instincts.	Vanguard	0	false	false	false	0.0000
3k_dlc06_skill_nanman_resolve	3k_dlc06_nanman_character_skills_attribute_background_wood	A hero's resolve is not to seem the bravest, but to be it.	Champion	0	false	false	false	0.0000
3k_dlc06_skill_special_ability_ancient_wisdom	3k_main_skill_aspect_wood_perseverance	The ways of the land are known to those who have trodden these paths their entire lives.	Ancient Wisdom	0	false	false	false	0.0000
3k_dlc06_skill_special_ability_blood_price	3k_main_skill_aspect_fire_instinct	There is a price for every action. Especially war.	Blood Price	0	false	false	false	0.0000
