faction	optional_campaign_key	pooled_resource
#ui_primary_faction_pooled_resources_tables;1;db/ui_primary_faction_pooled_resources_tables/ironic_resources		
ironic_faction_chen_wen		ironic_coalition_of_the_plains
ironic_faction_di_tribes		ironic_trailblazing
ironic_faction_goguryeo		ironic_military_conquest
3k_main_faction_gongsun_du		ironic_liaodong_han_relations
3k_main_faction_yellow_turban_anding		3k_embers_pooled_resource
3k_main_faction_yellow_turban_rebels		3k_embers_pooled_resource
3k_main_faction_yellow_turban_taishan		3k_embers_pooled_resource
3k_main_faction_yellow_turban_generic		3k_embers_pooled_resource
ironic_faction_zhang_jin_border		ironic_firmness
ironic_faction_huang_clan		ironic_supervision
3k_main_faction_jia_long		ironic_gentry_support
ironic_faction_xianbei_tuoba		ironic_great_ambition
3k_main_faction_kong_zhou		ironic_harmony
ironic_faction_xianbei_kuitou		ironic_path_ts
3k_main_faction_liu_yao		ironic_war_weariness
3k_main_faction_liu_dai		ironic_siege_warfare
ironic_faction_ma_ai		ironic_ma_ai_mercantilism
3k_main_faction_gao_gan		ironic_defensive_struggle
3k_dlc04_faction_liang_rebels		ironic_song_jian_resource
3k_main_faction_han_sui		ironic_han_sui_resource
ironic_faction_xiongnu_tribes		ironic_xiongnu_tribute
ironic_faction_wuhuan_tribes		ironic_wuhuan_resource
3k_dlc05_faction_sun_ce		3k_dlc05_pooled_resource_reckless_luck
3k_main_faction_liu_yu		ironic_han_liu_yu_peace
3k_main_faction_huang_zu		ironic_huang_zu_prime_ambush
3k_main_faction_zhang_yang		ironic_xiahou_yuan_resource
3k_main_faction_wang_kuang		ep_pooled_resource_sima_wei
3k_main_faction_yulin		ep_pooled_resource_sima_jiong_control
3k_dlc05_faction_yang_feng		ironic_bandit_rebellion
3k_dlc04_faction_lu_kang		ironic_governor_jurisdiction
3k_main_faction_cai_mao		ironic_cao_ren_preparation
3k_main_faction_han_fu		ep_pooled_resource_influence
3k_dlc04_faction_chen_gui		ep_pooled_resource_sima_lun_subterfuge
ironic_faction_gan_ning		ironic_robin_hood
3k_main_faction_zhang_lu		ironic_zhang_lu_celestial
3k_main_faction_wang_lang		ironic_experience
3k_dlc05_faction_wu_jing		ironic_family_persistence
3k_main_faction_zhang_chao		ironic_Calligraphy
3k_dlc04_faction_zhang_bao		3k_dlc04_pooled_resource_fervour
3k_dlc04_faction_zhang_jue		3k_dlc04_pooled_resource_fervour
3k_dlc04_faction_zhang_liang		3k_dlc04_pooled_resource_fervour
ironic_faction_su_dai		ep_pooled_resource_reformation
