faction	optional_campaign_key	pooled_resource
#ui_primary_faction_pooled_resources_tables;1;db/ui_primary_faction_pooled_resources_tables/data__		
3k_dlc04_faction_empress_he		3k_dlc04_pooled_resource_political_influence
3k_dlc04_faction_prince_liu_chong		3k_dlc04_pooled_resource_fortitude
3k_dlc04_faction_zhang_bao	3k_dlc04_start_pos	3k_dlc04_pooled_resource_fervour
3k_dlc04_faction_zhang_jue	3k_dlc04_start_pos	3k_dlc04_pooled_resource_fervour
3k_dlc04_faction_zhang_liang	3k_dlc04_start_pos	3k_dlc04_pooled_resource_fervour
3k_dlc05_faction_sun_ce		3k_dlc05_pooled_resource_reckless_luck
3k_dlc06_faction_nanman_king_mulu		3k_dlc06_pooled_resource_mulu_pride
3k_dlc06_faction_nanman_lady_zhurong		3k_dlc06_pooled_resource_goddess_of_fire
3k_main_faction_cao_cao		3k_main_pooled_resource_credibility
3k_main_faction_dong_zhuo		3k_main_pooled_resource_intimidation
3k_main_faction_kong_rong		3k_main_pooled_resource_kong_rong
3k_main_faction_liu_bei		3k_main_pooled_resource_unity
3k_main_faction_liu_biao		3k_dlc04_pooled_resource_liu_biao_governance
3k_main_faction_liu_yan		3k_dlc07_pooled_resource_ambition
3k_main_faction_lu_bu		3k_dlc05_pooled_resource_lu_bu_momentum
3k_main_faction_shi_xie		3k_dlc06_pooled_resource_splendour
3k_main_faction_sun_jian		3k_main_pooled_resource_heroism
3k_main_faction_tao_qian		3k_dlc04_pooled_resource_displaced_population
3k_main_faction_yuan_shao		3k_main_pooled_resource_lineage
3k_main_faction_yuan_shu		3k_main_pooled_resource_legitimacy
3k_main_faction_zheng_jiang		3k_main_pooled_resource_infamy
ep_faction_prince_of_changsha		ep_pooled_resource_reformation
ep_faction_prince_of_chu		ep_pooled_resource_sima_wei
ep_faction_prince_of_donghai		ep_pooled_resource_influence
ep_faction_prince_of_qi		ep_pooled_resource_sima_jiong_control
ep_faction_prince_of_runan		ep_pooled_resource_sima_liang_jurisdiction
ep_faction_prince_of_zhao		ep_pooled_resource_sima_lun_subterfuge
