member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/barbarianpeaceresource		
ironic_xiongnu_rage_level_0	owner	ironic_faction_xiongnu_tribes_separatists
ironic_xiongnu_rage_level_1	owner	ironic_faction_xiongnu_tribes_separatists
ironic_xiongnu_rage_level_2	owner	ironic_faction_xiongnu_tribes_separatists
ironic_xiongnu_rage_level_3	owner	ironic_faction_xiongnu_tribes_separatists
ironic_xiongnu_rage_level_4	owner	ironic_faction_xiongnu_tribes_separatists
ironic_xiongnu_rage_level_5	owner	ironic_faction_xiongnu_tribes_separatists
ironic_xiongnu_rage_level_6	owner	ironic_faction_xiongnu_tribes_separatists
ironic_xiongnu_rage_resource_207	owner	ironic_faction_xiongnu_tribes_separatists
ironic_xiongnu_rage_crushing_defeat	actor	ironic_faction_xiongnu_tribes_separatists
ironic_xiongnu_rage_valiant_defeat	actor	ironic_faction_xiongnu_tribes_separatists
ironic_xiongnu_rage_close_defeat	actor	ironic_faction_xiongnu_tribes_separatists
ironic_xiongnu_rage_decisive_defeat	actor	ironic_faction_xiongnu_tribes_separatists
ironic_xiongnu_rage_barbarian_post_battle	victor	ironic_faction_xiongnu_tribes_separatists
ironic_wuhuan_rage_level_0	owner	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_level_1	owner	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_level_2	owner	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_level_3	owner	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_level_4	owner	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_level_5	owner	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_level_6	owner	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_resource_207	actor	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_crushing_defeat	actor	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_valiant_defeat	actor	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_close_defeat	actor	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_decisive_defeat	actor	ironic_faction_wuhuan_tribes_separatists
ironic_xiongnu_rage_close_victory	actor	ironic_faction_wuhuan_tribes_separatists
ironic_xiongnu_rage_heroic_victory	actor	ironic_faction_wuhuan_tribes_separatists
ironic_xiongnu_rage_pyrrhic_victory	actor	ironic_faction_wuhuan_tribes_separatists
ironic_xiongnu_rage_decisive_victory	actor	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_close_victory	actor	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_heroic_victory	actor	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_pyrrhic_victory	actor	ironic_faction_wuhuan_tribes_separatists
ironic_wuhuan_rage_decisive_victory	actor	ironic_faction_wuhuan_tribes_separatists
ironic_di_rage_level_0	owner	ironic_faction_di_tribes_separatists
ironic_di_rage_level_1	owner	ironic_faction_di_tribes_separatists
ironic_di_rage_level_2	owner	ironic_faction_di_tribes_separatists
ironic_di_rage_level_3	owner	ironic_faction_di_tribes_separatists
ironic_di_rage_level_4	owner	ironic_faction_di_tribes_separatists
ironic_di_rage_level_5	owner	ironic_faction_di_tribes_separatists
ironic_di_rage_level_6	owner	ironic_faction_di_tribes_separatists
ironic_di_rage_resource_207	actor	ironic_faction_di_tribes_separatists
ironic_di_rage_crushing_defeat	actor	ironic_faction_di_tribes_separatists
ironic_di_rage_valiant_defeat	actor	ironic_faction_di_tribes_separatists
ironic_di_rage_close_defeat	actor	ironic_faction_di_tribes_separatists
ironic_di_rage_decisive_defeat	actor	ironic_faction_di_tribes_separatists
ironic_di_rage_close_victory	actor	ironic_faction_di_tribes_separatists
