campaign_group	effect_type	effect_bundle
#campaign_group_pooled_resource_effects_tables;0;db/campaign_group_pooled_resource_effects_tables/guv_yellow_turban_190_resource		
3k_dlc04_campaign_group_pooled_resource_fervour_level_1_he_yi	PERCENTAGE_OF_CAPACITY	3k_he_yi_embers_bundle_1
3k_dlc04_campaign_group_pooled_resource_fervour_level_1_gong_du	PERCENTAGE_OF_CAPACITY	3k_gong_du_embers_bundle_1
3k_dlc04_campaign_group_pooled_resource_fervour_level_1_huang_shao	PERCENTAGE_OF_CAPACITY	3k_huang_shao_embers_bundle_1
3k_dlc04_campaign_group_pooled_resource_fervour_level_2_he_yi	PERCENTAGE_OF_CAPACITY	3k_he_yi_embers_bundle_2
3k_dlc04_campaign_group_pooled_resource_fervour_level_2_gong_du	PERCENTAGE_OF_CAPACITY	3k_gong_du_embers_bundle_2
3k_dlc04_campaign_group_pooled_resource_fervour_level_2_huang_shao	PERCENTAGE_OF_CAPACITY	3k_huang_shao_embers_bundle_2
3k_dlc04_campaign_group_pooled_resource_fervour_level_3_he_yi	PERCENTAGE_OF_CAPACITY	3k_he_yi_embers_bundle_3
3k_dlc04_campaign_group_pooled_resource_fervour_level_3_gong_du	PERCENTAGE_OF_CAPACITY	3k_gong_du_embers_bundle_3
3k_dlc04_campaign_group_pooled_resource_fervour_level_3_huang_shao	PERCENTAGE_OF_CAPACITY	3k_huang_shao_embers_bundle_3
3k_dlc04_campaign_group_pooled_resource_fervour_level_4_he_yi	PERCENTAGE_OF_CAPACITY	3k_he_yi_embers_bundle_4
3k_dlc04_campaign_group_pooled_resource_fervour_level_4_gong_du	PERCENTAGE_OF_CAPACITY	3k_gong_du_embers_bundle_4
3k_dlc04_campaign_group_pooled_resource_fervour_level_4_huang_shao	PERCENTAGE_OF_CAPACITY	3k_huang_shao_embers_bundle_4
3k_dlc04_campaign_group_pooled_resource_fervour_level_5_he_yi	PERCENTAGE_OF_CAPACITY	3k_he_yi_embers_bundle_5
3k_dlc04_campaign_group_pooled_resource_fervour_level_5_gong_du	PERCENTAGE_OF_CAPACITY	3k_gong_du_embers_bundle_5
3k_dlc04_campaign_group_pooled_resource_fervour_level_5_huang_shao	PERCENTAGE_OF_CAPACITY	3k_huang_shao_embers_bundle_5
3k_dlc04_campaign_group_pooled_resource_fervour_level_1_generic	PERCENTAGE_OF_CAPACITY	3k_yt_generic_embers_bundle_1
3k_dlc04_campaign_group_pooled_resource_fervour_level_2_generic	PERCENTAGE_OF_CAPACITY	3k_yt_generic_embers_bundle_2
3k_dlc04_campaign_group_pooled_resource_fervour_level_3_generic	PERCENTAGE_OF_CAPACITY	3k_yt_generic_embers_bundle_3
3k_dlc04_campaign_group_pooled_resource_fervour_level_4_generic	PERCENTAGE_OF_CAPACITY	3k_yt_generic_embers_bundle_4
3k_dlc04_campaign_group_pooled_resource_fervour_level_5_generic	PERCENTAGE_OF_CAPACITY	3k_yt_generic_embers_bundle_5
