campaign_group	effect_type	effect_bundle
#campaign_group_pooled_resource_effects_tables;0;db/campaign_group_pooled_resource_effects_tables/shiclan		
ep_campaign_group_pooled_resource_control_level_1	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_control_level_1
ep_campaign_group_pooled_resource_control_level_2	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_control_level_2
ep_campaign_group_pooled_resource_control_level_3	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_control_level_3
ep_campaign_group_pooled_resource_control_level_4	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_control_level_4
ep_campaign_group_pooled_resource_control_level_5	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_control_level_5
ep_campaign_group_pooled_resource_sima_wei_level_1	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_sima_wei_level_1
ep_campaign_group_pooled_resource_sima_wei_level_2	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_sima_wei_level_2
ep_campaign_group_pooled_resource_sima_wei_level_3	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_sima_wei_level_3
ep_campaign_group_pooled_resource_sima_wei_level_4	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_sima_wei_level_4
ep_campaign_group_pooled_resource_subterfuge_level_1	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_subterfuge_level_1
ep_campaign_group_pooled_resource_subterfuge_level_2	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_subterfuge_level_2
ep_campaign_group_pooled_resource_subterfuge_level_3	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_subterfuge_level_3
ep_campaign_group_pooled_resource_subterfuge_level_4	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_subterfuge_level_4
ep_campaign_group_pooled_resource_influence_level_1	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_influence_level_1
ep_campaign_group_pooled_resource_influence_level_2	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_influence_level_2
ep_campaign_group_pooled_resource_influence_level_3	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_influence_level_3
ep_campaign_group_pooled_resource_influence_level_4	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_influence_level_4
ep_campaign_group_pooled_resource_influence_level_5	PERCENTAGE_OF_CAPACITY	chibi_effect_bundle_pooled_resource_influence_level_5
