campaign_group	effect_type	effect_bundle
#campaign_group_pooled_resource_effects_tables;0;db/campaign_group_pooled_resource_effects_tables/rebellionresource		
ironic_bandit_rebellion_level_0	PERCENTAGE_OF_CAPACITY	ironic_bandit_resource_level_0
ironic_bandit_rebellion_level_1	PERCENTAGE_OF_CAPACITY	ironic_bandit_resource_level_1
ironic_bandit_rebellion_level_2	PERCENTAGE_OF_CAPACITY	ironic_bandit_resource_level_2
ironic_bandit_rebellion_level_3	PERCENTAGE_OF_CAPACITY	ironic_bandit_resource_level_3
ironic_bandit_rebellion_level_4	PERCENTAGE_OF_CAPACITY	ironic_bandit_resource_level_4
ironic_bandit_rebellion_level_5	PERCENTAGE_OF_CAPACITY	ironic_bandit_resource_level_5
ironic_bandit_rebellion_level_6	PERCENTAGE_OF_CAPACITY	ironic_bandit_resource_level_6
ironic_bandit_rebellion_level_7	PERCENTAGE_OF_CAPACITY	ironic_bandit_rebellion_level_7
ironic_bandit_rebellion_level_8	PERCENTAGE_OF_CAPACITY	ironic_bandit_rebellion_level_8
