campaign_group	effect_type	effect_bundle
#campaign_group_pooled_resource_effects_tables;0;db/campaign_group_pooled_resource_effects_tables/ironic_liu_pan_raider		
ironic_liu_pan_ferocity_level_0	PERCENTAGE_OF_CAPACITY	ironic_liu_pan_ferocity_level_0
ironic_liu_pan_ferocity_level_1	PERCENTAGE_OF_CAPACITY	ironic_liu_pan_ferocity_level_1
ironic_liu_pan_ferocity_level_2	PERCENTAGE_OF_CAPACITY	ironic_liu_pan_ferocity_level_2
ironic_liu_pan_ferocity_level_3	PERCENTAGE_OF_CAPACITY	ironic_liu_pan_ferocity_level_3
ironic_liu_pan_ferocity_level_4	PERCENTAGE_OF_CAPACITY	ironic_liu_pan_ferocity_level_4
ironic_liu_pan_ferocity_level_5	PERCENTAGE_OF_CAPACITY	ironic_liu_pan_ferocity_level_5
ironic_liu_pan_uncle_favour_level_0	PERCENTAGE_OF_CAPACITY	ironic_liu_pan_uncle_favour_level_0
ironic_liu_pan_uncle_favour_level_1	PERCENTAGE_OF_CAPACITY	ironic_liu_pan_uncle_favour_level_1
ironic_liu_pan_uncle_favour_level_2	PERCENTAGE_OF_CAPACITY	ironic_liu_pan_uncle_favour_level_2
ironic_liu_pan_uncle_favour_level_3	PERCENTAGE_OF_CAPACITY	ironic_liu_pan_uncle_favour_level_3
ironic_liu_pan_uncle_favour_level_4	PERCENTAGE_OF_CAPACITY	ironic_liu_pan_uncle_favour_level_4
