key	agent_key	campaign_key	faction_key	subculture	for_army	for_navy	agent_subtype_key	game_mode
#character_skill_node_sets_tables;3;db/character_skill_node_sets_tables/skill_set_jan								
3k_main_skillset_song_jian_minister_metal	general				false	false	3k_general_metal	
3k_main_skillset_man_chong_governor_fire	general				false	false	3k_general_fire	
3k_main_skillset_bu_lianshi_envoy_water_strategist	general				false	false	3k_general_water	
3k_main_skillset_cao_biao_agent_earth	general				false	false	3k_general_earth	
3k_main_skillset_cao_pi_minister_earth	general				false	false	3k_general_earth	
3k_main_skillset_cao_rui_minister_earth	general				false	false	3k_general_earth	
3k_main_skillset_cao_xiu_general_fire	general				false	false	3k_general_fire	
3k_main_skillset_cao_zhi_minister_water_strategist	general				false	false	3k_general_water	
3k_main_skillset_deng_ai_general_metal	general				false	false	3k_general_metal	
3k_main_skillset_gongsun_yuan_minister_fire	general				false	false	3k_general_fire	
3k_main_skillset_guan_suo_general_wood	general				false	false	3k_general_wood	
3k_main_skillset_guo_huai_general_earth	general				false	false	3k_general_earth	
3k_main_skillset_huang_yueying_envoy_metal	general				false	false	3k_general_metal	
3k_main_skillset_jia_chong_minister_water_strategist	general				false	false	3k_general_water	
3k_main_skillset_liu_shan_minister_earth	general				false	false	3k_general_earth	
3k_main_skillset_lu_ji_minister_water_strategist	general				false	false	3k_general_water	
3k_main_skillset_lu_xun_minister_water_strategist	general				false	false	3k_general_water	
3k_main_skillset_ma_dai_general_fire	general				false	false	3k_general_fire	
3k_main_skillset_ma_liang_minister_water_strategist	general				false	false	3k_general_water	
3k_main_skillset_ma_su_minister_water_strategist	general				false	false	3k_general_water	
3k_main_skillset_ma_zhong_general_wood	general				false	false	3k_general_wood	
3k_main_skillset_qian_zhao_general_metal	general				false	false	3k_general_metal	
3k_main_skillset_sima_shi_minister_earth	general				false	false	3k_general_earth	
3k_main_skillset_sima_zhao_minister_earth	general				false	false	3k_general_earth	
3k_main_skillset_wang_ping_general_fire	general				false	false	3k_general_fire	
3k_main_skillset_wang_yuanji_envoy_earth	general				false	false	3k_general_earth	
3k_main_skillset_wu_jing_minister_fire	general				false	false	3k_general_fire	
3k_main_skillset_xiahou_ba_general_fire	general				false	false	3k_general_fire	
3k_main_skillset_xin_xianying_governor_water_strategist	general				false	false	3k_general_water	
3k_main_skillset_xu_shu_general_water_strategist	general				false	false	3k_general_water	
3k_main_skillset_zhang_chunhua_envoy_water_strategist	general				false	false	3k_general_water	
3k_main_skillset_zhang_ni_general_wood	general				false	false	3k_general_wood	
3k_main_skillset_zhang_yi_general_metal	general				false	false	3k_general_metal	
3k_main_skillset_zhong_hui_general_earth	general				false	false	3k_general_earth	
3k_main_skillset_zhong_yao_governor_water_strategist	general				false	false	3k_general_water	
3k_main_skillset_zhu_huan_general_earth	general				false	false	3k_general_earth	
3k_main_skillset_zhu_ran_general_fire	general				false	false	3k_general_fire	
3k_main_skillset_zhuge_dan_general_fire	general				false	false	3k_general_fire	
3k_main_skillset_zhuge_jin_minister_water_strategist	general				false	false	3k_general_water	
3k_main_skillset_zhuge_ke_minister_earth	general				false	false	3k_general_earth	
