key	agent_key	campaign_key	faction_key	subculture	for_army	for_navy	agent_subtype_key	game_mode
#character_skill_node_sets_tables;3;db/character_skill_node_sets_tables/data__								
3k_dlc04_skillset_historical_diao_chan	general			3k_main_chinese	false	false	3k_general_water	
3k_dlc04_skillset_historical_empress_he	general				false	false	3k_general_fire	
3k_dlc04_skillset_historical_guo_jia	general			3k_main_chinese	false	false	3k_general_water	
3k_dlc04_skillset_historical_he_jin	general				false	false	3k_general_water	
3k_dlc04_skillset_historical_huang_gai	general			3k_main_chinese	false	false	3k_general_fire	
3k_dlc04_skillset_historical_huangfu_song	general				false	false	3k_general_metal	
3k_dlc04_skillset_historical_jia_xu	general			3k_main_chinese	false	false	3k_general_water	
3k_dlc04_skillset_historical_lu_zhi	general			3k_main_chinese	false	false		
3k_dlc04_skillset_historical_pang_tong	general			3k_main_chinese	false	false	3k_general_water	
3k_dlc04_skillset_historical_prince_liu_chong	general				false	false	3k_general_earth	
3k_dlc04_skillset_historical_tao_qian	general				false	false	3k_general_water	
3k_dlc04_skillset_historical_zhang_bao	general			3k_main_subculture_yellow_turban	false	false	3k_general_wood	
3k_dlc04_skillset_historical_zhang_jue	general			3k_main_subculture_yellow_turban	false	false	3k_general_metal	
3k_dlc04_skillset_historical_zhang_liang	general			3k_main_subculture_yellow_turban	false	false	3k_general_fire	
3k_dlc05_skillset_generic_bandit_agent_earth	general				false	false	3k_general_earth	
3k_dlc05_skillset_generic_bandit_agent_fire	general				false	false	3k_general_fire	
3k_dlc05_skillset_generic_bandit_agent_metal	general				false	false	3k_general_metal	
3k_dlc05_skillset_generic_bandit_agent_water_strategist	general				false	false	3k_general_water	
3k_dlc05_skillset_generic_bandit_agent_wood	general				false	false	3k_general_wood	
3k_dlc05_skillset_generic_bandit_envoy_earth	general				false	false	3k_general_earth	
3k_dlc05_skillset_generic_bandit_envoy_fire	general				false	false	3k_general_fire	
3k_dlc05_skillset_generic_bandit_envoy_metal	general				false	false	3k_general_metal	
3k_dlc05_skillset_generic_bandit_envoy_water_strategist	general				false	false	3k_general_water	
3k_dlc05_skillset_generic_bandit_envoy_wood	general				false	false	3k_general_wood	
3k_dlc05_skillset_generic_bandit_general_earth	general				false	false	3k_general_earth	
3k_dlc05_skillset_generic_bandit_general_fire	general				false	false	3k_general_fire	
3k_dlc05_skillset_generic_bandit_general_metal	general				false	false	3k_general_metal	
3k_dlc05_skillset_generic_bandit_general_water_strategist	general				false	false	3k_general_water	
3k_dlc05_skillset_generic_bandit_general_wood	general				false	false	3k_general_wood	
