frontend_leader	political_party
#political_parties_frontend_leaders_junctions_tables;2;db/political_parties_frontend_leaders_junctions_tables/data__	
3k_dlc04_main_political_party_prince_liu_chong_ruler	3k_dlc04_main_political_party_prince_liu_chong_ruler
3k_dlc04_political_party_cao_cao_ruler	3k_main_political_party_cao_cao_ruler
3k_dlc04_political_party_dong_zhuo_ruler	3k_main_political_party_dong_zhuo_ruler
3k_dlc04_political_party_empress_he_ruler	3k_dlc04_political_party_empress_he_ruler
3k_dlc04_political_party_liu_bei_ruler	3k_main_political_party_liu_bei_ruler
3k_dlc04_political_party_liu_biao_ruler	3k_main_political_party_liu_biao_ruler
3k_dlc04_political_party_lu_zhi_ruler	3k_dlc04_political_party_lu_zhi_ruler
3k_dlc04_political_party_ma_teng_ruler	3k_main_political_party_ma_teng_ruler
3k_dlc04_political_party_prince_liu_chong_ruler	3k_dlc04_political_party_prince_liu_chong_ruler
3k_dlc04_political_party_sun_jian_ruler	3k_main_political_party_sun_jian_ruler
3k_dlc04_political_party_tao_qian_ruler	3k_main_political_party_tao_qian_ruler
3k_dlc04_political_party_yuan_shu_ruler	3k_main_political_party_yuan_shu_ruler
3k_dlc04_political_party_zhang_bao_ruler	3k_dlc04_political_party_zhang_bao_ruler
3k_dlc04_political_party_zhang_jue_ruler	3k_dlc04_political_party_zhang_jue_ruler
3k_dlc04_political_party_zhang_liang_ruler	3k_dlc04_political_party_zhang_liang_ruler
3k_dlc05_political_party_cao_cao_ruler	3k_main_political_party_cao_cao_ruler
3k_dlc05_political_party_gongsun_zan_ruler	3k_main_political_party_gongsun_zan_ruler
3k_dlc05_political_party_kong_rong_ruler	3k_main_political_party_kong_rong_ruler
3k_dlc05_political_party_liu_bei_ruler	3k_main_political_party_liu_bei_ruler
3k_dlc05_political_party_liu_biao_ruler	3k_main_political_party_liu_biao_ruler
3k_dlc05_political_party_liu_yan_ruler	3k_dlc07_political_party_liu_zhang_ruler
3k_dlc05_political_party_lu_bu_ruler	3k_dlc05_political_party_lu_bu_ruler
3k_dlc05_political_party_ma_teng_ruler	3k_main_political_party_ma_teng_ruler
3k_dlc05_political_party_prince_liu_chong_ruler	3k_dlc04_political_party_prince_liu_chong_ruler
3k_dlc05_political_party_sun_ce_ruler	3k_dlc05_political_party_sun_ce_ruler
3k_dlc05_political_party_white_tiger_yan_ruler	3k_dlc05_political_party_white_tiger_yan_ruler
3k_dlc05_political_party_yellow_turban_ruler	3k_main_political_party_yellow_turban_ruler
3k_dlc05_political_party_yuan_shao_ruler	3k_main_political_party_yuan_shao_ruler
3k_dlc05_political_party_yuan_shu_ruler	3k_main_political_party_yuan_shu_ruler
3k_dlc05_political_party_zhang_yan_ruler	3k_dlc05_political_party_zhang_yan_ruler
3k_dlc05_political_party_zheng_jiang_ruler	3k_main_political_party_zheng_jiang_ruler
3k_dlc06_political_party_nanman_king_meng_huo_ruler_190	3k_dlc06_political_party_nanman_meng_huo_ruler
3k_dlc06_political_party_nanman_king_meng_huo_ruler_194	3k_dlc06_political_party_nanman_meng_huo_ruler
3k_dlc06_political_party_nanman_king_meng_huo_ruler_198	3k_dlc06_political_party_nanman_meng_huo_ruler
3k_dlc06_political_party_nanman_king_mulu_ruler_190	3k_dlc06_political_party_nanman_king_mulu_ruler
3k_dlc06_political_party_nanman_king_mulu_ruler_194	3k_dlc06_political_party_nanman_king_mulu_ruler
3k_dlc06_political_party_nanman_king_mulu_ruler_198	3k_dlc06_political_party_nanman_king_mulu_ruler
3k_dlc06_political_party_nanman_king_shamoke_ruler_190	3k_dlc06_political_party_nanman_king_shamoke_ruler
3k_dlc06_political_party_nanman_king_shamoke_ruler_194	3k_dlc06_political_party_nanman_king_shamoke_ruler
3k_dlc06_political_party_nanman_king_shamoke_ruler_198	3k_dlc06_political_party_nanman_king_shamoke_ruler
3k_dlc06_political_party_nanman_lady_zhurong_ruler_190	3k_dlc06_political_party_nanman_lady_zhurong_ruler
3k_dlc06_political_party_nanman_lady_zhurong_ruler_194	3k_dlc06_political_party_nanman_lady_zhurong_ruler
3k_dlc06_political_party_shi_xie_ruler_190	3k_dlc06_political_party_shi_xie_ruler
3k_dlc06_political_party_shi_xie_ruler_194	3k_dlc06_political_party_shi_xie_ruler
3k_dlc06_political_party_shi_xie_ruler_198	3k_dlc06_political_party_shi_xie_ruler
3k_dlc07_political_party_cao_cao_ruler	3k_main_political_party_cao_cao_ruler
3k_dlc07_political_party_liu_bei_ruler	3k_main_political_party_liu_bei_ruler
3k_dlc07_political_party_liu_biao_ruler	3k_main_political_party_liu_biao_ruler
3k_dlc07_political_party_liu_zhang_ruler	3k_dlc07_political_party_liu_zhang_ruler
3k_dlc07_political_party_ma_teng_ruler	3k_main_political_party_ma_teng_ruler
3k_dlc07_political_party_sun_ce_ruler	3k_dlc05_political_party_sun_ce_ruler
