frontend_leader	political_party
#political_parties_frontend_leaders_junctions_tables;2;db/political_parties_frontend_leaders_junctions_tables/gaogan	
ironic_main_gao_gan_faction_leader	3k_main_political_party_gao_gan_190
ironic_main_song_jian_faction_leader	3k_main_political_party_song_jian_190
ironic_main_han_sui_faction_leader	3k_main_political_party_han_sui_190
ironic_main_wuhuan_faction_leader	3k_main_political_party_wuhuan_190
ironic_main_xiongnu_faction_leader	3k_main_political_party_xiongnu_190
ironic_main_sun_ce_faction_leader	3k_dlc05_political_party_sun_ce_ruler
3k_main_political_party_liu_yu_190	3k_main_political_party_liu_yu_190
3k_main_political_party_wang_kuang_190	3k_main_political_party_wang_kuang_190
3k_main_political_party_zhang_yang_190	3k_main_political_party_zhang_yang_190
3k_main_political_party_yang_feng_190	3k_main_political_party_yang_feng_190
3k_main_political_party_gongsun_du_190	3k_main_political_party_gongsun_du_190
3k_main_political_party_liu_dai_190	3k_main_political_party_liu_dai_190
3k_main_political_party_ying_shao_190	3k_main_political_party_ying_shao_190
3k_main_political_party_chen_gui_190	3k_main_political_party_chen_gui_190
3k_main_political_party_ze_rong_190	3k_main_political_party_ze_rong_190
3k_main_political_party_zhang_chao_190	3k_main_political_party_zhang_chao_190
3k_main_political_party_chen_wen_190	3k_main_political_party_chen_wen_190
3k_main_political_party_bian_rang_190	3k_main_political_party_bian_rang_190
3k_main_political_party_lu_kang_190	3k_main_political_party_lu_kang_190
3k_main_political_party_zhang_lu_190	3k_main_political_party_zhang_lu_190
3k_main_political_party_jia_long_190	3k_main_political_party_jia_long_190
3k_main_political_party_liu_yao_190	3k_main_political_party_liu_yao_190
3k_main_political_party_sheng_xian_190	3k_main_political_party_sheng_xian_190
3k_main_political_party_wang_lang_190	3k_main_political_party_wang_lang_190
3k_main_political_party_zhu_hao_190	3k_main_political_party_zhu_hao_190
3k_main_political_party_hua_xin_190	3k_main_political_party_hua_xin_190
3k_main_political_party_zhuge_xuan_190	3k_main_political_party_zhuge_xuan_190
3k_main_political_party_liu_pan_190	3k_main_political_party_liu_pan_190
3k_main_political_party_zhang_xian_190	3k_main_political_party_zhang_xian_190
3k_main_political_party_zhang_jin_190	3k_main_political_party_zhang_jin_190
3k_main_political_party_shi_huang_190	3k_main_political_party_shi_huang_190
3k_main_political_party_gan_ning_190	3k_main_political_party_gan_ning_190
3k_main_political_party_han_empire_190	3k_main_political_party_han_empire_190
3k_main_political_party_huang_zu_190	3k_main_political_party_huang_zu_190
3k_main_political_party_cai_mao_190	3k_main_political_party_cai_mao_190
3k_main_political_party_kong_zhou_190	3k_main_political_party_kong_zhou_190
3k_main_political_party_yt_generic_190	3k_main_political_party_yt_generic_190
3k_main_political_party_zhu_fu_190	3k_main_political_party_zhu_fu_190
3k_main_political_party_wu_ju_190	3k_main_political_party_wu_ju_190
3k_main_political_party_lai_gong_190	3k_main_political_party_lai_gong_190
3k_main_political_party_han_fu_190	3k_main_political_party_han_fu_190
3k_main_political_party_goguryeo_190	3k_main_political_party_goguryeo_190
3k_main_political_party_lu_bu_190	3k_main_political_party_lu_bu_190
3k_main_political_party_xianbei_kuitou_190	3k_main_political_party_xianbei_kuitou_190
3k_main_political_party_xianbei_tuoba_190	3k_main_political_party_xianbei_tuoba_190
3k_main_political_party_di_tribes_190	3k_main_political_party_di_tribes_190
3k_main_political_party_ma_ai_190	3k_main_political_party_ma_ai_190
3k_main_political_party_huang_clan_190	3k_main_political_party_huang_clan_190
3k_main_political_party_handan_shang_190	3k_main_political_party_handan_shang_190
3k_main_political_party_faction_jiuzhen_190	3k_main_political_party_faction_jiuzhen_190
3k_main_political_party_faction_nanman_jiangyang_190	3k_main_political_party_faction_nanman_jiangyang_190
3k_main_political_party_faction_nanman_jianning_190	3k_main_political_party_faction_nanman_jianning_190
3k_main_political_party_faction_nanman_yunnan_190	3k_main_political_party_faction_nanman_yunnan_190
3k_main_political_party_faction_nanman_ahuinan_190	3k_main_political_party_faction_nanman_ahuinan_190
3k_main_political_party_faction_nanman_mangyachang_190	3k_main_political_party_faction_nanman_mangyachang_190
3k_main_political_party_faction_nanman_zangke_190	3k_main_political_party_faction_nanman_zangke_190
3k_main_political_party_faction_nanman_jinhuansanjie_190	3k_main_political_party_faction_nanman_jinhuansanjie_190
3k_main_political_party_faction_nanman_dongtuna_190	3k_main_political_party_faction_nanman_dongtuna_190
3k_main_political_party_faction_nanman_tu_an_190	3k_main_political_party_faction_nanman_tu_an_190
3k_main_political_party_faction_nanman_xi_ni_190	3k_main_political_party_faction_nanman_xi_ni_190
3k_main_political_party_faction_nanman_king_wutugu_190	3k_main_political_party_faction_nanman_king_wutugu_190
3k_main_political_party_faction_nanman_jiaozhi_190	3k_main_political_party_faction_nanman_jiaozhi_190
3k_main_political_party_faction_nanman_yang_feng_190	3k_main_political_party_faction_nanman_yang_feng_190
3k_main_political_party_faction_nanman_king_duosi_190	3k_main_political_party_faction_nanman_king_duosi_190
3k_main_political_party_faction_nanman_yongchang_190	3k_main_political_party_faction_nanman_yongchang_190
3k_main_political_party_bakaja_190	3k_main_political_party_bakaja_190
3k_main_political_party_shitla_190	3k_main_political_party_shitla_190
ironic_faction_cao_ren_gathering	ironic_faction_cao_ren_gathering
ironic_faction_ma_chao_gathering	ironic_faction_ma_chao_gathering
ironic_faction_sun_quan_gathering	ironic_faction_sun_quan_gathering
ironic_faction_xiahou_yuan_gathering	ironic_faction_xiahou_yuan_gathering
ironic_faction_zhang_liao_gathering	ironic_faction_zhang_liao_gathering
ironic_faction_chen_lan_gathering	ironic_faction_chen_lan_gathering
ironic_faction_yellow_turban_xu_he_gathering	ironic_faction_yellow_turban_xu_he_gathering
ironic_faction_zhou_yu_gathering	ironic_faction_zhou_yu_gathering
ironic_faction_zhong_yao_gathering	ironic_faction_zhong_yao_gathering
ironic_faction_du_ji_gathering	ironic_faction_du_ji_gathering
ironic_faction_zhuge_liang_gathering	ironic_faction_zhuge_liang_gathering
ironic_faction_han_xuan_gathering	ironic_faction_han_xuan_gathering
ironic_faction_liu_du_gathering	ironic_faction_liu_du_gathering
