key	icon_path
#building_superchains_tables;2;db/building_superchains_tables/tribalbuildings	
ironic_chu_building	ui/skins/default/placeholder.png
ironic_jing_building	ui/skins/default/placeholder.png
ironic_qi_building	ui/skins/default/placeholder.png
ironic_qiang_building	ui/skins/default/placeholder.png
ironic_wuhuan_building	ui/skins/default/placeholder.png
ironic_xianbei_building	ui/skins/default/placeholder.png
ironic_xiliang_building	ui/skins/default/placeholder.png
ironic_xiongnu_building	ui/skins/default/placeholder.png
ironic_xu_building	ui/skins/default/placeholder.png
ironic_ye_building	ui/skins/default/placeholder.png
ironic_yue_building	ui/skins/default/placeholder.png
