key	icon_path
#building_superchains_tables;2;db/building_superchains_tables/provincial_side_buildings	
ironic_province_you_standard	ui/skins/default/placeholder.png
ironic_province_you_wuhuan	ui/skins/default/placeholder.png
ironic_province_you_xianbei	ui/skins/default/placeholder.png
ironic_province_bing_standard	ui/skins/default/placeholder.png
ironic_province_bing_xiongnu	ui/skins/default/placeholder.png
ironic_province_bing_xiliang	ui/skins/default/placeholder.png
ironic_province_liang_standard	ui/skins/default/placeholder.png
ironic_province_liang_xiliang	ui/skins/default/placeholder.png
ironic_province_liang_qiang	ui/skins/default/placeholder.png
ironic_province_qing_standard	ui/skins/default/placeholder.png
ironic_province_yan_standard	ui/skins/default/placeholder.png
ironic_province_xu_standard	ui/skins/default/placeholder.png
ironic_province_yu_standard	ui/skins/default/placeholder.png
ironic_province_yang_standard	ui/skins/default/placeholder.png
ironic_province_yang_yue	ui/skins/default/placeholder.png
ironic_province_jing_standard	ui/skins/default/placeholder.png
ironic_province_jing_chu	ui/skins/default/placeholder.png
ironic_province_yi_standard	ui/skins/default/placeholder.png
ironic_province_yi_di	ui/skins/default/placeholder.png
ironic_province_yi_nanman	ui/skins/default/placeholder.png
ironic_province_jiao_standard	ui/skins/default/placeholder.png
ironic_province_jiao_vietnam	ui/skins/default/placeholder.png
ironic_province_korea_standard	ui/skins/default/placeholder.png
ironic_province_korea_xianbei	ui/skins/default/placeholder.png
ironic_province_korea_han	ui/skins/default/placeholder.png
ironic_province_sili_standard	ui/skins/default/placeholder.png
ironic_province_sili_chu	ui/skins/default/placeholder.png
ironic_province_yong_standard	ui/skins/default/placeholder.png
ironic_province_yong_xiongnu	ui/skins/default/placeholder.png
ironic_province_yong_xiliang	ui/skins/default/placeholder.png
ironic_province_yong_qiang	ui/skins/default/placeholder.png
ironic_province_ji_standard	ui/skins/default/placeholder.png
