key	icon_path
#building_superchains_tables;2;db/building_superchains_tables/data__	
3k_city	ui/skins/default/placeholder.png
3k_defences	ui/skins/default/placeholder.png
3k_district_artisan_labourers	ui/skins/default/placeholder.png
3k_district_artisan_private_workshops	ui/skins/default/placeholder.png
3k_district_artisan_state_workshops	ui/skins/default/placeholder.png
3k_district_artisan_sun_jian_fealty	ui/skins/default/placeholder.png
3k_district_government_black_mountain	ui/skins/default/placeholder.png
3k_district_government_law	ui/skins/default/placeholder.png
3k_district_government_rural	ui/skins/default/placeholder.png
3k_district_government_temples	ui/skins/default/placeholder.png
3k_district_government_tribute_hall	ui/skins/default/placeholder.png
3k_district_market_inn	ui/skins/default/placeholder.png
3k_district_market_land_city	ui/skins/default/placeholder.png
3k_district_market_port_city	ui/skins/default/placeholder.png
3k_district_market_schools	ui/skins/default/placeholder.png
3k_district_military_conscription	ui/skins/default/placeholder.png
3k_district_military_equipment	ui/skins/default/placeholder.png
3k_district_military_security	ui/skins/default/placeholder.png
3k_district_residential_bandits	ui/skins/default/placeholder.png
3k_district_residential_granaries	ui/skins/default/placeholder.png
3k_district_residential_housing	ui/skins/default/placeholder.png
3k_district_residential_markets	ui/skins/default/placeholder.png
3k_dlc06_city	ui/skins/default/placeholder.png
3k_dlc06_district_artisan_private_workshops	ui/skins/default/placeholder.png
3k_dlc06_district_artisan_state_workshops	ui/skins/default/placeholder.png
3k_dlc06_district_government_law	ui/skins/default/placeholder.png
3k_dlc06_district_government_temples	ui/skins/default/placeholder.png
3k_dlc06_district_market_inn	ui/skins/default/placeholder.png
3k_dlc06_district_market_land_city	ui/skins/default/placeholder.png
3k_dlc06_district_military_conscription	ui/skins/default/placeholder.png
3k_dlc06_district_military_security	ui/skins/default/placeholder.png
3k_dlc06_district_residential_granaries	ui/skins/default/placeholder.png
3k_dlc06_district_residential_markets	ui/skins/default/placeholder.png
3k_dlc06_gate_pass	ui/skins/default/placeholder.png
3k_minor_port	ui/skins/default/placeholder.png
3k_province_capital_port	ui/skins/default/placeholder.png
3k_resource_bandit_buildings	ui/skins/default/placeholder.png
3k_resource_earth_temple	ui/skins/default/placeholder.png
3k_resource_earth_ying_chuan	ui/skins/default/placeholder.png
3k_resource_fire_horses	ui/skins/default/placeholder.png
3k_resource_fire_iron	ui/skins/default/placeholder.png
3k_resource_fire_northern_horses	ui/skins/default/placeholder.png
3k_resource_metal_copper	ui/skins/default/placeholder.png
3k_resource_metal_craftsmen_animal	ui/skins/default/placeholder.png
3k_resource_metal_craftsmen_armour	ui/skins/default/placeholder.png
3k_resource_metal_craftsmen_weapon	ui/skins/default/placeholder.png
3k_resource_metal_jade	ui/skins/default/placeholder.png
3k_resource_metal_tools	ui/skins/default/placeholder.png
3k_resource_water_salt	ui/skins/default/placeholder.png
3k_resource_water_school	ui/skins/default/placeholder.png
3k_resource_water_silk	ui/skins/default/placeholder.png
3k_resource_water_spice	ui/skins/default/placeholder.png
3k_resource_water_trading_port	ui/skins/default/placeholder.png
3k_resource_wood_farms_grain	ui/skins/default/placeholder.png
3k_resource_wood_farms_rice	ui/skins/default/placeholder.png
3k_resource_wood_fish	ui/skins/default/placeholder.png
3k_resource_wood_livestock	ui/skins/default/placeholder.png
3k_resource_wood_lumber_bamboo	ui/skins/default/placeholder.png
3k_resource_wood_lumber_pine	ui/skins/default/placeholder.png
3k_resource_wood_tea	ui/skins/default/placeholder.png
3k_test	ui/skins/default/placeholder.png
3k_test_minor	ui/skins/default/placeholder.png
3k_ytr_district_artisan_yellow_turban_caches	ui/skins/default/placeholder.png
3k_ytr_district_artisan_yellow_turban_garden	ui/skins/default/placeholder.png
3k_ytr_district_artisan_yellow_turban_healing	ui/skins/default/placeholder.png
