key	character_generation_template	ministerial_position	optional_general_type	optional_specialisation
#frontend_characters_tables;2;db/frontend_characters_tables/ironic_faction_leaders				
3k_main_political_party_liu_yu_190	3k_main_template_historical_liu_yu_hero_earth	faction_leader	3k_main_hero_earth	3k_main_political_party_liu_yu_190_resource
3k_main_political_party_wang_kuang_190	3k_main_template_historical_wang_kuang_hero_metal	faction_leader	3k_main_hero_metal	ep_frontend_leader_prince_of_chu_specialisation
3k_main_political_party_zhang_yang_190	3k_main_template_historical_zhang_yang_hero_earth	faction_leader	3k_main_hero_fire	ironic_xiahou_yuan_frontend
3k_main_political_party_yang_feng_190	3k_main_template_historical_yang_feng_hero_wood	faction_leader	3k_main_hero_wood	ironic_barbarian_resource
3k_main_political_party_gongsun_du_190	3k_main_template_historical_gongsun_du_hero_metal	faction_leader	3k_main_hero_metal	ironic_liaodong_han_relations_effect_bundle
3k_main_political_party_liu_dai_190	3k_main_template_historical_liu_dai_hero_water	faction_leader	3k_main_hero_strategist_water	ironic_siege_warfare_effect_bundle
3k_main_political_party_ying_shao_190	3k_main_template_historical_ying_shao_hero_fire	faction_leader	3k_main_hero_fire	3k_dlc04_frontend_leader_lu_zhi_specialisation
3k_main_political_party_chen_gui_190	3k_dlc_04_template_historical_chen_gui_water	faction_leader	3k_main_hero_strategist_water	ep_frontend_leader_prince_of_zhao_specialisation
3k_main_political_party_ze_rong_190	3k_main_template_historical_ze_rong_hero_fire	faction_leader	3k_main_hero_fire	ironic_ze_rong_frontend_effect
3k_main_political_party_zhang_chao_190	3k_main_template_historical_zhang_chao_hero_water	faction_leader	3k_main_hero_metal	ironic_Calligraphy_effect_bundle
3k_main_political_party_chen_wen_190	3k_main_template_historical_chen_wen_hero_water	faction_leader	3k_main_hero_strategist_water	ironic_coalition_of_the_plains_effect_bundle
3k_main_political_party_bian_rang_190	3k_main_template_historical_bian_rang_hero_water	faction_leader	3k_main_hero_strategist_water	ironic_recruitment_effect_bundle
3k_main_political_party_lu_kang_190	3k_main_template_historical_lu_kang_hero_water	faction_leader	3k_main_hero_wood	ironic_jursidiction_resource
3k_main_political_party_zhang_lu_190	3k_main_template_historical_zhang_lu_hero_wood	faction_leader	3k_main_hero_wood	ironic_faction_bundle_zhang_lu
3k_main_political_party_jia_long_190	3k_main_template_historical_jia_long_hero_metal	faction_leader	3k_main_hero_metal	ironic_gentry_support_effect_bundle
3k_main_political_party_liu_yao_190	3k_main_template_historical_liu_yao_hero_earth	faction_leader	3k_main_hero_metal	ironic_war_weariness_effect_bundle
3k_main_political_party_sheng_xian_190	3k_main_template_historical_sheng_xian_hero_water	faction_leader	3k_main_hero_strategist_water	ironic_inner_circle_effect_bundle
3k_main_political_party_wang_lang_190	3k_main_template_historical_wang_lang_hero_earth	faction_leader	3k_main_hero_earth	ironic_experience_effect_bundle
3k_main_political_party_zhu_hao_190	3k_main_template_historical_zhu_hao_hero_fire	faction_leader	3k_main_hero_fire	ironic_unit_upgrades_effect_bundle
3k_main_political_party_hua_xin_190	3k_main_template_historical_hua_xin_hero_water	faction_leader	3k_main_hero_strategist_water	ironic_hua_xin_effect_bundle
3k_main_political_party_zhuge_xuan_190	3k_main_template_historical_zhuge_xuan_hero_fire	faction_leader	3k_main_hero_fire	ironic_sleeping_dragon_effect_bundle
3k_main_political_party_liu_pan_190	3k_main_template_historical_liu_pan_hero_earth	faction_leader	3k_main_hero_earth	ironic_liu_pan_frontend_bundle
3k_main_political_party_zhang_xian_190	3k_main_template_historical_zhang_xian_hero_metal	faction_leader	3k_main_hero_metal	
3k_main_political_party_zhang_jin_190	3k_main_template_historical_zhang_jin_hero_fire	faction_leader	3k_main_hero_fire	ironic_frontend_leader_qi_special
3k_main_political_party_shi_huang_190	3k_main_template_historical_shi_huang_hero_earth	faction_leader	3k_main_hero_earth	
3k_main_political_party_gan_ning_190	3k_main_template_historical_gan_ning_hero_fire	faction_leader	3k_main_hero_fire	ironic_robin_hood_effect_bundle
3k_main_political_party_han_empire_190	3k_main_template_historical_wang_yun_hero_earth	faction_leader	3k_main_hero_earth	
3k_main_political_party_huang_zu_190	3k_main_template_historical_huang_zu_hero_wood	faction_leader	3k_main_hero_wood	ironic_huang_zu_frontend_bundle
3k_main_political_party_cai_mao_190	3k_main_template_historical_cai_mao_hero_fire	faction_leader	3k_main_hero_fire	ironic_faction_cao_ren_frontend
3k_main_political_party_kong_zhou_190	3k_main_template_historical_kong_zhou_hero_water	faction_leader	3k_main_hero_strategist_water	ironic_harmony_effect_bundle
3k_main_political_party_yt_generic_190	3k_ytr_template_historical_liu_pi_hero_water	faction_leader	3k_ytr_hero_healer	
3k_main_political_party_zhu_fu_190	3k_main_template_historical_zhu_fu_hero_water	faction_leader	3k_main_hero_strategist_water	
3k_main_political_party_wu_ju_190	3k_main_template_historical_wu_ju_hero_earth	faction_leader	3k_main_hero_earth	ep_frontend_leader_prince_of_qi_specialisation
3k_main_political_party_lai_gong_190	3k_main_template_historical_lai_gong_hero_fire	faction_leader	3k_main_hero_fire	
3k_main_political_party_han_fu_190	3k_main_template_historical_han_fu_hero_earth	faction_leader	3k_main_hero_wood	chibi_frontend_leader_shi_yi_specialisation
3k_main_political_party_goguryeo_190	ironic_template_historical_gogukcheon_hero_fire	faction_leader	3k_main_hero_fire	
3k_main_political_party_bakaja_190	ironic_template_historical_chogo_hero_earth	faction_leader	3k_main_hero_earth	
3k_main_political_party_shitla_190	ironic_template_historical_beolhyu_hero_water	faction_leader	3k_main_hero_strategist_water	
3k_main_political_party_lu_bu_190	3k_main_template_historical_lu_bu_hero_fire	faction_leader	3k_main_hero_fire	3k_dlc05_frontend_leader_lu_bu_specialisation
3k_main_political_party_xianbei_kuitou_190	ironic_template_historical_kuitou_hero_metal	faction_leader	3k_main_hero_metal	ironic_path_ts_effect_bundle
3k_main_political_party_xianbei_tuoba_190	ironic_template_historical_tuoba_jiefan_hero_metal	faction_leader	3k_main_hero_metal	ironic_great_ambition_effect_bundle
3k_main_political_party_di_tribes_190	ironic_template_historical_duo_mao_hero_wood	faction_leader	3k_main_hero_metal	ironic_trailblazing_effect_bundle
3k_main_political_party_ma_ai_190	ironic_template_historical_ma_ai_hero_fire	faction_leader	3k_main_hero_fire	ironic_ma_ai_mercantilism_effect_bundle
3k_main_political_party_huang_clan_190	ironic_template_historical_huang_ang_hero_water	faction_leader	3k_main_hero_wood	ironic_supervision_effect_bundle
3k_main_political_party_handan_shang_190	ironic_template_historical_handan_shang_hero_wood	faction_leader	3k_main_hero_strategist_water	ironic_firmness_effect_bundle
3k_main_political_party_faction_jiuzhen_190	3k_dlc06_template_generic_qu_pan_hero_metal	faction_leader	3k_main_hero_metal	ironic_madness_effect_bundle
3k_main_political_party_faction_nanman_jiangyang_190	3k_dlc06_template_generic_nanman_common_wood_01	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_jianning_190	3k_dlc06_template_generic_nanman_common_metal_01__f	faction_leader	3k_dlc06_hero_nanman	
