key	character_generation_template	ministerial_position	optional_general_type	optional_specialisation
#frontend_characters_tables;2;db/frontend_characters_tables/minorcharacters				
3k_main_template_generated_lady_liu_zhi_hero_earth	3k_main_template_generated_lady_liu_zhi_hero_earth			
3k_main_template_historical_tian_chou_hero_water	3k_main_template_historical_tian_chou_hero_water			
3k_main_template_historical_wei_you_hero_water	3k_main_template_historical_wei_you_hero_water			
3k_main_template_historical_liu_he_hero_water	3k_main_template_historical_liu_he_hero_water	faction_heir		
3k_main_template_historical_xianyu_fu_hero_fire	3k_main_template_historical_xianyu_fu_hero_fire			
3k_main_template_historical_xianyu_yin_hero_wood	3k_main_template_historical_xianyu_yin_hero_wood			
3k_main_template_historical_song_jian_hero_metal_faction_leader	3k_main_template_historical_song_jian_hero_metal	faction_leader	3k_main_hero_metal	ironic_song_jian_resource_desc
3k_dlc05_template_historical_sun_ce_hero_fire_faction_leader	3k_main_template_historical_sun_jian_hero_metal	faction_leader		3k_dlc05_frontend_leader_sun_ce_specialisation
3k_main_template_historical_wuhuan_hero_fire_faction_leader	3k_main_template_historical_qiulijiu_hero_fire	faction_leader	3k_main_hero_fire	ironic_wuhuan_frontend
ironic_template_historical_tadun_hero_fire	ironic_template_historical_tadun_hero_fire	faction_heir		
ironic_template_historical_leipan_hero_fire	ironic_template_historical_leipan_hero_fire			
ironic_template_historical_nanlu_hero_fire	ironic_template_historical_nanlu_hero_fire			
ironic_template_historical_supuyan_hero_fire	ironic_template_historical_supuyan_hero_fire			
ironic_template_historical_wuyan_hero_fire	ironic_template_historical_wuyan_hero_fire			
ironic_template_historical_wangdong_hero_fire	ironic_template_historical_wangdong_hero_fire			
ironic_template_historical_gurudun_hero_fire	ironic_template_historical_gurudun_hero_fire			
ironic_template_historical_gujin_hero_fire	ironic_template_historical_gujin_hero_fire			
3k_main_template_historical_xiongnu_hero_earth_faction_leader	3k_main_template_historical_yufuluo_hero_earth	faction_leader	3k_main_hero_metal	ironic_frontend_leader_xiongnu_tribe_special
ironic_template_historical_liu_bao_hero_earth	ironic_template_historical_liu_bao_hero_earth	faction_heir		
ironic_template_historical_huchuquan_hero_earth	ironic_template_historical_huchuquan_hero_earth			
ironic_template_historical_qubei_hero_earth	ironic_template_historical_qubei_hero_earth			
3k_main_template_historical_han_sui_hero_metal_faction_leader	3k_main_template_historical_han_sui_hero_metal	faction_leader	3k_main_hero_metal	ironic_han_sui_resource_desc
3k_main_template_historical_gao_gan_hero_metal_faction_leader	3k_main_template_historical_gao_gan_hero_metal	faction_leader	3k_main_hero_metal	ironic_defensive_effect_bundle
3k_main_template_historical_guo_yuan_hero_fire	3k_main_template_historical_guo_yuan_hero_fire	3k_main_court_offices_minister_fire	3k_main_hero_fire	
3k_main_template_historical_deng_sheng_hero_fire	3k_main_template_historical_deng_sheng_hero_fire		3k_main_hero_fire	
3k_main_template_historical_xia_zhao_hero_metal	3k_main_template_historical_xia_zhao_hero_metal		3k_main_hero_metal	
3k_main_template_generated_lady_gao_zhulan_hero_metal	3k_main_template_generated_lady_gao_zhulan_hero_metal		3k_main_hero_metal	
3k_main_template_historical_huang_wan_hero_water	3k_main_template_historical_huang_wan_hero_water			
3k_main_template_generated_lady_kong_yurui_hero_water	3k_main_template_generated_lady_kong_yurui_hero_water			
ironic_template_historical_zong_cheng_hero_water	ironic_template_historical_zong_cheng_hero_water			
3k_main_template_historical_xu_jing_hero_water	3k_main_template_historical_xu_jing_hero_water			
3k_main_template_historical_zhou_xin_hero_fire	3k_main_template_historical_zhou_xin_hero_fire			
3k_dlc04_template_historical_zhou_ang_earth	3k_dlc04_template_historical_zhou_ang_earth			
3k_main_template_historical_cao_hong_hero_wood	3k_main_template_historical_cao_hong_hero_wood			
3k_main_template_historical_cao_chun_hero_fire	3k_main_template_historical_cao_chun_hero_fire			
3k_main_template_historical_gao_lan_hero_wood	3k_main_template_historical_gao_lan_hero_wood			
