member	player_game_difficulty_type
#campaign_group_member_criteria_player_game_difficulty_types_tables;0;db/campaign_group_member_criteria_player_game_difficulty_types_tables/ironic_sun_ce_fix	
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_easy	AI_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_hard	AI_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_legndary	AI_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_normal	AI_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_very_hard	AI_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_easy	HUMAN_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_hard	HUMAN_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_legndary	HUMAN_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_normal	HUMAN_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_1_very_hard	HUMAN_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_easy	AI_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_hard	AI_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_legndary	AI_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_normal	AI_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_very_hard	AI_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_easy	HUMAN_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_hard	HUMAN_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_legndary	HUMAN_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_normal	HUMAN_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_2_very_hard	HUMAN_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_easy	AI_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_hard	AI_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_legndary	AI_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_normal	AI_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_very_hard	AI_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_easy	HUMAN_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_hard	HUMAN_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_legndary	HUMAN_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_normal	HUMAN_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_very_hard	HUMAN_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_easy	AI_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_hard	AI_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_legndary	AI_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_normal	AI_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_very_hard	AI_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_easy	HUMAN_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_hard	HUMAN_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_legndary	HUMAN_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_normal	HUMAN_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_very_hard	HUMAN_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_easy	AI_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_hard	AI_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_legndary	AI_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_normal	AI_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_very_hard	AI_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_easy	HUMAN_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_hard	HUMAN_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_legndary	HUMAN_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_normal	HUMAN_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_very_hard	HUMAN_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_easy	AI_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_hard	AI_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_legndary	AI_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_normal	AI_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_very_hard	AI_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_easy	HUMAN_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_hard	HUMAN_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_legndary	HUMAN_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_normal	HUMAN_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_very_hard	HUMAN_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_easy	AI_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_hard	AI_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_legndary	AI_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_normal	AI_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_very_hard	AI_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_easy	HUMAN_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_hard	HUMAN_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_legndary	HUMAN_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_normal	HUMAN_IN_NORMAL_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_very_hard	HUMAN_IN_VERY_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_easy	AI_IN_EASY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_hard	AI_IN_HARD_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_legndary	AI_IN_LEGENDARY_GAME
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_normal	AI_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_legndary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_very_hard	HUMAN_IN_VERY_HARD_GAME
