key	title	icon_path	is_hidden_from_display	event_feed_category
#ceo_categories_tables;0;ceo_db/ceo_categories_tables/data__				
3k_dlc04_ceo_category_factional_liu_chong	Trophy Cabinet	UI\skins\default\mh_icon_ancillary_category_trophies.png	false	ancillary
3k_dlc04_ceo_category_factional_lu_zhi	Great Library	UI\skins\default\mh_icon_ancillary_category_books.png	false	ancillary
3k_dlc04_ceo_category_political_support	Political Support	UI\skins\default\icon_ancillary_category_followers.png	false	default
3k_dlc05_ceo_category_ancillary_titles	Titles	UI\skins\default\icon_ancillary_category_followers.png	false	ancillary
3k_dlc05_ceo_category_factional_lu_bu	Greatest Warriors	UI\skins\default\icon_ancillary_category_followers.png	false	ancillary
3k_dlc05_ceo_category_factional_sun_ce	Sun Ce Ambitions	UI\skins\default\icon_ancillary_category_followers.png	false	ancillary
3k_dlc05_ceo_category_hidden	Hidden	UI\skins\default\icon_ancillary_category_followers.png	true	default
3k_dlc06_ceo_category_factional_king_mulu_rituals	Rituals	UI\skins\default\icon_ancillary_category_followers.png	false	default
3k_dlc06_ceo_category_factional_nanman_fealty	Fealty	UI\skins\default\icon_ancillary_category_followers.png	false	default
3k_dlc06_ceo_category_nanman_skills	Nanman Skills	UI\skins\default\placeholder.png	false	default
3k_dlc07_ceo_category_factional_yuan_shao	Yuan Shao Captain Armoury Quests	UI\skins\default\icon_ancillary_category_followers.png	false	default
3k_main_ceo_category_ancillary_accessory	Accessories	UI\skins\default\icon_ancillary_category_accessories.png	false	ancillary
3k_main_ceo_category_ancillary_armour	Armour	UI\skins\default\icon_ancillary_category_armour.png	false	ancillary
3k_main_ceo_category_ancillary_follower	Follower	UI\skins\default\icon_ancillary_category_followers.png	false	ancillary
3k_main_ceo_category_ancillary_mount	Mount	UI\skins\default\icon_ancillary_category_mounts.png	false	ancillary
3k_main_ceo_category_ancillary_weapon	Weapon	UI\skins\default\icon_ancillary_category_weapons.png	false	ancillary
3k_main_ceo_category_career	Career	UI\skins\default\icon_ancillary_category_followers.png	true	default
3k_main_ceo_category_childhood	Childhood	UI\skins\default\icon_ancillary_category_followers.png	true	default
3k_main_ceo_category_class	Class	UI\skins\default\icon_ancillary_category_followers.png	true	default
3k_main_ceo_category_equipment_permissions	Equipment Permissions	UI\skins\default\icon_ancillary_category_followers.png	true	default
3k_main_ceo_category_factional_liu_bei	Path to Unity	UI\skins\default\icon_ancillary_category_followers.png	true	ancillary
3k_main_ceo_category_factional_liu_yu	Tribal Management	UI\skins\default\icon_ancillary_category_followers.png	true	ancillary
3k_main_ceo_category_gender	Gender	UI\skins\default\icon_ancillary_category_followers.png	true	default
3k_main_ceo_category_potential	Potential	UI\skins\default\icon_ancillary_category_followers.png	true	default
3k_main_ceo_category_protagonist	Protagonist	UI\skins\default\icon_ancillary_category_followers.png	true	default
3k_main_ceo_category_traits_personality	Personality Trait	UI\skins\default\icon_ancillary_category_followers.png	false	default
3k_main_ceo_category_traits_physical	Physical Trait	UI\skins\default\icon_ancillary_category_followers.png	false	default
3k_main_ceo_category_wealth	Wealth	UI\skins\default\icon_ancillary_category_followers.png	true	default
3k_ytr_ceo_category_learning	Path of Learning	UI\skins\default\icon_ancillary_category_followers.png	true	default
ironic_ceo_category_factional_chen_wen_members	Alliance Unit Members	UI\skins\default\icon_ancillary_category_followers.png	true	ancillary
