key	icon_path	feature_type	sort_order
#frontend_faction_leader_unique_features_tables;3;db/frontend_faction_leader_unique_features_tables/ironic_190e_southern_rosters			
rew_iro_shi_xie_wood_jiaozhi_javelin_spears	ui/hvo/units_reworked/hv_unit_buqu_ji_infantry.png	unit	6
rew_iro_shi_xie_water_jiaozhi_longbows	ui/hvo/units_reworked/hv_unit_buqu_archers.png	unit	7
rew_iro_qu_pan_metal_jiuzhen_tiger_handlers	ui/units/metal/3k_dlc06_unit_metal_tiger_warriors.png	unit	2
rew_iro_qu_pan_water_jiuzhen_elephants	ui/units/fire/3k_dlc06_unit_fire_war_elephants.png	unit	3
rew_iro_shi_huang_wood_cangwu_shield_spears	ui/hvo/units_reworked/3k_dlc07_unit_wood_northern_spear_guards.png	unit	0
rew_iro_shi_huang_metal_cangwu_axes	ui/vaca_units/metal/wu_engineers.png	unit	1
rew_iro_fei_zhan_water_yue_hill_archers	ui/hvo/units_reworked/hv_unit_bandits_archers.png	unit	6
rew_iro_fei_zhan_metal_yue_forest_axes	ui/units/metal/3k_dlc06_unit_metal_might_of_the_valley.png	unit	7
rew_iro_zhang_xian_wood_lingling_spears	ui/hvo/units_reworked/hv_unit_jingchou_buqu_2h_spearmen.png	unit	0
rew_iro_zhang_xian_metal_lingling_swordguard	ui/hvo/units_reworked/hv_unit_elite_swordsmen.png	unit	1
rew_iro_pan_lin_water_shanyue_hunters	ui/hvo/units_reworked/hv_unit_shanyue_javelineer.png	unit	6
rew_iro_pan_lin_wood_shanyue_dread_spears	ui/hvo/units_reworked/hv_unit_shanyue_warriors.png	unit	7
rew_iro_liu_pan_earth_changsha_raiders	ui/hvo/units_reworked/hv_unit_buqu_raid_cavalry.png	unit	7
rew_iro_liu_pan_metal_changsha_stalking_axes	ui/hvo/units_reworked/hv_unit_jingchou_buqu_2h_axemen.png	unit	8
rew_iro_liu_xun_water_lujiang_spear_archers	ui/hvo/units_reworked/hv_unit_elite_heavy_bow_archers.png	unit	0
rew_iro_liu_xun_metal_lujiang_shieldguard	ui/hvo/units_reworked/hv_unit_guanxibing_swordsmen.png	unit	1
rew_iro_ni_xiaode_water_nanhai_marine_crossbows	ui/hvo/units_reworked/hv_unit_chen_crossbow_defenders.png	unit	3
rew_iro_ni_xiaode_wood_nanhai_pearl_halberdiers	ui/hvo/units_reworked/hv_unit_chen_spear_defenders.png	unit	4
rew_iro_zhu_fu_metal_wuling_improvisers	ui/hvo/units_reworked/hv_unit_militia_2h_axemen.png	unit	0
rew_iro_zhu_fu_water_wuling_inconstant_guard	ui/vaca_units/wood/tao_penitents.png	unit	1
rew_iro_bian_rang_water_scholar_crossbows	ui/hvo/units_reworked/hv_unit_elite_crossbowmen.png	unit	3
rew_iro_bian_rang_wood_retainer_spearguards	ui/hvo/units_reworked/hv_unit_elite_spearmen.png	unit	4
rew_iro_su_dai_water_hired_marksmen	ui/hvo/units_reworked/hv_unit_jianan_archers.png	unit	3
rew_iro_su_dai_metal_caravan_guards	ui/hvo/units_reworked/hv_unit_sword_guards_of_the_eight_talents.png	unit	4
rew_iro_lai_gong_wood_gaoliang_levy_spears	ui/hvo/units_reworked/hv_unit_guanxibing_spearmen.png	unit	0
rew_iro_lai_gong_water_southern_watch_archers	ui/hvo/units_reworked/hv_unit_dan_yang_archers.png	unit	1
rew_iro_wu_ju_metal_yulin_storm_axes	ui/hvo/units_reworked/hv_unit_qingzhou_2h_axe_infantry.png	unit	3
rew_iro_wu_ju_metal_yulin_tempest_glaives	ui/hvo/units_reworked/hv_unit_militia_ji_infantry.png	unit	4
rew_iro_wu_huan_ytr_wood_jiangdong_zealot_spears	ui/hvo/units_reworked/hv_unit_ytr_peasant_spearmen.png	unit	0
rew_iro_wu_huan_ytr_water_faithful_archers	ui/hvo/units_reworked/hv_unit_ytr_yellow_turban_archers.png	unit	1
rew_iro_zhang_jin_water_vermilion_veil_archers	ui/hvo/units_reworked/hv_unit_ytr_archery_masters.png	unit	3
rew_iro_zhang_jin_wood_meridian_halberdiers	ui/hvo/units_reworked/3k_dlc07_unit_wood_northern_veteran_spears.png	unit	4
