key	icon_path	feature_type	sort_order
#frontend_faction_leader_unique_features_tables;3;db/frontend_faction_leader_unique_features_tables/data__			
3k_dlc04_unique_features_empress_he_imperial_court	UI\ancillaries\followers\3k_main_ancillary_the_emperor_adult.png	ceo	1
3k_dlc04_unique_features_empress_he_political_influence	UI\skins\default\scroll.png	ceo	2
3k_dlc04_unique_features_empress_ye_imperial_units	ui/units/metal/mh_unit_metal_imperial_sword_guard.png	unit	0
3k_dlc04_unique_features_lu_zhi_assignment_teacher	UI\skins\default\scroll.png	ceo	2
3k_dlc04_unique_features_lu_zhi_defenders_of_the_empire	ui/units/wood/mh_unit_wood_defenders_of_the_empire.png	unit	0
3k_dlc04_unique_features_lu_zhi_destroyers_of_traitors	ui/units/fire/mh_unit_fire_destroyer_of_traitors.png	unit	1
3k_dlc04_unique_features_prince_liu_chong_chen_peacekeepers	ui/units/earth/mh_unit_earth_chen_peacekeepers.png	unit	0
3k_dlc04_unique_features_prince_liu_chong_chen_royal_guard	ui/units/water/mh_unit_water_chen_royal_guard.png	unit	1
3k_dlc04_unique_features_tao_qian_territorial_archers	ui/units/water/mh_unit_water_territorial_archer.png	unit	1
3k_dlc04_unique_features_tao_qian_territorial_spearmen	ui/units/wood/mh_unit_wood_territorial_spearmen.png	unit	0
3k_dlc04_unique_features_zhang_bao_assignment_land	UI\skins\default\scroll.png	ceo	2
3k_dlc04_unique_features_zhang_bao_yaoguai_hunters	ui/units/water/mh_unit_water_yaoguai_hunters.png	unit	1
3k_dlc04_unique_features_zhang_bao_zealots_of_the_way	ui/units/wood/mh_unit_wood_zealots_of_the_way.png	unit	0
3k_dlc04_unique_features_zhang_jue_assignment_heaven	UI\skins\default\scroll.png	ceo	2
3k_dlc04_unique_features_zhang_jue_chosen_of_the_eight	ui/units/metal/mh_unit_metal_chosen_of_the_eight_immortals.png	unit	1
