key	icon_path	feature_type	sort_order
#frontend_faction_leader_unique_features_tables;3;db/frontend_faction_leader_unique_features_tables/@nanman_fealty_features			
ironic_unique_features_nanman_ahuinan_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_ahuinan_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_dongtuna_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_dongtuna_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_jiangyang_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_jiangyang_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_jianning_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_jianning_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_jianning_wolf_pack	UI/units/wood/3k_dlc06_unit_wood_wolf_pack.png	unit	1
ironic_unique_features_nanman_jiaozhi_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_jiaozhi_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_jinhuansanjie_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_jinhuansanjie_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_king_duosi_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_king_duosi_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_king_duosi_hidden_vipers	UI/units/water/3k_dlc06_unit_water_hidden_vipers.png	unit	1
ironic_unique_features_nanman_king_duosi_sanjiang_poison_darts	UI/units/water/3k_dlc06_unit_water_sanjiang_poison_darts.png	unit	2
ironic_unique_features_nanman_king_duosi_sanjiang_poison_spears	UI/units/wood/3k_dlc06_unit_wood_sanjiang_poison_spears.png	unit	3
ironic_unique_features_nanman_king_wutugu_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_king_wutugu_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_king_wutugu_valley_tribesmen	UI/units/metal/3k_dlc06_unit_metal_valley_tribesmen.png	unit	1
ironic_unique_features_nanman_king_wutugu_wugou_axe_throwers	UI/units/metal/3k_dlc06_unit_metal_wugou_axe_throwers.png	unit	2
ironic_unique_features_nanman_king_wutugu_shields_of_the_south	UI/units/wood/3k_dlc06_unit_wood_shields_of_the_south.png	unit	3
ironic_unique_features_nanman_mangyachang_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_mangyachang_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_tu_an_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_tu_an_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_xi_ni_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_xi_ni_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_yang_feng_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_yang_feng_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_yang_feng_javelin_throwers	UI/units/water/3k_dlc06_unit_water_javelin_throwers.png	unit	1
ironic_unique_features_nanman_yang_feng_javelin_spear_guards	UI/units/wood/3k_dlc06_unit_wood_javelin_spear_guards.png	unit	2
ironic_unique_features_nanman_yang_feng_javelin_spearmen	UI/units/wood/3k_dlc06_unit_wood_javelin_spearmen.png	unit	3
ironic_unique_features_nanman_yongchang_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_yongchang_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_yunnan_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_yunnan_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_yunnan_fire_archers	UI/units/water/3k_dlc06_unit_water_fire_archers.png	unit	1
ironic_unique_features_nanman_zangke_fealty	UI/skins/default/fealty_faction_icons/3k_dlc06_faction_nanman_zangke_faction_icon_gold.png	ceo	0
ironic_unique_features_nanman_zangke_axe_throwers	UI/units/metal/3k_dlc06_unit_metal_axe_throwers.png	unit	1
