key	icon_path	feature_type	sort_order
#frontend_faction_leader_unique_features_tables;3;db/frontend_faction_leader_unique_features_tables/ironic_190e_korean_rosters			
rew_iro_gaya_unit_metal_ingot_breakers	ui/units/metal/3k_dlc05_unit_metal_white_tiger_warriors.png	unit	0
rew_iro_gaya_unit_metal_iron_plate_guard	ui/units/metal/ep_unit_metal_warriors_of_xu.png	unit	1
rew_iro_bakaja_unit_earth_border_raiders	ui/hvo/units_reworked/hv_unit_wuhuan_cavalry.png	unit	0
rew_iro_bakaja_unit_metal_yoche_stormers	ui/hvo/units_reworked/hv_unit_bandits_elite_blood_seekers.png	unit	1
rew_iro_shitla_unit_water_cloud_readers	ui/units/water/mh_unit_water_qiang_archers.png	unit	0
rew_iro_shitla_unit_wood_fortress_wardens	ui/units/wood/mh_unit_wood_stalwart_shields.png	unit	1
rew_iro_korea_ye_unit_water_dan_gung_archers	ui/units/water/mh_unit_water_poachers.png	unit	0
rew_iro_korea_ye_unit_wood_three_zhang_spears	ui/units/wood/mh_unit_wood_qiang_polearms.png	unit	1
rew_iro_tamno_unit_earth_samseong_ponies	ui/vaca_units/earth/Northern_Pillagers.png	unit	0
rew_iro_tamno_unit_wood_strait_raiders	ui/units/wood/3k_dlc06_unit_wood_javelin_spear_guards.png	unit	1
rew_iro_buyeo_unit_wood_household_levy	ui/units/wood/3k_dlc07_unit_wood_dongzhoubing_defenders.png	unit	0
rew_iro_buyeo_unit_fire_ma_ga_lancers	ui/units/fire/3k_main_unit_fire_qiang_marauders.png	unit	1
