key	index	subculture	category	screen_name	screen_adjective	skin	ui_skin	is_rebel	mp_available	mp_available_naval	flags_path	military_group	movie_death_event	ship_name_group	unit_regiment_name_group	attack_desc	defend_desc	pre_battle_speech_parameter	senator_total	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	has_politics	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	campaign_unit_permission_group	grant_rebel_captures_to_faction	feature_forest	battle_flag_path	text_replacement_key	lose_movie	battle_flag_path_historical	win_movie	primary_colour_hex	secondary_colour_hex	rebel_colour_hex	uniform_colour_hex	card_colour_hex
#factions_tables;41;db/factions_tables/@@@ironic_added_factions																																								
ironic_faction_wuhuan_tribes	274854199	3k_dlc05_subculture_bandits	playable	Wuhuan	Wuhuan	default		false	false	false	data\ui\flags\mod_faction_wuhuan	3k_dlc05_military_grouping_bandits	0	221	221	You are attacking a Wuhuan military force!	You are defending against a Wuhuan military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_wuhuan_tribe_faction		3k_main_feature_set_barbarians	flag_mod_faction_wuhuan	bandit	3k_main_game_lost_fire	flag_mod_faction_wuhuan	3k_main_game_won_fire	D8251C	E8ECE3	ADADAD	D8251C	000000
ironic_faction_wuhuan_tribes_separatists	2006445769	3k_dlc05_subculture_bandits	unplayable	Wuhuan Separatists	Wuhuan Separatists	default		false	false	false	data\ui\flags\ironic_faction_wuhuan_tribes	3k_dlc05_military_grouping_bandits	0	221	221	You are attacking a Wuhuan military force!	You are defending against a Wuhuan military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_wuhuan_tribe_faction		3k_main_feature_set_barbarians	flag_ironic_faction_wuhuan_tribes	northern	3k_main_game_lost_fire	flag_ironic_faction_wuhuan_tribes	3k_main_game_won_fire	E8ECE3	D8251C	ADADAD	E8ECE3	000000
ironic_faction_xiongnu_tribes	419037874	3k_dlc05_subculture_bandits	playable	Xiongnu	Xiongnu	default		false	false	false	data\ui\flags\mod_faction_xiongnu	3k_dlc05_military_grouping_bandits	0	221	221	You are attacking a Xiongnu military force!	You are defending against a Xiongnu military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_xiongnu_unique_units		3k_main_feature_set_barbarians	flag_mod_faction_xiongnu	bandit	3k_main_game_lost_earth	flag_mod_faction_xiongnu	3k_main_game_won_earth	1E2A4E	7D765F	6B9C3F	C68EB0	000000
ironic_faction_xiongnu_tribes_separatists	1117007215	3k_dlc05_subculture_bandits	unplayable	Xiongnu Separatists	Xiongnu Separatists	default		false	false	false	data\ui\flags\ironic_faction_xiongnu_tribes_separatists	3k_dlc05_military_grouping_bandits	0	221	221	You are attacking a Xiongnu Separatists military force!	You are defending against a Xiongnu Separatists military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_xiongnu_unique_units		3k_main_feature_set_barbarians	flag_ironic_faction_xiongnu_tribes_separatists	northern	3k_main_game_lost_earth	flag_ironic_faction_xiongnu_tribes_separatists	3k_main_game_won_earth	485D86	2F0287	0A0DC9	C68D92	000000
ironic_faction_zhuge_xuan	53200366	3k_main_chinese	playable	Zhuge Xuan	Zhuge Xuan	default		false	false	false	data\ui\flags\mod_faction_zhuge_xuan	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Zhuge Xuan Commandery military force!	You are defending against a Zhuge Xuan Commandery military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_zhuge_xuan_faction		LOCKED_STANDARD	flag_mod_faction_zhuge_xuan		3k_main_game_lost_fire	flag_mod_faction_zhuge_xuan	3k_main_game_won_fire	45421B	073D3E	000000	4D4943	000000
ironic_faction_zhuge_xuan_separatists	118930214	3k_main_chinese	unplayable	Zhuge Xuan Separatists	Zhuge Xuan Separatists	default		false	false	false	data\ui\flags\3k_main_faction_yuzhang_separatists	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Zhuge Separatists military force!	You are defending against a Zhuge Separatists military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_zhuge_xuan_faction		LOCKED_STANDARD	flag_3k_main_faction_yuzhang_separatists		3k_main_game_lost_fire	flag_3k_main_faction_yuzhang_separatists	3k_main_game_won_fire	083D3E	4D4943	000000	073D3E	000000
ironic_faction_zhang_jin	460559388	3k_main_chinese	playable	Zhang Jin	Zhang Jin	default		false	false	false	data\ui\flags\mod_faction_zhang_jin	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Zhang Jin Commandery military force!	You are defending againist a Zhang Jin Commandery military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_zhang_jin_faction		LOCKED_STANDARD	flag_mod_faction_zhang_jin		3k_main_game_lost_fire	flag_mod_faction_zhang_jin	3k_main_game_won_fire	25602E	B88C3D	169DD6	25602E	000000
ironic_faction_zhang_jin_separatists	1623250424	3k_main_chinese	unplayable	Zhang Jin Separatists	Zhang Jin Separatists	default		false	false	false	data\ui\flags\3k_main_faction_wuling_separatists	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Zhang Jin Separatists Commandery military force!	You are defending againist a Zhang Jin Separatists Commandery military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_main_unit_permission_group_han_chinese		LOCKED_STANDARD	flag_3k_main_faction_wuling_separatists		3k_main_game_lost_fire	flag_3k_main_faction_wuling_separatists	3k_main_game_won_fire	B88C3D	25602E	EDEB0A	B88C3D	000000
ironic_faction_zhang_xian	540612643	3k_main_chinese	playable	Zhang Xian	Zhang Xian	default		false	false	false	data\ui\flags\mod_faction_zhang_xian	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Zhang Xian Commandery military force!	You are defending againist a Zhang Xian Commandery military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	ironic_zhang_xian_faction		LOCKED_STANDARD	flag_mod_faction_zhang_xian		3k_main_game_lost_fire	flag_mod_faction_zhang_xian	3k_main_game_won_fire	233754	4C623F	ADFA1A	233754	000000
