key	index	subculture	category	screen_name	screen_adjective	skin	ui_skin	is_rebel	mp_available	mp_available_naval	flags_path	military_group	movie_death_event	ship_name_group	unit_regiment_name_group	attack_desc	defend_desc	pre_battle_speech_parameter	senator_total	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	has_politics	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	campaign_unit_permission_group	grant_rebel_captures_to_faction	feature_forest	battle_flag_path	text_replacement_key	lose_movie	battle_flag_path_historical	win_movie	primary_colour_hex	secondary_colour_hex	rebel_colour_hex	uniform_colour_hex	card_colour_hex
#factions_tables;41;db/factions_tables/data__																																								
3k_dlc04_faction_bian_zhang	1506869081	3k_main_chinese	unplayable	Bian Zhang	Bian Zhang	default		false	false	false	data\ui\flags\3k_dlc04_faction_bian_zhang	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Bian Zhang military force!	You are defending against a Bian Zhang military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_main_unit_permission_group_han_chinese		LOCKED_STANDARD	flag_3k_dlc04_faction_bian_zhang		3k_main_game_lost_cao_cao	flag_3k_dlc04_faction_bian_zhang	3k_main_game_won_cao_cao	C6B3BC	69A277	ADADAD	463C19	000000
3k_dlc04_faction_bian_zhang_separatists	1733512743	3k_main_chinese	unplayable	Bian Zhang Separatists	Bian Zhang Separatists	default		false	false	false	data\ui\flags\3k_dlc04_faction_bian_zhang_separatists	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Bian Zhang Separatist military force!	You are defending against a Bian Zhang Separatist military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_main_unit_permission_group_han_chinese		LOCKED_STANDARD	flag_3k_dlc04_faction_bian_zhang_separatists		3k_main_game_lost_earth	flag_3k_dlc04_faction_bian_zhang_separatists	3k_main_game_won_earth	3A353F	C9A175	ADADAD	3C2314	000000
3k_dlc04_faction_cao_song	1771586965	3k_main_chinese	unplayable	Cao Song	Cao Song	default		false	false	false	data\ui\flags\3k_dlc04_faction_cao_song	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Cao Song military force!	You are defending against a Cao Song military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_main_unit_permission_group_han_chinese		LOCKED_STANDARD	flag_3k_dlc04_faction_cao_song		3k_main_game_lost_cao_cao	flag_3k_dlc04_faction_cao_song	3k_main_game_won_cao_cao	DDB015	583F77	ADADAD	463C19	000000
3k_dlc04_faction_cao_song_separatists	1120290668	3k_main_chinese	unplayable	Cao Song Separatists	Cao Song Separatists	default		false	false	false	data\ui\flags\3k_dlc04_faction_cao_song_separatists	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Cao Song Separatist military force!	You are defending against a Cao Song Separatist military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_main_unit_permission_group_han_chinese		LOCKED_STANDARD	flag_3k_dlc04_faction_cao_song_separatists		3k_main_game_lost_earth	flag_3k_dlc04_faction_cao_song_separatists	3k_main_game_won_earth	362C43	AE994E	ADADAD	3C2314	000000
3k_dlc04_faction_chen_gui	1701035620	3k_main_chinese	unplayable	Chen Gui	Chen Gui	default		false	false	false	data\ui\flags\3k_dlc04_faction_chen_gui	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Chen Gui military force!	You are defending against a Chen Gui military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_main_unit_permission_group_han_chinese		LOCKED_STANDARD	flag_3k_dlc04_faction_chen_gui		3k_main_game_lost_cao_cao	flag_3k_dlc04_faction_chen_gui	3k_main_game_won_cao_cao	616F77	BC8282	ADADAD	463C19	000000
3k_dlc04_faction_chen_gui_separatists	251089049	3k_main_chinese	unplayable	Chen Gui Separatists	Chen Gui Separatists	default		false	false	false	data\ui\flags\3k_dlc04_faction_chen_gui_separatists	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Chen Gui Separatist military force!	You are defending against a Chen Gui Separatist military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_main_unit_permission_group_han_chinese		LOCKED_STANDARD	flag_3k_dlc04_faction_chen_gui_separatists		3k_main_game_lost_earth	flag_3k_dlc04_faction_chen_gui_separatists	3k_main_game_won_earth	BED9E7	CCA047	ADADAD	3C2314	000000
3k_dlc04_faction_chu_gong	1940718748	3k_main_chinese	unplayable	Chu Gong	Chu Gong	default		false	false	false	data\ui\flags\3k_dlc04_faction_chu_gong	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Chu Gong military force!	You are defending against a Chu Gong military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_main_unit_permission_group_han_chinese		LOCKED_STANDARD	flag_3k_dlc04_faction_chu_gong		3k_main_game_lost_cao_cao	flag_3k_dlc04_faction_chu_gong	3k_main_game_won_cao_cao	423042	6A61C0	ADADAD	463C19	000000
3k_dlc04_faction_chu_gong_separatists	1289751493	3k_main_chinese	unplayable	Chu Gong Separatists	Chu Gong Separatists	default		false	false	false	data\ui\flags\3k_dlc04_faction_chu_gong_separatists	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Chu Gong Separatist military force!	You are defending against a Chu Gong Separatist military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_main_unit_permission_group_han_chinese		LOCKED_STANDARD	flag_3k_dlc04_faction_chu_gong_separatists		3k_main_game_lost_earth	flag_3k_dlc04_faction_chu_gong_separatists	3k_main_game_won_earth	E8D9E8	93D6E0	ADADAD	3C2314	000000
3k_dlc04_faction_dai	254967832	3k_main_chinese	unplayable	Daijun	Daijun Commandery	default		false	false	false	data\ui\flags\3k_main_faction_daijun	3k_main_military_grouping_han_chinese	0	221	221	You are attacking a Gaoliu Commandery military force!	You are defending against a Gaoliu Commandery military force!	FACTION_CHOSOKABE	500	vo_Empire	default	brt	false			false	default	3k_main_unit_permission_group_han_chinese		LOCKED_STANDARD	flag_3k_dlc04_faction_dai		3k_main_game_lost_cao_cao	flag_3k_dlc04_faction_dai	3k_main_game_won_cao_cao	202F0D	CDBDBD	ADADAD	463C19	000000
