permission	permission_group
#campaign_unit_permission_group_to_permission_junctions_tables;0;db/campaign_unit_permission_group_to_permission_junctions_tables/ironic_190e_southern_rosters	
ironic_bian_rang_faction	ironic_bian_rang_faction
3k_main_unit_permission_default_units_no_requirement	ironic_bian_rang_faction
3k_main_unit_permission_generals	ironic_bian_rang_faction
3k_main_unit_permission_special_character_permissions	ironic_bian_rang_faction
3k_main_unit_permission_technologies	ironic_bian_rang_faction
3k_main_unit_permission_world_leader	ironic_bian_rang_faction
ironic_lai_gong_faction	ironic_lai_gong_faction
3k_main_unit_permission_default_units_no_requirement	ironic_lai_gong_faction
3k_main_unit_permission_generals	ironic_lai_gong_faction
3k_main_unit_permission_special_character_permissions	ironic_lai_gong_faction
3k_main_unit_permission_technologies	ironic_lai_gong_faction
3k_main_unit_permission_world_leader	ironic_lai_gong_faction
ironic_liu_pan_faction	ironic_liu_pan_faction
3k_main_unit_permission_default_units_no_requirement	ironic_liu_pan_faction
3k_main_unit_permission_generals	ironic_liu_pan_faction
3k_main_unit_permission_special_character_permissions	ironic_liu_pan_faction
3k_main_unit_permission_technologies	ironic_liu_pan_faction
3k_main_unit_permission_world_leader	ironic_liu_pan_faction
ironic_liu_xun_faction	ironic_liu_xun_faction
3k_main_unit_permission_default_units_no_requirement	ironic_liu_xun_faction
3k_main_unit_permission_generals	ironic_liu_xun_faction
3k_main_unit_permission_special_character_permissions	ironic_liu_xun_faction
3k_main_unit_permission_technologies	ironic_liu_xun_faction
3k_main_unit_permission_world_leader	ironic_liu_xun_faction
ironic_ni_xiaode_faction	ironic_ni_xiaode_faction
3k_main_unit_permission_default_units_no_requirement	ironic_ni_xiaode_faction
3k_main_unit_permission_generals	ironic_ni_xiaode_faction
3k_main_unit_permission_special_character_permissions	ironic_ni_xiaode_faction
3k_main_unit_permission_technologies	ironic_ni_xiaode_faction
3k_main_unit_permission_world_leader	ironic_ni_xiaode_faction
ironic_qu_pan_faction	ironic_qu_pan_faction
3k_main_unit_permission_default_units_no_requirement	ironic_qu_pan_faction
3k_main_unit_permission_generals	ironic_qu_pan_faction
3k_main_unit_permission_special_character_permissions	ironic_qu_pan_faction
3k_main_unit_permission_technologies	ironic_qu_pan_faction
3k_main_unit_permission_world_leader	ironic_qu_pan_faction
ironic_shi_huang_faction	ironic_shi_huang_faction
3k_main_unit_permission_default_units_no_requirement	ironic_shi_huang_faction
3k_main_unit_permission_generals	ironic_shi_huang_faction
3k_main_unit_permission_special_character_permissions	ironic_shi_huang_faction
3k_main_unit_permission_technologies	ironic_shi_huang_faction
3k_main_unit_permission_world_leader	ironic_shi_huang_faction
ironic_shi_xie_faction	ironic_shi_xie_faction
3k_main_unit_permission_default_units_no_requirement	ironic_shi_xie_faction
3k_main_unit_permission_generals	ironic_shi_xie_faction
3k_main_unit_permission_special_character_permissions	ironic_shi_xie_faction
3k_main_unit_permission_technologies	ironic_shi_xie_faction
3k_main_unit_permission_world_leader	ironic_shi_xie_faction
ironic_su_dai_faction	ironic_su_dai_faction
3k_main_unit_permission_default_units_no_requirement	ironic_su_dai_faction
3k_main_unit_permission_generals	ironic_su_dai_faction
3k_main_unit_permission_special_character_permissions	ironic_su_dai_faction
3k_main_unit_permission_technologies	ironic_su_dai_faction
3k_main_unit_permission_world_leader	ironic_su_dai_faction
ironic_wu_huan_ytr_faction	ironic_wu_huan_ytr_faction
ironic_wu_ju_faction	ironic_wu_ju_faction
3k_main_unit_permission_default_units_no_requirement	ironic_wu_ju_faction
3k_main_unit_permission_generals	ironic_wu_ju_faction
3k_main_unit_permission_special_character_permissions	ironic_wu_ju_faction
3k_main_unit_permission_technologies	ironic_wu_ju_faction
3k_main_unit_permission_world_leader	ironic_wu_ju_faction
ironic_zhang_jin_faction	ironic_zhang_jin_faction
3k_main_unit_permission_default_units_no_requirement	ironic_zhang_jin_faction
3k_main_unit_permission_generals	ironic_zhang_jin_faction
3k_main_unit_permission_special_character_permissions	ironic_zhang_jin_faction
3k_main_unit_permission_technologies	ironic_zhang_jin_faction
3k_main_unit_permission_world_leader	ironic_zhang_jin_faction
ironic_zhang_xian_faction	ironic_zhang_xian_faction
3k_main_unit_permission_default_units_no_requirement	ironic_zhang_xian_faction
3k_main_unit_permission_generals	ironic_zhang_xian_faction
3k_main_unit_permission_special_character_permissions	ironic_zhang_xian_faction
