campaign_group	effect_bundle	duration	apply_to_human	apply_to_ai
#campaign_group_faction_effect_bundles_tables;1;db/campaign_group_faction_effect_bundles_tables/data__				
3k_dlc04_campaign_group_faction_effect_bundle_han_empire	3k_main_effect_bundle_ai_behaviour_hints_han_empire	0	false	true
3k_dlc04_campaign_group_faction_effect_bundle_han_empire	3k_main_effect_bundle_han_empire_economy	0	false	true
3k_dlc04_campaign_group_faction_effect_bundle_liang_rebellion	3k_dlc04_effect_bundle_liang_rebellion_economy	0	false	true
3k_dlc04_campaign_group_faction_effect_bundle_rebels	3k_dlc04_effect_bundle_rebels_economy	0	false	true
3k_dlc06_campaign_group_faction_effect_bundle_barbarian	3k_main_effect_bundle_enable_siege_equipment_han_chinese	0	true	true
3k_dlc06_campaign_group_nanman_factions_all	3k_dlc06_effect_bundle_nanman_factions_handicap	0	true	true
3k_main_campaign_group_all	3k_dlc04_unit_base_mod_imperial	0	true	true
3k_main_campaign_group_all	3k_main_effect_bundle_default_governor_cap	0	true	true
3k_main_campaign_group_all	3k_main_effect_bundle_default_siege_escalation	0	true	true
3k_main_campaign_group_all	3k_main_effect_bundle_default_trade_power	0	true	true
3k_main_campaign_group_all	3k_main_effect_bundle_food_reserves_baseline	0	true	true
3k_main_campaign_group_faction_effect_bundle_all	3k_main_payload_faction_undercover_character_upkeep	0	false	true
3k_main_campaign_group_faction_effect_bundle_generic_yellow_turbans	3k_dlc05_effect_bundle_yellow_turban_economy	0	false	true
3k_main_campaign_group_faction_effect_bundle_generic_yellow_turbans	3k_main_effect_bundle_ai_behaviour_hints_generic_yellow_turbans	0	false	true
3k_main_campaign_group_faction_effect_bundle_han_chinese	3k_main_effect_bundle_enable_siege_equipment_han_chinese	0	true	true
3k_main_campaign_group_faction_effect_bundle_han_empire	3k_main_effect_bundle_ai_behaviour_hints_han_empire	0	false	true
3k_main_campaign_group_faction_effect_bundle_han_empire	3k_main_effect_bundle_han_empire_economy	0	false	true
3k_main_campaign_group_faction_effect_bundle_yuan_shao	3k_main-effect_bundle_faction_effect_yuan_shao	0	false	true
3k_main_campaign_group_faction_effect_bundle_yuan_shu	3k_main-effect_bundle_faction_effect_yuan_shu	0	false	true
ep_campaign_group_empire_of_jin	ep_effect_bundle_jin_empire_economy	0	false	true
