key	ceo_effect_list	point_change_per_turn_if_active	title	description	icon_path	opinion_topic_modifier
#ceo_nodes_tables;0;ceo_db/ceo_nodes_tables/traits						
3k_dlc06_ceo_node_trait_personality_animal_friend_01	3k_dlc06_ceo_node_trait_personality_animal_friend_01	0	Animal Friend	This one has a way with animals that few can attain.	UI/Campaign UI/traits/icon_healthy_good.png	
3k_dlc07_ceo_node_liu_yan_ambition_inheritance_delayed_character_portion	3k_dlc07_ceo_node_liu_yan_ambition_inheritance_delayed_character_portion	0	Delayed Inheritance	If you want something done properly, do it yourself. One must pass the torch, but not before seeing a few crucial affairs through to their conclusions.	UI/Campaign UI/traits/3k_dlc07_icon_inheritance_delayed_good.png	
3k_dlc07_ceo_node_liu_yan_ambition_inheritance_forgotten_character_portion	3k_dlc07_ceo_node_liu_yan_ambition_inheritance_forgotten_character_portion	0	Forgotten Inheritance	Inheritance? Stepping down? Over my cold, dead body!	UI/Campaign UI/traits/3k_dlc07_icon_inheritance_forgotten_bad.png	
3k_dlc07_ceo_node_liu_yan_ambition_inheritance_late_character_portion	3k_dlc07_ceo_node_liu_yan_ambition_inheritance_late_character_portion	0	Late Inheritance	Regrettably one can't live forever. Were that the case, one could rule eternally, with cunning wit and decisive action ever intact. Hopefully our heir will be able to fill our shoes admirably.	UI/Campaign UI/traits/3k_dlc07_icon_inheritance_late_bad.png	
3k_dlc07_ceo_node_liu_yan_ambition_inheritance_timely_character_portion	3k_dlc07_ceo_node_liu_yan_ambition_inheritance_timely_character_portion	0	Timely Inheritance	Knowing when to say goodbye is a skill unto itself. Passing the torch early ensures that one's heir is both motivated and ambitious, capable of carrying our legacy to even greater heights.	UI/Campaign UI/traits/3k_dlc07_icon_inheritance_timely_good.png	
3k_dlc07_ceo_node_trait_personality_frivolous	3k_dlc07_ceo_node_trait_personality_frivolous	0	Frivolous	This one often makes light of even the most serious of situations.	UI/Campaign UI/traits/icon_foolish_metal.png	3k_dlc07_opinion_topic_set_folly_frivolous
3k_main_ceo_node_trait_personality_aescetic_01	3k_main_ceo_node_trait_personality_aescetic_01	0	Ascetic	Never indulging in excess, this one's watchword is moderation.	UI/Campaign UI/traits/icon_spiritual_wood.png	3k_main_opinion_topic_set_discipline_aescetic
3k_main_ceo_node_trait_personality_ambitious_01	3k_main_ceo_node_trait_personality_ambitious_01	0	Ambitious	This one desires the world, and will go to dangerous lengths to obtain it.	UI/Campaign UI/traits/icon_ambitious_earth.png	3k_main_opinion_topic_set_determination_ambitious
3k_main_ceo_node_trait_personality_arrogant_01	3k_main_ceo_node_trait_personality_arrogant_01	0	Arrogant	Not egotistical, per se, they just see the inferiority in everyone else.	UI/Campaign UI/traits/icon_wise_earth.png	3k_main_opinion_topic_set_vice_arrogant
3k_main_ceo_node_trait_personality_artful_01	3k_main_ceo_node_trait_personality_artful_01	0	Artful	This one sees a remarkable acumen in finding means for their ends.	UI/Campaign UI/traits/icon_trustworthy_metal.png	3k_main_opinion_topic_set_intelligence_artful
3k_main_ceo_node_trait_personality_brave_01	3k_main_ceo_node_trait_personality_brave_01	0	Brave	There is a fine line between fearlessness and foolishness, and this one is no fool.	UI/Campaign UI/traits/icon_brave_wood.png	3k_main_opinion_topic_set_bravery_brave
3k_main_ceo_node_trait_personality_brilliant_01	3k_main_ceo_node_trait_personality_brilliant_01	0	Brilliant	A perennial high-achiever, excelling above others in most of their endeavours.	UI/Campaign UI/traits/icon_bright_water.png	3k_main_opinion_topic_set_intelligence_brilliant
3k_main_ceo_node_trait_personality_careless_01	3k_main_ceo_node_trait_personality_careless_01	0	Careless	This person commits to action without spending too much time in thought beforehand.	UI/Campaign UI/traits/icon_reckless_fire.png	3k_main_opinion_topic_set_folly_careless
3k_main_ceo_node_trait_personality_cautious_01	3k_main_ceo_node_trait_personality_cautious_01	0	Cautious	The enlightened are always heedful, the good full of caution.	UI/Campaign UI/traits/icon_hesitant_earth.png	3k_main_opinion_topic_set_caution_cautious
3k_main_ceo_node_trait_personality_charismatic_01	3k_main_ceo_node_trait_personality_charismatic_01	0	Charismatic	Entranced by this one’s personal charm, people hang on their every word.	UI/Campaign UI/traits/icon_social_earth.png	3k_main_opinion_topic_set_charisma_charismatic
3k_main_ceo_node_trait_personality_charitable_01	3k_main_ceo_node_trait_personality_charitable_01	0	Charitable	This one has a true desire to be generous and useful to others, without a single thought of recompense.	UI/Campaign UI/traits/icon_generous_wood.png	3k_main_opinion_topic_set_goodness_charitable
3k_main_ceo_node_trait_personality_clever_01	3k_main_ceo_node_trait_personality_clever_01	0	Clever	An intelligent thinker, who learns and adapts quicker than others.	UI/Campaign UI/traits/icon_intelligent_water.png	3k_main_opinion_topic_set_intelligence_clever
3k_main_ceo_node_trait_personality_competative_01	3k_main_ceo_node_trait_personality_competative_01	0	Competitive	This highly-competitive individual relishes one-upmanship at every turn.	UI/Campaign UI/traits/icon_relentless_fire.png	3k_main_opinion_topic_set_determination_competitive
3k_main_ceo_node_trait_personality_cowardly_01	3k_main_ceo_node_trait_personality_cowardly_01	0	Cowardly	At even the slightest hint of danger, this one thinks mostly with their legs.	UI/Campaign UI/traits/icon_cowardly_water.png	3k_main_opinion_topic_set_caution_cowardly
3k_main_ceo_node_trait_personality_cruel_01	3k_main_ceo_node_trait_personality_cruel_01	0	Cruel	Wholly indifferent to the pain and suffering of others, this one likely enjoys it.	UI/Campaign UI/traits/icon_angry_fire.png	3k_main_opinion_topic_set_cruelty_cruel
3k_main_ceo_node_trait_personality_cunning_01	3k_main_ceo_node_trait_personality_cunning_01	0	Cunning	This one always either has a plan or is in the process of devising one.	UI/Campaign UI/traits/icon_cunning_water.png	3k_main_opinion_topic_set_intelligence_cunning
3k_main_ceo_node_trait_personality_deceitful_01	3k_main_ceo_node_trait_personality_deceitful_01	0	Deceitful	They have no qualms about misleading people, and frequently do.	UI/Campaign UI/traits/icon_cunning_water.png	3k_main_opinion_topic_set_vice_deceitful
3k_main_ceo_node_trait_personality_defiant_01	3k_main_ceo_node_trait_personality_defiant_01	0	Defiant	Any attempt to hold sway over this one will always be met with dogged resistance.	UI/Campaign UI/traits/icon_relentless_wood.png	3k_main_opinion_topic_set_determination_defiant
3k_main_ceo_node_trait_personality_determined_01	3k_main_ceo_node_trait_personality_determined_01	0	Determined	This person is convinced that the difference between the possible and the impossible is simply one’s persistence.	UI/Campaign UI/traits/icon_stalwart_wood.png	3k_main_opinion_topic_set_determination_determined
3k_main_ceo_node_trait_personality_direct_01	3k_main_ceo_node_trait_personality_direct_01	0	Direct	Tact is not exactly one of this individual's strong points.	UI/Campaign UI/traits/icon_wise_fire.png	3k_main_opinion_topic_set_intensity_direct
3k_main_ceo_node_trait_personality_disciplined_01	3k_main_ceo_node_trait_personality_disciplined_01	0	Disciplinarian	"You will not laugh! You will not cry! You will learn by the numbers and I shall teach you!"	UI/Campaign UI/traits/icon_stern_metal.png	3k_main_opinion_topic_set_discipline_disciplinarian
3k_main_ceo_node_trait_personality_disloyal_01	3k_main_ceo_node_trait_personality_disloyal_01	0	Disloyal	For this recreant, allegiance is temporary, a double-cross always just around the corner.	UI/Campaign UI/traits/icon_loyal_fire.png	3k_main_opinion_topic_set_loyalty_disloyal
3k_main_ceo_node_trait_personality_distinguished_01	3k_main_ceo_node_trait_personality_distinguished_01	0	Distinguished	This one carries themselves with an air of eminence, and is often the most notable person in the room.	UI/Campaign UI/traits/icon_impeccable_fire.png	3k_main_opinion_topic_set_attractive_distinguished
3k_main_ceo_node_trait_personality_dutiful_01	3k_main_ceo_node_trait_personality_dutiful_01	0	Dutiful	Goes about their deeds piously, having bound themselves to their obligations.	UI/Campaign UI/traits/icon_loyal_earth.png	3k_main_opinion_topic_set_loyalty_dutiful
3k_main_ceo_node_trait_personality_elusive_01	3k_main_ceo_node_trait_personality_elusive_01	0	Elusive	Dwelling in the shadows, this one is a master at evading detection and blending into their surroundings.	UI/Campaign UI/traits/icon_cunning_water.png	3k_main_opinion_topic_set_caution_elusive
3k_main_ceo_node_trait_personality_energetic_01	3k_main_ceo_node_trait_personality_energetic_01	0	Energetic	This one spends every waking hour in motion, going about all their activities with excessive enthusiasm.	UI/Campaign UI/traits/icon_cheerful_fire.png	3k_main_opinion_topic_set_intensity_energetic
3k_main_ceo_node_trait_personality_enigmatic_01	3k_main_ceo_node_trait_personality_enigmatic_01	0	Enigmatic	When the world around them is in chaos, this one remains unflappable.	UI/Campaign UI/traits/icon_composed_water.png	3k_main_opinion_topic_set_patience_enigmatic
3k_main_ceo_node_trait_personality_fiery_01	3k_main_ceo_node_trait_personality_fiery_01	0	Fiery	Not a bear to be poked, this one is prone to outbursts of anger.	UI/Campaign UI/traits/icon_temperamental_fire.png	3k_main_opinion_topic_set_intensity_fiery
3k_main_ceo_node_trait_personality_fraternal_01	3k_main_ceo_node_trait_personality_fraternal_01	0	Fraternal	A brother might not always be a friend, but a friend like this is always like a brother.	UI/Campaign UI/traits/icon_loyal_wood.png	3k_main_opinion_topic_set_loyalty_fraternal
3k_main_ceo_node_trait_personality_greedy_01	3k_main_ceo_node_trait_personality_greedy_01	0	Greedy	One who chases two rabbits catches neither, but given the chance, this individual would certainly still try.	UI/Campaign UI/traits/icon_greedy_earth.png	3k_main_opinion_topic_set_vice_greedy
3k_main_ceo_node_trait_personality_honourable_01	3k_main_ceo_node_trait_personality_honourable_01	0	Honourable	A character of integrity and moral rectitude, who has rightfully earned the respect of others.	UI/Campaign UI/traits/icon_honourable_wood.png	3k_main_opinion_topic_set_honour_honourable
3k_main_ceo_node_trait_personality_humble_01	3k_main_ceo_node_trait_personality_humble_01	0	Humble	Like bamboo, the higher this individual grows, the deeper they bow.	UI/Campaign UI/traits/icon_humble_earth.png	3k_main_opinion_topic_set_honour_humble
3k_main_ceo_node_trait_personality_incompetent_01	3k_main_ceo_node_trait_personality_incompetent_01	0	Incompetent	Unable to cope with most situations, are there no limits to this one’s ineptitude?	UI/Campaign UI/traits/icon_foolish_wood.png	3k_main_opinion_topic_set_folly_incompetent
3k_main_ceo_node_trait_personality_indecisive_01	3k_main_ceo_node_trait_personality_indecisive_01	0	Indecisive	Tends to dwell on all the possible options without ever actually committing to one.	UI/Campaign UI/traits/icon_hesitant_metal.png	3k_main_opinion_topic_set_folly_indecisive
