key	ceo_effect_list	point_change_per_turn_if_active	title	description	icon_path	opinion_topic_modifier
#ceo_nodes_tables;0;ceo_db/ceo_nodes_tables/nanman						
3k_dlc06_ceo_character_nanman_skills_butcher_0	empty_effects	0	Butcher	{{tr:dlc06_nanman_skills_butcher_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_fire_butcher.png	
3k_dlc06_ceo_character_nanman_skills_butcher_1	3k_dlc06_ceo_character_nanman_skills_butcher_1	0	Butcher	{{tr:dlc06_nanman_skills_upgrade_condition}} {{tr:dlc06_nanman_skills_butcher_objective}}\n\n{{tr:dlc06_nanman_skills_butcher_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_fire_butcher.png	
3k_dlc06_ceo_character_nanman_skills_butcher_2	3k_dlc06_ceo_character_nanman_skills_butcher_2	0	Butcher	{{tr:dlc06_nanman_skills_upgrade_condition}} {{tr:dlc06_nanman_skills_butcher_objective}}\n\n{{tr:dlc06_nanman_skills_butcher_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_fire_butcher.png	
3k_dlc06_ceo_character_nanman_skills_butcher_3	3k_dlc06_ceo_character_nanman_skills_butcher_3	0	Butcher	{{tr:dlc06_nanman_skills_max_level_reached}}\n\n{{tr:dlc06_nanman_skills_butcher_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_fire_butcher.png	
3k_dlc06_ceo_character_nanman_skills_cavalry_chief_0	empty_effects	0	Beast Tamer	{{tr:dlc06_nanman_skills_cavalry_chief_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_earth_cavalry_chief.png	
3k_dlc06_ceo_character_nanman_skills_cavalry_chief_1	3k_dlc06_ceo_character_nanman_skills_cavalry_chief_1	0	Beast Tamer	{{tr:dlc06_nanman_skills_max_level_reached}}\n\n{{tr:dlc06_nanman_skills_cavalry_chief_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_earth_cavalry_chief.png	
3k_dlc06_ceo_character_nanman_skills_cave_defender_0	empty_effects	0	Cave Defender	{{tr:dlc06_nanman_skills_cave_defender_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_metal_cave_defender.png	
3k_dlc06_ceo_character_nanman_skills_cave_defender_1	3k_dlc06_ceo_character_nanman_skills_cave_defender_1	0	Cave Defender	{{tr:dlc06_nanman_skills_max_level_reached}}\n\n{{tr:dlc06_nanman_skills_cave_defender_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_metal_cave_defender.png	
3k_dlc06_ceo_character_nanman_skills_flurry_0	empty_effects	0	Flurry	{{tr:dlc06_nanman_skills_flurry_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_metal_flurry.png	
3k_dlc06_ceo_character_nanman_skills_flurry_1	3k_dlc06_ceo_character_nanman_skills_flurry_1	0	Flurry	{{tr:dlc06_nanman_skills_max_level_reached}}\n\n{{tr:dlc06_nanman_skills_flurry_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_metal_flurry.png	
3k_dlc06_ceo_character_nanman_skills_hit_and_run_0	empty_effects	0	Diligence	{{tr:dlc06_nanman_skills_hit_and_run_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_earth_hit_and_run.png	
3k_dlc06_ceo_character_nanman_skills_hit_and_run_1	3k_dlc06_ceo_character_nanman_skills_hit_and_run_1	0	Diligence	{{tr:dlc06_nanman_skills_upgrade_condition}} {{tr:dlc06_nanman_skills_hit_and_run_objective}}\n\n{{tr:dlc06_nanman_skills_hit_and_run_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_earth_hit_and_run.png	
3k_dlc06_ceo_character_nanman_skills_hit_and_run_2	3k_dlc06_ceo_character_nanman_skills_hit_and_run_2	0	Diligence	{{tr:dlc06_nanman_skills_upgrade_condition}} {{tr:dlc06_nanman_skills_hit_and_run_objective}}\n\n{{tr:dlc06_nanman_skills_hit_and_run_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_earth_hit_and_run.png	
3k_dlc06_ceo_character_nanman_skills_hit_and_run_3	3k_dlc06_ceo_character_nanman_skills_hit_and_run_3	0	Diligence	{{tr:dlc06_nanman_skills_max_level_reached}}\n\n{{tr:dlc06_nanman_skills_hit_and_run_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_earth_hit_and_run.png	
3k_dlc06_ceo_character_nanman_skills_infantry_chief_0	empty_effects	0	Infantry Chief	{{tr:dlc06_nanman_skills_infantry_chief_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_wood_infantry_chief.png	
3k_dlc06_ceo_character_nanman_skills_infantry_chief_1	3k_dlc06_ceo_character_nanman_skills_infantry_chief_1	0	Infantry Chief	{{tr:dlc06_nanman_skills_max_level_reached}}\n\n{{tr:dlc06_nanman_skills_infantry_chief_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_wood_infantry_chief.png	
3k_dlc06_ceo_character_nanman_skills_marshal_0	empty_effects	0	Marshal	{{tr:dlc06_nanman_skills_marshal_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_wood_marshal.png	
3k_dlc06_ceo_character_nanman_skills_marshal_1	3k_dlc06_ceo_character_nanman_skills_marshal_1	0	Marshal	{{tr:dlc06_nanman_skills_upgrade_condition}} {{tr:dlc06_nanman_skills_marshal_objective}}\n\n{{tr:dlc06_nanman_skills_marshal_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_wood_marshal.png	
3k_dlc06_ceo_character_nanman_skills_marshal_2	3k_dlc06_ceo_character_nanman_skills_marshal_2	0	Marshal	{{tr:dlc06_nanman_skills_upgrade_condition}} {{tr:dlc06_nanman_skills_marshal_objective}}\n\n{{tr:dlc06_nanman_skills_marshal_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_wood_marshal.png	
3k_dlc06_ceo_character_nanman_skills_marshal_3	3k_dlc06_ceo_character_nanman_skills_marshal_3	0	Marshal	{{tr:dlc06_nanman_skills_max_level_reached}}\n\n{{tr:dlc06_nanman_skills_marshal_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_wood_marshal.png	
3k_dlc06_ceo_character_nanman_skills_missile_chief_0	empty_effects	0	Missile Chief	{{tr:dlc06_nanman_skills_missile_chief_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_water_missile_chief.png	
3k_dlc06_ceo_character_nanman_skills_missile_chief_1	3k_dlc06_ceo_character_nanman_skills_missile_chief_1	0	Missile Chief	{{tr:dlc06_nanman_skills_max_level_reached}}\n\n{{tr:dlc06_nanman_skills_missile_chief_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_water_missile_chief.png	
3k_dlc06_ceo_character_nanman_skills_prudence_0	empty_effects	0	Prudence	{{tr:dlc06_nanman_skills_prudence_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_fire_prudence.png	
3k_dlc06_ceo_character_nanman_skills_prudence_1	3k_dlc06_ceo_character_nanman_skills_prudence_1	0	Prudence	{{tr:dlc06_nanman_skills_max_level_reached}}\n\n{{tr:dlc06_nanman_skills_prudence_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_fire_prudence.png	
3k_dlc06_ceo_character_nanman_skills_role_model_0	empty_effects	0	Role Model	{{tr:dlc06_nanman_skills_role_model_flavour}}	UI/Campaign UI/Skills/3k_dlc06_skill_wood_role_model.png	
